RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2024,P39,C01,0.8921,0.8639,0.9242,0.9273,0.9152,0.9211,0.7534,0.6584,1
1,2024,P39,C02,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6584,1
2,2024,P39,C03,0.6594,0.6831,0.6972,0.6660,0.6763,0.7051,0.6190,0.6584,1
3,2024,P39,C04,0.7671,0.7679,0.7912,0.7666,0.7909,0.7753,0.6731,0.6584,1
4,2024,P39,C05,0.9574,0.9406,0.9585,0.9409,0.9279,0.9638,0.7888,0.6584,1
5,2024,P39,C06,0.7509,0.8159,0.8689,0.7258,0.7774,0.7877,0.6757,0.6584,1
6,2024,P39,C07,0.4643,0.4817,0.7412,0.5116,0.5593,0.7526,0.5476,0.6584,1
7,2024,P39,C08,0.6783,0.6658,0.8013,0.7334,0.7784,0.7584,0.6513,0.6584,1
8,2024,P46,C01,0.8104,0.7722,0.8110,0.8028,0.7625,0.7893,0.6783,0.6358,2
9,2024,P46,C02,0.7969,0.8253,0.9754,0.8382,0.8668,0.8962,0.7201,0.6358,2
10,2024,P46,C03,0.4786,0.5811,0.6834,0.5639,0.6147,0.7327,0.5644,0.6358,2
11,2024,P46,C04,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6358,2
12,2024,P46,C05,0.9869,1.0000,0.9824,0.9517,0.9411,0.9666,0.8088,0.6358,2
13,2024,P46,C06,0.5595,0.5330,0.6305,0.5430,0.5896,0.5970,0.5401,0.6358,2
14,2024,P46,C07,0.5191,0.5524,0.8128,0.5814,0.6291,0.8354,0.5880,0.6358,2
15,2024,P46,C08,0.6151,0.6026,0.8174,0.7155,0.7635,0.8043,0.6370,0.6358,2
16,2024,P12,C01,0.9707,0.9287,0.9862,0.9926,0.9908,1.0000,0.8145,0.6242,3
17,2024,P12,C02,0.9057,0.9155,0.9782,0.9287,0.9414,0.8991,0.7712,0.6242,3
18,2024,P12,C03,0.8997,1.0000,1.0000,0.8839,0.9070,1.0000,0.7884,0.6242,3
19,2024,P12,C04,0.4801,0.5496,0.5842,0.5103,0.5567,0.5447,0.5180,0.6242,3
20,2024,P12,C05,0.6679,0.6436,0.6533,0.7389,0.7135,0.7801,0.6300,0.6242,3
21,2024,P12,C06,0.6512,0.7038,0.7337,0.6161,0.6826,0.6647,0.6145,0.6242,3
22,2024,P12,C07,0.1370,0.1995,0.2354,0.1869,0.2333,0.3247,0.3288,0.6242,3
23,2024,P12,C08,0.5034,0.4794,0.7221,0.6095,0.6637,0.7495,0.5731,0.6242,3
24,2024,P14,C01,0.9544,0.9123,0.9593,0.9710,0.9638,0.9746,0.7954,0.6205,4
25,2024,P14,C02,0.5485,0.5706,0.7797,0.6187,0.6862,0.6977,0.5924,0.6205,4
26,2024,P14,C03,0.2533,0.2891,0.3992,0.3140,0.3421,0.4752,0.4019,0.6205,4
27,2024,P14,C04,0.8870,0.9287,0.9799,0.9000,0.9104,0.9162,0.7644,0.6205,4
28,2024,P14,C05,0.8078,0.8108,0.8103,0.8061,0.7683,0.8116,0.6830,0.6205,4
29,2024,P14,C06,0.9610,0.8788,0.9610,1.0000,1.0000,1.0000,0.8045,0.6205,4
30,2024,P14,C07,0.4866,0.5108,0.8179,0.5607,0.5878,0.9035,0.5774,0.6205,4
31,2024,P14,C08,0.4841,0.4710,0.7009,0.5718,0.6376,0.6982,0.5543,0.6205,4
32,2024,P38,C01,0.6292,0.5961,0.6061,0.6347,0.5648,0.6349,0.5652,0.6129,5
33,2024,P38,C02,0.5798,0.5820,0.6920,0.5836,0.6503,0.5872,0.5662,0.6129,5
34,2024,P38,C03,0.5786,0.6859,0.7545,0.6343,0.6836,0.7701,0.6192,0.6129,5
35,2024,P38,C04,0.6677,0.7325,0.7484,0.6845,0.7173,0.7087,0.6399,0.6129,5
36,2024,P38,C05,0.9664,0.9573,0.9628,0.9455,0.9336,0.9516,0.7928,0.6129,5
37,2024,P38,C06,0.8032,0.8806,0.8797,0.7470,0.7957,0.7923,0.6890,0.6129,5
38,2024,P38,C07,0.4919,0.5716,0.8020,0.5565,0.6330,0.7744,0.5801,0.6129,5
39,2024,P38,C08,0.5685,0.5702,0.6966,0.5624,0.6363,0.5597,0.5562,0.6129,5
40,2024,P49,C01,0.4563,0.2845,0.4294,0.4796,0.4450,0.5035,0.4657,0.6045,6
