RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2018,P14,C01,0.8693,0.8730,0.8617,0.8336,0.8239,0.8254,0.7081,0.6195,1
1,2018,P14,C03,0.6234,0.6632,0.6629,0.6110,0.6207,0.6144,0.5816,0.6195,1
2,2018,P14,C05,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6195,1
3,2018,P14,C06,0.8306,0.9016,0.8950,0.8768,0.8809,0.8844,0.7298,0.6195,1
4,2018,P14,C07,0.6219,0.7049,0.9994,0.6507,0.7596,0.8194,0.6528,0.6195,1
5,2018,P14,C08,0.6920,0.6836,0.8654,0.7040,0.7479,0.7175,0.6485,0.6195,1
6,2018,P13,C01,0.7005,0.7049,0.6670,0.6759,0.6579,0.6605,0.6164,0.6011,2
7,2018,P13,C02,0.8914,0.9008,0.9048,0.9119,0.9148,0.9056,0.7515,0.6011,2
8,2018,P13,C03,0.5782,0.6331,0.6966,0.6078,0.6162,0.6730,0.5827,0.6011,2
9,2018,P13,C04,0.6505,0.7045,0.7612,0.7018,0.7267,0.7157,0.6392,0.6011,2
10,2018,P13,C05,0.7045,0.7236,0.6915,0.7197,0.7177,0.7248,0.6426,0.6011,2
11,2018,P13,C06,0.5363,0.6212,0.5947,0.5957,0.6024,0.6219,0.5539,0.6011,2
12,2018,P13,C07,0.4420,0.4660,0.7469,0.4399,0.6145,0.5618,0.5246,0.6011,2
13,2018,P13,C08,0.7676,0.6975,0.8225,0.7733,0.8069,0.7474,0.6680,0.6011,2
14,2018,P27,C01,0.9532,0.9980,0.9374,0.8946,0.8885,0.8804,0.7685,0.5986,3
15,2018,P27,C02,0.7631,0.8139,0.8532,0.7790,0.7864,0.8066,0.6819,0.5986,3
16,2018,P27,C03,0.8748,0.9113,0.9915,0.8822,0.8855,0.9365,0.7584,0.5986,3
17,2018,P27,C04,0.3343,0.4418,0.3832,0.4315,0.4742,0.4521,0.4566,0.5986,3
18,2018,P27,C05,0.6632,0.7018,0.6463,0.6453,0.6432,0.6285,0.5987,0.5986,3
19,2018,P27,C06,0.5372,0.6645,0.4933,0.5529,0.5631,0.5542,0.5309,0.5986,3
20,2018,P27,C07,0.2466,0.2850,0.4112,0.2408,0.4304,0.3311,0.3865,0.5986,3
21,2018,P27,C08,0.7294,0.7245,0.8798,0.7349,0.7742,0.7418,0.6651,0.5986,3
22,2018,P29,C01,0.7003,0.7102,0.6906,0.6826,0.6641,0.6755,0.6235,0.5913,4
23,2018,P29,C02,0.7200,0.7500,0.8488,0.7604,0.7685,0.8065,0.6711,0.5913,4
24,2018,P29,C03,0.9906,0.9709,0.9710,0.9713,0.9718,0.9532,0.8089,0.5913,4
25,2018,P29,C04,0.4746,0.5399,0.5806,0.5587,0.5956,0.5807,0.5282,0.5913,4
26,2018,P29,C05,0.7563,0.7247,0.7250,0.7637,0.7620,0.7553,0.6625,0.5913,4
27,2018,P29,C06,0.4638,0.5149,0.4614,0.5227,0.5244,0.5458,0.5025,0.5913,4
28,2018,P29,C07,0.3657,0.4372,0.5425,0.3569,0.5357,0.4014,0.4672,0.5913,4
29,2018,P29,C08,0.5151,0.4791,0.5822,0.5069,0.5693,0.4935,0.5111,0.5913,4
30,2018,P53,C01,0.5065,0.5734,0.4444,0.4852,0.4617,0.4600,0.4945,0.5837,5
31,2018,P53,C02,0.4344,0.4028,0.5522,0.5312,0.5396,0.6113,0.5063,0.5837,5
32,2018,P53,C03,0.5895,0.6230,0.7861,0.6838,0.6926,0.8044,0.6232,0.5837,5
33,2018,P53,C04,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.5837,5
34,2018,P53,C05,0.8392,0.8520,0.8669,0.8312,0.8300,0.8166,0.7027,0.5837,5
35,2018,P53,C06,0.6438,0.7474,0.5882,0.6416,0.6490,0.6332,0.5953,0.5837,5
36,2018,P53,C07,0.5625,0.6090,0.7966,0.5458,0.6803,0.6013,0.5777,0.5837,5
37,2018,P53,C08,0.2992,0.2192,0.3378,0.2860,0.3403,0.3301,0.3712,0.5837,5
38,2018,P15,C01,0.8010,0.7914,0.8221,0.8057,0.7944,0.8135,0.6841,0.5817,6
39,2018,P15,C02,0.8194,0.8259,0.8860,0.8316,0.8373,0.8445,0.7035,0.5817,6
40,2018,P15,C03,0.4571,0.4942,0.4949,0.4710,0.4831,0.4871,0.4919,0.5817,6
41,2018,P15,C04,0.4108,0.5063,0.4380,0.4965,0.5326,0.5089,0.4920,0.5817,6
42,2018,P15,C05,0.7941,0.8134,0.8064,0.7881,0.7866,0.7751,0.6794,0.5817,6
43,2018,P15,C06,0.7999,0.8873,0.8044,0.8358,0.8405,0.8247,0.6981,0.5817,6
44,2018,P15,C07,0.3434,0.4087,0.6223,0.3511,0.5534,0.4755,0.4766,0.5817,6
45,2018,P15,C08,0.6195,0.6020,0.8276,0.6522,0.7037,0.6852,0.6128,0.5817,6
46,2018,P12,C01,0.7366,0.6428,0.7576,0.8024,0.7983,0.8161,0.6614,0.5769,7
47,2018,P12,C02,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.5769,7
48,2018,P12,C03,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.5769,7
49,2018,P12,C04,0.1334,0.2352,0.1563,0.2594,0.2877,0.2950,0.3331,0.5769,7
50,2018,P12,C05,0.6647,0.6916,0.6680,0.6586,0.6563,0.6579,0.6076,0.5769,7
51,2018,P12,C06,0.4355,0.5835,0.3894,0.4629,0.4723,0.4638,0.4836,0.5769,7
52,2018,P12,C07,0.0251,0.0684,0.0221,0.0155,0.0283,0.0564,0.1975,0.5769,7
53,2018,P12,C08,0.7341,0.7276,0.8930,0.7437,0.7817,0.7543,0.6689,0.5769,7
54,2018,P28,C01,0.8938,0.8723,0.8723,0.9013,0.8955,0.8901,0.7373,0.5690,8
55,2018,P28,C02,0.7994,0.8098,0.8641,0.8173,0.8235,0.8180,0.6926,0.5690,8
56,2018,P28,C03,0.9498,0.9122,0.8485,0.9411,0.9412,0.8481,0.7526,0.5690,8
57,2018,P28,C04,0.3160,0.1938,0.4041,0.4613,0.4762,0.4969,0.4408,0.5690,8
58,2018,P28,C05,0.6518,0.6230,0.6512,0.6650,0.6631,0.6789,0.5993,0.5690,8
59,2018,P28,C06,0.3179,0.4153,0.3275,0.3702,0.3766,0.3998,0.4188,0.5690,8
60,2018,P28,C07,0.2408,0.3140,0.3561,0.2408,0.4222,0.2888,0.3765,0.5690,8
61,2018,P28,C08,0.5529,0.5451,0.6963,0.5590,0.6244,0.5682,0.5505,0.5690,8
62,2018,P25,C01,0.6204,0.6600,0.6101,0.6029,0.5798,0.5972,0.5658,0.5668,9
63,2018,P25,C02,0.4700,0.4530,0.6093,0.5733,0.5821,0.6621,0.5316,0.5668,9
64,2018,P25,C03,0.6280,0.6631,0.6787,0.6319,0.6384,0.6369,0.5921,0.5668,9
65,2018,P25,C04,0.5747,0.6389,0.6532,0.6370,0.6674,0.6553,0.5855,0.5668,9
66,2018,P25,C05,0.7400,0.7810,0.7070,0.7174,0.7154,0.6907,0.6482,0.5668,9
67,2018,P25,C06,0.7419,0.8365,0.7789,0.7739,0.7803,0.7830,0.6746,0.5668,9
68,2018,P25,C07,0.2770,0.3233,0.4917,0.2769,0.4831,0.3877,0.4237,0.5668,9
69,2018,P25,C08,0.4690,0.4542,0.5891,0.4784,0.5558,0.4944,0.5031,0.5668,9
70,2018,P30,C01,0.6958,0.6794,0.7141,0.6973,0.6814,0.7037,0.6295,0.5585,10
71,2018,P30,C02,0.6573,0.6905,0.7439,0.6749,0.6859,0.6913,0.6260,0.5585,10
72,2018,P30,C03,0.8966,0.9369,0.9918,0.8868,0.8899,0.9321,0.7660,0.5585,10
73,2018,P30,C04,0.7348,0.7721,0.8784,0.8235,0.8382,0.8540,0.6892,0.5585,10
74,2018,P30,C05,0.3383,0.2074,0.3003,0.3291,0.3278,0.3177,0.3731,0.5585,10
75,2018,P30,C06,0.4175,0.6029,0.3674,0.4421,0.4522,0.4421,0.4749,0.5585,10
76,2018,P30,C07,0.3397,0.3042,0.5366,0.3044,0.4391,0.4192,0.4344,0.5585,10
77,2018,P30,C08,0.3050,0.2416,0.3468,0.2998,0.3598,0.3382,0.3791,0.5585,10
78,2018,P56,C01,0.6239,0.6133,0.5871,0.5846,0.5666,0.5552,0.5490,0.5532,11
79,2018,P56,C03,0.3820,0.3764,0.5717,0.4835,0.4894,0.6687,0.4972,0.5532,11
80,2018,P56,C05,0.6574,0.6505,0.6308,0.6505,0.6482,0.6425,0.5925,0.5532,11
81,2018,P56,C06,0.6536,0.7234,0.7423,0.7379,0.7427,0.7758,0.6512,0.5532,11
82,2018,P56,C07,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.5532,11
83,2018,P56,C08,0.3606,0.3585,0.3973,0.3620,0.4383,0.3644,0.4282,0.5532,11
84,2018,P26,C01,0.6824,0.6728,0.6762,0.6681,0.6496,0.6651,0.6097,0.5511,12
85,2018,P26,C02,0.6688,0.6921,0.8080,0.7319,0.7409,0.7842,0.6522,0.5511,12
