RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2023,P62,C01,0.6319,0.6463,0.6022,0.6424,0.6425,0.6363,0.5824,0.6610,1
1,2023,P62,C02,0.8538,0.8152,0.8470,0.9066,0.9065,0.8570,0.7193,0.6610,1
2,2023,P62,C03,0.6774,0.8285,0.9836,0.7803,0.8277,1.0000,0.7083,0.6610,1
3,2023,P62,C04,0.6654,0.7760,0.9269,0.7442,0.7948,0.7633,0.6690,0.6610,1
4,2023,P62,C05,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6610,1
5,2023,P62,C06,0.7563,0.6687,0.7624,0.7486,0.7562,0.7130,0.6546,0.6610,1
6,2023,P62,C07,0.7135,0.8736,0.9595,0.7501,0.8216,0.8793,0.6974,0.6610,1
7,2023,P62,C08,0.6927,0.6332,0.7548,0.6626,0.7051,0.6734,0.6229,0.6610,1
8,2023,P28,C01,0.8693,0.8824,0.9605,0.9215,0.9216,0.9568,0.7629,0.6356,2
9,2023,P28,C02,0.8718,0.8694,0.9332,0.8998,0.8995,0.9042,0.7443,0.6356,2
10,2023,P28,C03,0.7389,0.8638,0.9542,0.7632,0.8134,0.8787,0.6988,0.6356,2
11,2023,P28,C04,0.3451,0.5135,0.5978,0.4691,0.5732,0.5083,0.5009,0.6356,2
12,2023,P28,C05,0.9163,0.9027,0.9223,0.9055,0.9006,0.9008,0.7541,0.6356,2
13,2023,P28,C06,0.6300,0.6049,0.6685,0.6601,0.6791,0.6712,0.5968,0.6356,2
14,2023,P28,C07,0.4130,0.5257,0.6875,0.4537,0.5523,0.6588,0.5268,0.6356,2
15,2023,P28,C08,0.7912,0.7990,0.8193,0.7412,0.7738,0.7156,0.6700,0.6356,2
16,2023,P31,C01,0.5179,0.5072,0.6781,0.6226,0.6227,0.7323,0.5664,0.6326,3
