RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2020,P14,C01,0.6631,0.6995,0.8556,0.7110,0.7665,0.7463,0.6518,0.6284,1
1,2020,P14,C02,0.6007,0.6575,0.8510,0.7917,0.8393,0.9757,0.6692,0.6284,1
2,2020,P14,C03,0.2564,0.3208,0.3376,0.2991,0.3787,0.3430,0.3840,0.6284,1
3,2020,P14,C04,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6284,1
4,2020,P14,C05,0.6147,0.6585,0.7675,0.6864,0.6661,0.7378,0.6229,0.6284,1
5,2020,P14,C06,0.9640,0.9636,1.0000,1.0000,1.0000,1.0000,0.8227,0.6284,1
6,2020,P14,C07,0.8291,0.9716,1.0000,0.8371,0.8853,1.0000,0.7633,0.6284,1
7,2020,P14,C08,0.4765,0.5275,0.7153,0.5169,0.6299,0.6518,0.5479,0.6284,1
8,2020,P12,C01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6116,2
9,2020,P12,C02,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6116,2
10,2020,P12,C03,0.6940,0.5479,0.6509,0.6926,0.6674,0.5061,0.5764,0.6116,2
11,2020,P12,C04,0.5806,0.5967,0.6504,0.5905,0.6290,0.6009,0.5631,0.6116,2
12,2020,P12,C05,0.7643,0.8321,0.8858,0.7977,0.7828,0.8256,0.6884,0.6116,2
13,2020,P12,C06,0.5934,0.7326,0.6021,0.5907,0.5821,0.5460,0.5626,0.6116,2
14,2020,P12,C07,0.2149,0.1862,0.2947,0.1678,0.2762,0.2581,0.3340,0.6116,2
15,2020,P12,C08,0.8124,0.9050,1.0000,0.8218,0.8635,0.9630,0.7413,0.6116,2
16,2020,P56,C01,0.3454,0.4544,0.3730,0.3550,0.4390,0.3559,0.4335,0.6067,3
17,2020,P56,C02,0.5833,0.6193,0.7704,0.6382,0.7208,0.7275,0.6135,0.6067,3
18,2020,P56,C03,0.4328,0.5035,0.6434,0.5143,0.6084,0.6279,0.5292,0.6067,3
19,2020,P56,C04,0.9711,0.9433,0.9428,0.9587,0.9626,0.9240,0.7907,0.6067,3
20,2020,P56,C05,0.7710,0.8323,0.9770,0.8501,0.8391,0.8951,0.7157,0.6067,3
21,2020,P56,C06,0.7445,0.8653,0.8056,0.7701,0.7647,0.7728,0.6762,0.6067,3
22,2020,P56,C07,1.0000,1.0000,0.9048,1.0000,1.0000,0.9801,0.8166,0.6067,3
23,2020,P56,C08,0.3555,0.3853,0.4828,0.3751,0.4860,0.4563,0.4594,0.6067,3
24,2020,P18,C01,0.6392,0.7022,0.7583,0.6346,0.7048,0.6508,0.6186,0.5933,4
25,2020,P18,C02,0.8499,0.8433,0.8507,0.8219,0.8625,0.7855,0.7003,0.5933,4
26,2020,P18,C03,0.6032,0.6560,0.7497,0.6198,0.6934,0.6576,0.6052,0.5933,4
27,2020,P18,C04,0.5192,0.5212,0.6689,0.5463,0.5890,0.5812,0.5370,0.5933,4
28,2020,P18,C05,0.8235,0.8635,0.9158,0.8323,0.8213,0.8334,0.7082,0.5933,4
29,2020,P18,C06,0.7281,0.8880,0.7150,0.7015,0.6940,0.6558,0.6436,0.5933,4
30,2020,P18,C07,0.1667,0.1434,0.2338,0.1242,0.2021,0.2247,0.3102,0.5933,4
31,2020,P18,C08,0.7463,0.8454,0.9857,0.8067,0.8519,0.9899,0.7221,0.5933,4
32,2020,P30,C01,0.6091,0.6641,0.7399,0.6198,0.6928,0.6332,0.6025,0.5723,5
33,2020,P30,C02,0.4807,0.5330,0.5689,0.4753,0.5901,0.5030,0.5117,0.5723,5
34,2020,P30,C03,0.9124,0.9203,0.9146,0.8674,0.8931,0.8618,0.7431,0.5723,5
35,2020,P30,C04,0.5705,0.5594,0.6392,0.6111,0.6403,0.6503,0.5658,0.5723,5
36,2020,P30,C05,0.4958,0.4451,0.4274,0.4935,0.4782,0.4686,0.4855,0.5723,5
37,2020,P30,C06,0.6161,0.7655,0.6610,0.6194,0.6119,0.5883,0.5887,0.5723,5
38,2020,P30,C07,0.3256,0.3386,0.5002,0.3019,0.4653,0.4105,0.4363,0.5723,5
39,2020,P30,C08,0.6628,0.7420,0.7111,0.5983,0.6894,0.5987,0.6080,0.5723,5
40,2020,P28,C01,0.7202,0.7675,0.8516,0.7185,0.7726,0.7341,0.6640,0.5677,6
41,2020,P28,C02,0.5955,0.6301,0.7428,0.6068,0.6965,0.6515,0.5979,0.5677,6
42,2020,P28,C03,0.7435,0.6555,0.6459,0.6948,0.7175,0.5833,0.6129,0.5677,6
43,2020,P28,C04,0.4968,0.4862,0.6263,0.5330,0.5740,0.5819,0.5246,0.5677,6
44,2020,P28,C05,0.7510,0.7702,0.7857,0.7408,0.7259,0.7296,0.6629,0.5677,6
45,2020,P28,C06,0.2925,0.2989,0.3364,0.3404,0.3350,0.3441,0.3854,0.5677,6
46,2020,P28,C07,0.3172,0.3700,0.4688,0.3048,0.5041,0.3806,0.4365,0.5677,6
47,2020,P28,C08,1.0000,1.0000,0.9348,1.0000,1.0000,1.0000,0.8236,0.5677,6
48,2020,P31,C01,0.4052,0.4551,0.5287,0.4355,0.5287,0.4780,0.4865,0.5616,7
49,2020,P31,C02,0.3785,0.4323,0.5078,0.4157,0.5377,0.4848,0.4800,0.5616,7
50,2020,P31,C03,0.4363,0.5017,0.5634,0.4742,0.5535,0.5168,0.5036,0.5616,7
51,2020,P31,C04,0.5867,0.5945,0.7104,0.6091,0.6459,0.6330,0.5794,0.5616,7
52,2020,P31,C05,0.6043,0.6946,0.6287,0.6157,0.5936,0.6230,0.5770,0.5616,7
53,2020,P31,C06,0.9444,0.8994,0.8898,0.9219,0.9228,0.8486,0.7509,0.5616,7
54,2020,P31,C07,0.4788,0.5413,0.7197,0.4678,0.6252,0.5785,0.5371,0.5616,7
55,2020,P31,C08,0.8082,0.8930,0.8795,0.7677,0.8220,0.8204,0.6976,0.5616,7
56,2020,P11,C01,0.6793,0.7048,0.8365,0.7278,0.7801,0.7774,0.6578,0.5584,8
57,2020,P11,C02,0.7388,0.7822,0.8400,0.7271,0.7894,0.7516,0.6696,0.5584,8
58,2020,P11,C03,0.5825,0.6276,0.6349,0.5645,0.6145,0.5326,0.5520,0.5584,8
59,2020,P11,C04,0.3604,0.3559,0.3900,0.3777,0.4199,0.4150,0.4329,0.5584,8
60,2020,P11,C05,0.5772,0.6171,0.5916,0.5747,0.5526,0.5594,0.5425,0.5584,8
