RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2022,P14,C01,0.7323,0.6213,0.7909,0.8433,0.8415,0.8861,0.6715,0.6674,1
1,2022,P14,C02,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6674,1
2,2022,P14,C03,0.5075,0.5868,0.7491,0.6769,0.7189,0.9227,0.6141,0.6674,1
3,2022,P14,C04,0.6442,0.2556,0.6785,0.8132,0.7801,0.7799,0.6044,0.6674,1
4,2022,P14,C05,0.9548,0.9493,0.9941,1.0000,1.0000,1.0000,0.8186,0.6674,1
5,2022,P14,C06,1.0000,0.9611,0.9872,1.0000,1.0000,1.0000,0.8255,0.6674,1
6,2022,P14,C07,0.5369,0.5888,0.8528,0.5489,0.5818,0.9502,0.5963,0.6674,1
7,2022,P14,C08,0.5384,0.5107,0.7273,0.6722,0.6876,0.8571,0.5979,0.6674,1
8,2022,P26,C01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6505,2
9,2022,P26,C02,0.6793,0.6657,0.8427,0.7139,0.7589,0.7734,0.6509,0.6505,2
10,2022,P26,C03,1.0000,1.0000,0.9358,1.0000,1.0000,0.9853,0.8217,0.6505,2
11,2022,P26,C04,0.6464,0.6601,0.7926,0.7095,0.7443,0.7363,0.6400,0.6505,2
12,2022,P26,C05,0.8145,0.8236,0.8124,0.8172,0.7715,0.8066,0.6854,0.6505,2
13,2022,P26,C06,0.7724,0.7451,0.8341,0.7619,0.7715,0.7906,0.6736,0.6505,2
14,2022,P26,C07,0.3681,0.4644,0.6655,0.3676,0.5109,0.5681,0.4947,0.6505,2
15,2022,P26,C08,0.3412,0.3252,0.4606,0.3888,0.4270,0.4683,0.4444,0.6505,2
16,2022,P47,C01,0.9966,0.9642,0.9286,0.9554,0.9538,0.9173,0.7925,0.6458,3
