Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.242308,0.119971,0.029070,19
SC12,C01,0.203906,0.119971,0.024463,24
SC13,C01,0.250301,0.119971,0.030029,18
SC14,C01,0.303485,0.119971,0.036409,10
SC21,C02,0.267775,0.093302,0.024984,23
SC22,C02,0.220038,0.093302,0.020530,27
SC23,C02,0.228592,0.093302,0.021328,25
SC24,C02,0.283595,0.093302,0.026460,21
SC31,C03,0.363946,0.116671,0.042462,6
SC32,C03,0.314100,0.116671,0.036646,9
SC33,C03,0.321954,0.116671,0.037563,8
SC41,C04,0.177633,0.096835,0.017201,29
SC42,C04,0.212435,0.096835,0.020571,26
SC43,C04,0.192779,0.096835,0.018668,28
SC44,C04,0.417153,0.096835,0.040395,7
SC51,C05,0.295472,0.119754,0.035384,12
SC52,C05,0.211533,0.119754,0.025332,22
SC53,C05,0.237768,0.119754,0.028474,20
SC54,C05,0.255226,0.119754,0.030565,17
SC61,C06,0.248732,0.130170,0.032377,16
SC62,C06,0.250567,0.130170,0.032616,14
SC63,C06,0.251049,0.130170,0.032679,13
SC64,C06,0.249652,0.130170,0.032497,15
SC71,C07,0.386545,0.128445,0.049650,3
SC72,C07,0.280695,0.128445,0.036054,11
SC73,C07,0.332760,0.128445,0.042741,5
SC81,C08,0.272329,0.194851,0.053064,2
SC82,C08,0.244494,0.194851,0.047640,4
SC83,C08,0.483177,0.194851,0.094148,1
