Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.158637,0.132111,0.020958,22
SC12,C01,0.269150,0.132111,0.035558,18
SC13,C01,0.267656,0.132111,0.035360,19
SC14,C01,0.304558,0.132111,0.040236,13
SC21,C02,0.326353,0.129296,0.042196,10
SC22,C02,0.312494,0.129296,0.040404,11
SC23,C02,0.361154,0.129296,0.046696,7
SC31,C03,0.433501,0.129704,0.056227,5
SC32,C03,0.310800,0.129704,0.040312,12
SC33,C03,0.255699,0.129704,0.033165,21
SC41,C04,0.192322,0.207421,0.039892,15
SC42,C04,0.214507,0.207421,0.044493,9
SC43,C04,0.262649,0.207421,0.054479,6
SC44,C04,0.330522,0.207421,0.068557,2
SC51,C05,0.267507,0.149596,0.040018,14
SC52,C05,0.253067,0.149596,0.037858,16
SC53,C05,0.230956,0.149596,0.034550,20
SC54,C05,0.248470,0.149596,0.037170,17
SC61,C06,0.250249,0.251872,0.063031,3
SC62,C06,0.179646,0.251872,0.045248,8
SC63,C06,0.342175,0.251872,0.086184,1
SC64,C06,0.227930,0.251872,0.057409,4
