Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.237233,0.141774,0.033634,12
SC12,C01,0.227424,0.141774,0.032243,14
SC13,C01,0.201863,0.141774,0.028619,22
SC14,C01,0.333480,0.141774,0.047279,5
SC21,C02,0.248884,0.105825,0.026338,26
SC22,C02,0.274325,0.105825,0.029030,21
SC23,C02,0.199584,0.105825,0.021121,27
SC24,C02,0.277207,0.105825,0.029335,20
SC31,C03,0.324264,0.111358,0.036109,9
SC32,C03,0.313548,0.111358,0.034916,11
SC33,C03,0.362189,0.111358,0.040333,7
SC41,C04,0.182755,0.114026,0.020839,28
SC42,C04,0.234787,0.114026,0.026772,24
SC43,C04,0.274890,0.114026,0.031344,17
SC44,C04,0.307568,0.114026,0.035071,10
SC51,C05,0.241022,0.116105,0.027984,23
SC52,C05,0.275367,0.116105,0.031972,15
SC53,C05,0.227571,0.116105,0.026422,25
SC54,C05,0.256041,0.116105,0.029728,19
SC61,C06,0.244756,0.135356,0.033129,13
SC62,C06,0.235628,0.135356,0.031894,16
SC63,C06,0.288827,0.135356,0.039095,8
SC64,C06,0.230789,0.135356,0.031239,18
SC71,C07,0.334238,0.160281,0.053572,4
SC72,C07,0.284157,0.160281,0.045545,6
SC73,C07,0.381605,0.160281,0.061164,1
SC81,C08,0.495056,0.115275,0.057067,3
SC82,C08,0.504944,0.115275,0.058207,2
