Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.259907,0.125836,0.032706,17
SC12,C01,0.202423,0.125836,0.025472,22
SC13,C01,0.244501,0.125836,0.030767,18
SC14,C01,0.293169,0.125836,0.036891,11
SC21,C02,0.328102,0.091919,0.030159,19
SC22,C02,0.259126,0.091919,0.023819,24
SC23,C02,0.177010,0.091919,0.016271,28
SC24,C02,0.235762,0.091919,0.021671,25
SC31,C03,0.390133,0.118939,0.046402,5
SC32,C03,0.302231,0.118939,0.035947,15
SC33,C03,0.307636,0.118939,0.036590,12
SC41,C04,0.221818,0.094359,0.020931,27
SC42,C04,0.223942,0.094359,0.021131,26
SC43,C04,0.253677,0.094359,0.023937,23
SC44,C04,0.300563,0.094359,0.028361,20
SC51,C05,0.295774,0.123158,0.036427,13
SC53,C05,0.312986,0.123158,0.038547,9
SC54,C05,0.391240,0.123158,0.048184,4
SC61,C06,0.233018,0.141829,0.033049,16
SC62,C06,0.281863,0.141829,0.039976,8
SC63,C06,0.294736,0.141829,0.041802,7
SC64,C06,0.190383,0.141829,0.027002,21
SC71,C07,0.326682,0.166472,0.054383,3
SC72,C07,0.276426,0.166472,0.046017,6
SC73,C07,0.396892,0.166472,0.066071,1
SC81,C08,0.264532,0.137488,0.036370,14
SC82,C08,0.457276,0.137488,0.062870,2
SC83,C08,0.278191,0.137488,0.038248,10
