Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.227872,0.118232,0.026942,23
SC12,C01,0.224527,0.118232,0.026546,24
SC13,C01,0.240894,0.118232,0.028481,21
SC14,C01,0.306707,0.118232,0.036263,13
SC21,C02,0.289855,0.110854,0.032132,15
SC22,C02,0.258533,0.110854,0.028659,20
SC23,C02,0.189121,0.110854,0.020965,27
SC24,C02,0.262491,0.110854,0.029098,18
SC31,C03,0.319416,0.104155,0.033269,14
SC32,C03,0.302868,0.104155,0.031545,16
SC33,C03,0.377716,0.104155,0.039341,8
SC41,C04,0.233427,0.091178,0.021283,26
SC42,C04,0.220163,0.091178,0.020074,28
SC43,C04,0.244418,0.091178,0.022286,25
SC44,C04,0.301992,0.091178,0.027535,22
SC51,C05,0.325337,0.113981,0.037082,12
SC53,C05,0.336007,0.113981,0.038299,11
SC54,C05,0.338655,0.113981,0.038600,10
SC61,C06,0.238825,0.163075,0.038946,9
SC62,C06,0.268950,0.163075,0.043859,6
SC63,C06,0.314275,0.163075,0.051250,4
SC64,C06,0.177950,0.163075,0.029019,19
SC71,C07,0.314693,0.181554,0.057134,3
SC72,C07,0.336091,0.181554,0.061019,2
SC73,C07,0.349216,0.181554,0.063402,1
SC81,C08,0.251924,0.116970,0.029467,17
SC82,C08,0.341950,0.116970,0.039998,7
SC83,C08,0.406125,0.116970,0.047504,5
