Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.228697,0.139399,0.031880,15
SC12,C01,0.245996,0.139399,0.034292,13
SC13,C01,0.214989,0.139399,0.029969,16
SC14,C01,0.310318,0.139399,0.043258,8
SC21,C02,0.219873,0.098782,0.021719,23
SC22,C02,0.278182,0.098782,0.027479,20
SC23,C02,0.219746,0.098782,0.021707,24
SC24,C02,0.282199,0.098782,0.027876,19
SC31,C03,0.292672,0.114479,0.033505,14
SC32,C03,0.342400,0.114479,0.039197,11
SC33,C03,0.364928,0.114479,0.041776,10
SC41,C04,0.258709,0.090617,0.023443,22
SC42,C04,0.215771,0.090617,0.019553,25
SC43,C04,0.201047,0.090617,0.018218,28
SC44,C04,0.324473,0.090617,0.029403,17
SC51,C05,0.285969,0.130995,0.037461,12
SC53,C05,0.380006,0.130995,0.049779,5
SC54,C05,0.334024,0.130995,0.043756,7
SC61,C06,0.303246,0.094438,0.028638,18
SC62,C06,0.202358,0.094438,0.019110,27
SC63,C06,0.287451,0.094438,0.027146,21
SC64,C06,0.206946,0.094438,0.019543,26
SC71,C07,0.324167,0.182568,0.059183,2
SC72,C07,0.293056,0.182568,0.053503,4
SC73,C07,0.382776,0.182568,0.069883,1
SC81,C08,0.290004,0.148722,0.043130,9
SC82,C08,0.377963,0.148722,0.056211,3
SC83,C08,0.332033,0.148722,0.049381,6
