Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.143579,0.179207,0.025730,22
SC12,C01,0.335799,0.179207,0.060178,2
SC13,C01,0.241910,0.179207,0.043352,12
SC14,C01,0.278712,0.179207,0.049947,8
SC21,C02,0.354755,0.161424,0.057266,3
SC22,C02,0.331570,0.161424,0.053524,4
SC23,C02,0.313674,0.161424,0.050635,6
SC31,C03,0.382133,0.132124,0.050489,7
SC32,C03,0.374645,0.132124,0.049500,9
SC33,C03,0.243222,0.132124,0.032135,21
SC41,C04,0.213476,0.185077,0.039509,16
SC42,C04,0.207232,0.185077,0.038354,18
SC43,C04,0.231527,0.185077,0.042850,13
SC44,C04,0.347765,0.185077,0.064363,1
SC51,C05,0.250161,0.168718,0.042207,14
SC52,C05,0.240919,0.168718,0.040647,15
SC53,C05,0.288854,0.168718,0.048735,10
SC54,C05,0.220067,0.168718,0.037129,19
SC61,C06,0.295387,0.173449,0.051235,5
SC62,C06,0.201600,0.173449,0.034967,20
SC63,C06,0.278595,0.173449,0.048322,11
SC64,C06,0.224418,0.173449,0.038925,17
