Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.213496,0.141738,0.030261,20
SC12,C01,0.224103,0.141738,0.031764,19
SC13,C01,0.239291,0.141738,0.033917,16
SC14,C01,0.323110,0.141738,0.045797,6
SC21,C02,0.301233,0.098282,0.029606,21
SC22,C02,0.202013,0.098282,0.019854,26
SC23,C02,0.199747,0.098282,0.019632,27
SC24,C02,0.297007,0.098282,0.029191,22
SC31,C03,0.315415,0.114932,0.036251,12
SC32,C03,0.278291,0.114932,0.031985,18
SC33,C03,0.406295,0.114932,0.046696,4
SC41,C04,0.234492,0.096038,0.022520,24
SC42,C04,0.188543,0.096038,0.018107,28
SC43,C04,0.214085,0.096038,0.020560,25
SC44,C04,0.362880,0.096038,0.034850,14
SC51,C05,0.332909,0.107657,0.035840,13
SC53,C05,0.356177,0.107657,0.038345,10
SC54,C05,0.310915,0.107657,0.033472,17
SC61,C06,0.261802,0.140269,0.036723,11
SC62,C06,0.281651,0.140269,0.039507,8
SC63,C06,0.276461,0.140269,0.038779,9
SC64,C06,0.180086,0.140269,0.025261,23
SC71,C07,0.383409,0.175991,0.067477,1
SC72,C07,0.273846,0.175991,0.048195,3
SC73,C07,0.342745,0.175991,0.060320,2
SC81,C08,0.276730,0.125092,0.034617,15
SC82,C08,0.351327,0.125092,0.043948,7
SC83,C08,0.371943,0.125092,0.046527,5
