Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.196167,0.127992,0.025108,22
SC12,C01,0.222040,0.127992,0.028419,21
SC13,C01,0.278188,0.127992,0.035606,17
SC14,C01,0.303605,0.127992,0.038859,16
SC21,C02,0.291197,0.152423,0.044385,13
SC22,C02,0.314179,0.152423,0.047888,9
SC23,C02,0.394624,0.152423,0.060150,4
SC31,C03,0.397062,0.153316,0.060876,3
SC32,C03,0.330337,0.153316,0.050646,8
SC33,C03,0.272601,0.153316,0.041794,14
SC41,C04,0.190089,0.166232,0.031599,19
SC42,C04,0.189179,0.166232,0.031448,20
SC43,C04,0.285387,0.166232,0.047440,10
SC44,C04,0.335345,0.166232,0.055745,6
SC51,C05,0.220534,0.205074,0.045226,12
SC52,C05,0.298038,0.205074,0.061120,2
SC53,C05,0.225054,0.205074,0.046153,11
SC54,C05,0.256375,0.205074,0.052576,7
SC61,C06,0.302723,0.194962,0.059020,5
SC62,C06,0.169753,0.194962,0.033095,18
SC63,C06,0.315292,0.194962,0.061470,1
SC64,C06,0.212232,0.194962,0.041377,15
