Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.186914,0.171160,0.031992,19
SC12,C01,0.248132,0.171160,0.042470,15
SC13,C01,0.289603,0.171160,0.049568,9
SC14,C01,0.275351,0.171160,0.047129,12
SC21,C02,0.320910,0.160179,0.051403,8
SC22,C02,0.328944,0.160179,0.052690,5
SC23,C02,0.350145,0.160179,0.056086,3
SC31,C03,0.302782,0.159114,0.048177,11
SC32,C03,0.359611,0.159114,0.057219,2
SC33,C03,0.337607,0.159114,0.053718,4
SC41,C04,0.186777,0.167791,0.031340,20
SC42,C04,0.176019,0.167791,0.029534,22
SC43,C04,0.277983,0.167791,0.046643,14
SC44,C04,0.359221,0.167791,0.060274,1
SC51,C05,0.288326,0.179198,0.051668,7
SC52,C05,0.225864,0.179198,0.040474,16
SC53,C05,0.288437,0.179198,0.051687,6
SC54,C05,0.197373,0.179198,0.035369,18
SC61,C06,0.287931,0.162558,0.046805,13
SC62,C06,0.187194,0.162558,0.030430,21
SC63,C06,0.302091,0.162558,0.049107,10
SC64,C06,0.222784,0.162558,0.036215,17
