Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.216916,0.156404,0.033926,20
SC12,C01,0.275930,0.156404,0.043157,11
SC13,C01,0.219018,0.156404,0.034255,18
SC14,C01,0.288136,0.156404,0.045066,10
SC21,C02,0.321507,0.162653,0.052294,7
SC22,C02,0.318078,0.162653,0.051736,8
SC23,C02,0.360414,0.162653,0.058623,3
SC31,C03,0.248727,0.211221,0.052536,5
SC32,C03,0.386366,0.211221,0.081609,1
SC33,C03,0.364906,0.211221,0.077076,2
SC41,C04,0.193100,0.142316,0.027481,22
SC42,C04,0.197686,0.142316,0.028134,21
SC43,C04,0.240213,0.142316,0.034186,19
SC44,C04,0.369001,0.142316,0.052515,6
SC51,C05,0.239920,0.163346,0.039190,14
SC52,C05,0.286511,0.163346,0.046800,9
SC53,C05,0.257920,0.163346,0.042130,12
SC54,C05,0.215649,0.163346,0.035225,15
SC61,C06,0.325825,0.164060,0.053455,4
SC62,C06,0.214286,0.164060,0.035156,16
SC63,C06,0.249907,0.164060,0.041000,13
SC64,C06,0.209982,0.164060,0.034450,17
