Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.182667,0.155401,0.028387,22
SC12,C01,0.261132,0.155401,0.040580,18
SC13,C01,0.256948,0.155401,0.039930,19
SC14,C01,0.299253,0.155401,0.046504,9
SC21,C02,0.329522,0.142301,0.046891,8
SC22,C02,0.287426,0.142301,0.040901,16
SC23,C02,0.383052,0.142301,0.054508,3
SC31,C03,0.374517,0.144200,0.054005,4
SC32,C03,0.362471,0.144200,0.052268,6
SC33,C03,0.263012,0.144200,0.037926,20
SC41,C04,0.231894,0.175572,0.040714,17
SC42,C04,0.236140,0.175572,0.041460,15
SC43,C04,0.246924,0.175572,0.043353,12
SC44,C04,0.285042,0.175572,0.050045,7
SC51,C05,0.222817,0.170159,0.037914,21
SC52,C05,0.249217,0.170159,0.042407,14
SC53,C05,0.257819,0.170159,0.043870,11
SC54,C05,0.270147,0.170159,0.045968,10
SC61,C06,0.259403,0.212368,0.055089,2
SC62,C06,0.203776,0.212368,0.043276,13
SC63,C06,0.289598,0.212368,0.061501,1
SC64,C06,0.247223,0.212368,0.052502,5
