Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.164765,0.167507,0.027599,22
SC12,C01,0.249508,0.167507,0.041794,16
SC13,C01,0.256035,0.167507,0.042888,13
SC14,C01,0.329692,0.167507,0.055226,3
SC21,C02,0.349517,0.145079,0.050708,6
SC22,C02,0.290135,0.145079,0.042093,15
SC23,C02,0.360348,0.145079,0.052279,5
SC31,C03,0.354684,0.121169,0.042977,12
SC32,C03,0.294332,0.121169,0.035664,20
SC33,C03,0.350984,0.121169,0.042528,14
SC41,C04,0.197475,0.184521,0.036438,19
SC42,C04,0.183065,0.184521,0.033779,21
SC43,C04,0.267847,0.184521,0.049423,8
SC44,C04,0.351613,0.184521,0.064880,1
SC51,C05,0.266140,0.176092,0.046865,10
SC52,C05,0.267084,0.176092,0.047031,9
SC53,C05,0.252060,0.176092,0.044386,11
SC54,C05,0.214716,0.176092,0.037810,18
SC61,C06,0.256466,0.205633,0.052738,4
SC62,C06,0.187592,0.205633,0.038575,17
SC63,C06,0.311991,0.205633,0.064156,2
SC64,C06,0.243951,0.205633,0.050164,7
