,Year,Province,Criterion,ER_Utility,Belief_Entropy
151,2018,P19,C08,0.4151,1.0413
152,2018,P20,C01,0.5781,1.0463
153,2018,P20,C02,0.4830,0.7201
154,2018,P20,C03,0.3878,0.9801
155,2018,P20,C04,0.1638,0.3851
156,2018,P20,C05,0.4841,0.7064
157,2018,P20,C06,0.5357,0.9266
158,2018,P20,C07,0.1716,0.5024
159,2018,P20,C08,0.4558,1.0387
160,2018,P21,C01,0.6514,0.7394
161,2018,P21,C02,0.3057,0.9196
162,2018,P21,C03,0.4666,0.8903
163,2018,P21,C04,0.4197,1.0450
164,2018,P21,C05,0.4980,0.7406
165,2018,P21,C06,0.6038,0.9941
166,2018,P21,C07,0.1795,0.5902
167,2018,P21,C08,0.4226,1.0458
168,2018,P22,C01,0.8362,0.3851
169,2018,P22,C02,0.6759,0.7248
170,2018,P22,C03,0.5354,0.9046
171,2018,P22,C04,0.4186,1.0446
172,2018,P22,C05,0.5024,0.8264
173,2018,P22,C06,0.5540,1.0064
174,2018,P22,C07,0.2866,1.0237
175,2018,P22,C08,0.4681,0.8945
176,2018,P23,C01,0.5826,1.0437
177,2018,P23,C02,0.5517,0.9972
178,2018,P23,C03,0.4207,1.0460
179,2018,P23,C04,0.2654,1.0453
180,2018,P23,C05,0.6078,0.9797
181,2018,P23,C06,0.5819,1.0430
182,2018,P23,C07,0.2609,1.0413
183,2018,P23,C08,0.4742,0.9302
184,2018,P24,C01,0.5562,1.0134
185,2018,P24,C02,0.5182,0.9544
186,2018,P24,C03,0.3694,0.8722
187,2018,P24,C04,0.4878,0.7249
188,2018,P24,C05,0.6060,0.9858
189,2018,P24,C06,0.6798,0.7418
190,2018,P24,C07,0.3454,1.1375
191,2018,P24,C08,0.4267,1.0452
192,2018,P25,C01,0.5654,1.0364
193,2018,P25,C02,0.4870,0.8870
194,2018,P25,C03,0.5890,1.0356
195,2018,P25,C04,0.6050,0.9905
196,2018,P25,C05,0.6772,0.7059
197,2018,P25,C06,0.6802,0.7521
198,2018,P25,C07,0.3911,1.0544
199,2018,P25,C08,0.5010,0.9305
200,2018,P26,C01,0.6129,0.9557
201,2018,P26,C02,0.6312,0.9263
202,2018,P26,C03,0.6989,0.9526
203,2018,P26,C04,0.3888,0.9625
204,2018,P26,C05,0.6118,0.9608
205,2018,P26,C06,0.5661,1.0808
206,2018,P26,C07,0.3894,1.0222
207,2018,P26,C08,0.4394,1.0262
208,2018,P27,C01,0.7779,0.9086
209,2018,P27,C02,0.6860,0.8350
210,2018,P27,C03,0.7190,1.0364
211,2018,P27,C04,0.4607,0.9325
212,2018,P27,C05,0.6069,0.9832
213,2018,P27,C06,0.5307,0.9311
214,2018,P27,C07,0.3682,1.1100
215,2018,P27,C08,0.6668,0.8563
216,2018,P28,C01,0.7508,1.0201
217,2018,P28,C02,0.7198,1.0368
218,2018,P28,C03,0.8151,0.6369
219,2018,P28,C04,0.5127,0.7752
220,2018,P28,C05,0.6458,0.7084
221,2018,P28,C06,0.4160,1.0421
222,2018,P28,C07,0.3724,0.9818
223,2018,P28,C08,0.5527,1.0015
224,2018,P29,C01,0.6216,0.9070
225,2018,P29,C02,0.6624,0.7320
226,2018,P29,C03,0.8243,0.5505
227,2018,P29,C04,0.5218,0.8929
228,2018,P29,C05,0.7072,0.9993
229,2018,P29,C06,0.4854,0.7756
230,2018,P29,C07,0.4623,1.1973
231,2018,P29,C08,0.5270,0.8336
232,2018,P30,C01,0.6220,0.9043
233,2018,P30,C02,0.6262,0.8757
234,2018,P30,C03,0.7315,1.0461
235,2018,P30,C04,0.6780,0.9241
236,2018,P30,C05,0.4757,0.9176
237,2018,P30,C06,0.4768,1.1116
238,2018,P30,C07,0.3981,1.0874
239,2018,P30,C08,0.3576,0.8121
240,2018,P31,C01,0.3231,0.6918
241,2018,P31,C02,0.4944,0.7515
242,2018,P31,C03,0.1912,0.6979
243,2018,P31,C04,0.5101,0.7960
244,2018,P31,C05,0.4570,0.9546
245,2018,P31,C06,0.5835,1.0433
246,2018,P31,C07,0.4563,1.2222
247,2018,P31,C08,0.3348,0.6493
248,2018,P32,C01,0.4389,1.0440
249,2018,P32,C02,0.7480,1.0269
250,2018,P32,C03,0.2453,1.0087
251,2018,P32,C04,0.4775,0.7872
252,2018,P32,C05,0.4984,0.6077
253,2018,P32,C06,0.8203,0.5851
254,2018,P32,C07,0.2689,1.0459
255,2018,P32,C08,0.8362,0.3851
256,2018,P33,C01,0.4849,0.6958
257,2018,P33,C02,0.4124,1.0385
258,2018,P33,C03,0.5213,0.7732
259,2018,P33,C04,0.4787,0.8023
260,2018,P33,C05,0.3570,0.9240
261,2018,P33,C06,0.4983,0.6800
262,2018,P33,C07,0.4321,1.1248
263,2018,P33,C08,0.2887,1.0151
264,2018,P34,C01,0.5133,0.8184
265,2018,P34,C02,0.2878,1.0177
266,2018,P34,C03,0.5391,0.9302
267,2018,P34,C04,0.3304,0.8854
268,2018,P34,C05,0.2744,1.0444
269,2018,P34,C06,0.3651,0.8246
270,2018,P34,C07,0.3388,1.1019
271,2018,P34,C08,0.1638,0.3851
272,2018,P35,C01,0.3448,0.6874
273,2018,P35,C02,0.2886,1.0153
274,2018,P35,C03,0.3550,0.7162
275,2018,P35,C04,0.3669,0.8647
276,2018,P35,C05,0.2408,0.9917
277,2018,P35,C06,0.4328,1.1290
278,2018,P35,C07,0.2973,0.9888
279,2018,P35,C08,0.3723,0.8651
280,2018,P36,C01,0.3147,0.8241
281,2018,P36,C02,0.3157,0.8110
282,2018,P36,C03,0.4252,1.0452
283,2018,P36,C04,0.4770,0.7934
284,2018,P36,C05,0.3377,0.6531
285,2018,P36,C06,0.4288,1.0439
286,2018,P36,C07,0.4779,1.2763
287,2018,P36,C08,0.2204,0.9030
288,2018,P37,C01,0.1638,0.3851
289,2018,P37,C02,0.2882,1.0168
290,2018,P37,C03,0.3204,0.8913
291,2018,P37,C04,0.4899,0.8126
292,2018,P37,C05,0.4340,1.0375
293,2018,P37,C06,0.5402,1.1237
294,2018,P37,C07,0.3662,1.0983
295,2018,P37,C08,0.3210,0.7741
296,2018,P38,C01,0.5173,0.7452
297,2018,P38,C02,0.4703,0.8590
298,2018,P38,C03,0.4630,0.9705
299,2018,P38,C04,0.5989,1.0119
300,2018,P38,C05,0.5880,1.0378
301,2018,P38,C06,0.8174,0.6205
302,2018,P38,C07,0.4356,1.2201
303,2018,P38,C08,0.3052,0.9228
304,2018,P39,C01,0.4055,1.0227
305,2018,P39,C02,0.2943,0.9922
306,2018,P39,C03,0.2854,1.0251
307,2018,P39,C04,0.4681,0.8775
308,2018,P39,C05,0.4469,1.0027
309,2018,P39,C06,0.3488,0.9354
310,2018,P39,C07,0.2602,1.0396
311,2018,P39,C08,0.3389,0.5829
312,2018,P40,C01,0.7398,1.0404
313,2018,P40,C02,0.4479,0.9986
314,2018,P40,C03,0.4914,0.8004
315,2018,P40,C04,0.2834,1.0315
316,2018,P40,C05,0.3492,0.6535
317,2018,P40,C06,0.1920,0.7059
318,2018,P40,C07,0.2487,1.0176
319,2018,P40,C08,0.4607,0.9328
320,2018,P41,C01,0.4488,0.9950
321,2018,P41,C02,0.5312,0.8716
322,2018,P41,C03,0.3964,1.0327
323,2018,P41,C04,0.3854,0.9442
324,2018,P41,C05,0.3252,0.6377
325,2018,P41,C06,0.2884,1.1486
326,2018,P41,C07,0.2865,1.0243
327,2018,P41,C08,0.4755,0.9742
328,2018,P42,C01,0.3748,0.8825
329,2018,P42,C02,0.4355,1.0349
330,2018,P42,C03,0.5117,0.6647
331,2018,P42,C04,0.2091,0.8300
332,2018,P42,C05,0.3932,0.9831
333,2018,P42,C06,0.4447,1.0970
334,2018,P42,C07,0.2580,1.0368
335,2018,P42,C08,0.4297,1.0429
336,2018,P43,C01,0.6049,0.9909
337,2018,P43,C02,0.6424,0.7655
338,2018,P43,C03,0.6943,0.9178
339,2018,P43,C04,0.5035,0.7134
340,2018,P43,C05,0.3797,1.0536
341,2018,P43,C06,0.2846,1.2171
342,2018,P43,C07,0.3243,1.0824
343,2018,P43,C08,0.5411,0.9439
344,2018,P44,C01,0.6912,0.8896
345,2018,P44,C02,0.5040,0.5794
346,2018,P44,C03,0.5421,0.9498
347,2018,P44,C04,0.3658,0.9214
348,2018,P44,C05,0.1638,0.3851
349,2018,P44,C06,0.4261,1.2186
350,2018,P44,C07,0.2258,0.9308
351,2018,P44,C08,0.4660,0.8948
352,2018,P45,C01,0.6872,0.8500
353,2018,P45,C02,0.5636,1.0332
354,2018,P45,C03,0.5965,1.0171
355,2018,P45,C04,0.4163,1.0420
356,2018,P45,C05,0.4943,0.5554
357,2018,P45,C06,0.4107,1.1581
358,2018,P45,C07,0.2681,1.0459
359,2018,P45,C08,0.4767,1.0062
360,2018,P46,C01,0.3401,0.6205
361,2018,P46,C02,0.2691,1.0465
362,2018,P46,C03,0.3386,0.8571
363,2018,P46,C04,0.7109,1.0133
364,2018,P46,C05,0.6169,0.9331
365,2018,P46,C06,0.5227,0.8401
366,2018,P46,C07,0.3848,1.1265
367,2018,P46,C08,0.3063,0.9135
368,2018,P47,C01,0.5135,0.6718
369,2018,P47,C02,0.4385,1.0285
370,2018,P47,C03,0.5158,0.7048
371,2018,P47,C04,0.5887,1.0366
372,2018,P47,C05,0.5070,0.6138
373,2018,P47,C06,0.3593,0.9080
374,2018,P47,C07,0.2972,0.9832
375,2018,P47,C08,0.4802,0.9106
376,2018,P48,C01,0.5161,0.7349
377,2018,P48,C02,0.3668,0.8239
378,2018,P48,C03,0.4883,0.8569
379,2018,P48,C04,0.4155,1.0408
380,2018,P48,C05,0.4096,1.0332
381,2018,P48,C06,0.3196,1.0257
382,2018,P48,C07,0.3058,0.9859
383,2018,P48,C08,0.4362,1.0334
384,2018,P49,C01,0.4480,1.0079
385,2018,P49,C02,0.6014,1.0029
386,2018,P49,C03,0.5893,1.0342
387,2018,P49,C04,0.4214,1.0452
388,2018,P49,C05,0.5330,0.9033
389,2018,P49,C06,0.6480,0.8903
390,2018,P49,C07,0.2794,1.0392
391,2018,P49,C08,0.3896,0.9658
392,2018,P50,C01,0.3486,0.7350
393,2018,P50,C02,0.4171,1.0437
394,2018,P50,C03,0.3087,0.8928
395,2018,P50,C04,0.3174,0.9053
396,2018,P50,C05,0.2794,1.0385
397,2018,P50,C06,0.3748,0.9936
398,2018,P50,C07,0.1720,0.5071
399,2018,P50,C08,0.5702,1.0695
400,2018,P51,C01,0.4651,0.9012
401,2018,P51,C02,0.3380,0.6887
402,2018,P51,C03,0.3204,0.7420
403,2018,P51,C04,0.6267,0.8721
404,2018,P51,C05,0.3309,0.6785
405,2018,P51,C06,0.5735,1.0613
406,2018,P51,C07,0.3732,1.1065
407,2018,P51,C08,0.3506,0.6866
408,2018,P52,C01,0.3653,0.8112
409,2018,P52,C02,0.2706,1.0464
410,2018,P52,C03,0.1709,0.4914
411,2018,P52,C04,0.6692,0.4997
412,2018,P52,C05,0.3451,0.6560
413,2018,P52,C06,0.3105,0.8727
414,2018,P52,C07,0.4548,1.2286
