Criterion,Sensitivity,Rank,Interpretation
C03,1.000000,1,High
C08,0.990476,2,High
C07,0.984362,3,High
C02,0.979365,4,High
C01,0.977778,5,High
C04,0.971852,6,High
C06,0.930268,7,High
C05,0.900000,8,High
