Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.26411,1.914581,1.714875,0.8689144,2.566878,1.889205,1.537545,,1.660269,2.085445,1.982788,1.118291,1.585172,0.6428216,1.652779,1.583421,1.869782,1.623258,1.787709,1.746413,1.645679,1.996759,1.668323,,,,,,
P02,0.937742,1.755304,1.502331,0.6808273,1.688166,1.694797,1.446219,,1.933776,1.443151,1.630147,1.338472,1.632161,0.824716,1.425359,1.499651,1.710305,1.326345,1.912416,1.627907,1.342051,1.312513,1.58895,,,,,,
P03,1.085203,2.145658,1.47375,0.6046797,2.444922,1.712191,1.359177,,1.752172,1.544819,1.50193,0.8312734,1.425056,0.4630081,1.334643,1.50152,1.819966,1.528709,1.738738,1.866179,1.557192,1.197825,1.634879,,,,,,
P04,1.313012,1.9661,1.653428,0.6694564,2.213166,1.847122,1.7128,,1.905725,1.871862,1.947661,1.541285,1.788792,0.8071529,1.747857,1.819549,1.816267,1.623094,1.938614,1.953417,1.539845,1.474143,1.51293,,,,,,
P05,1.134707,1.73558,1.473989,0.8837959,2.384736,1.733005,1.423933,,1.852681,1.634758,1.884345,1.45074,1.67484,0.9547899,1.715453,1.589116,1.864233,1.408184,1.863673,1.895485,1.634307,1.46568,1.601351,,,,,,
P06,1.156216,2.04512,1.635505,0.7091023,2.243659,2.030288,1.556832,,1.863893,1.948498,1.761027,1.270756,1.579288,0.9665759,1.667452,1.526646,1.631131,1.397199,1.895192,1.964216,1.363128,1.226304,1.674888,,,,,,
P07,1.072177,1.929369,1.339069,0.4938953,2.574818,1.704393,1.449443,,1.982322,1.767379,1.71251,1.064244,1.684429,0.6986302,1.621935,1.603676,1.812025,1.532695,1.76048,1.778447,1.739415,1.229232,1.596752,,,,,,
P08,1.130781,1.810195,1.505103,0.7204039,1.963,1.701136,1.420602,,1.897817,1.699368,1.60138,1.12144,1.676862,0.9493663,1.558947,1.614654,1.727552,1.45953,1.873553,1.947526,1.533959,1.412175,1.60202,,,,,,
P09,1.455008,2.278709,1.853783,1.054626,3.13873,2.063211,1.334458,,1.865604,2.023913,1.953496,2.147152,1.902262,0.7164018,1.916704,1.562504,1.866294,1.461389,1.794482,1.949221,1.675617,1.480877,1.722771,,,,,,
P10,1.163362,1.76574,1.428602,0.7995335,2.847545,1.58309,1.619202,,2.205921,1.761312,1.728938,1.443037,1.706833,0.8484327,1.771057,1.765875,1.849602,1.566388,1.907289,1.826724,1.39318,1.267583,1.495453,,,,,,
P11,1.278834,2.213502,1.605172,1.051716,2.378661,1.91998,1.688595,,2.180379,2.037127,1.836251,1.626067,1.774414,0.7457112,1.571184,1.644816,1.677904,1.558698,1.796141,1.763243,1.634093,1.563725,1.686381,,,,,,
P12,1.185967,1.839579,1.511477,0.7494633,2.392725,1.974229,1.58828,,1.93931,1.900402,1.695541,1.384347,1.712312,0.8180987,1.577295,1.861583,1.855418,1.390202,1.855536,1.709864,1.433503,1.594471,1.557111,,,,,,
P13,1.355599,2.053136,1.774319,0.8217499,2.57583,2.165573,1.638906,,1.732241,2.130826,2.001225,1.639141,1.987092,0.9887426,1.748347,1.789799,1.603916,1.625919,1.731796,1.964107,1.665111,1.728882,1.661427,,,,,,
P14,1.206601,2.060618,1.458159,0.7815524,2.22621,1.820749,1.516925,,2.021885,1.999327,1.960703,1.036586,1.404891,0.5537671,1.586577,1.542487,1.576541,1.812184,1.6643,1.911922,1.615705,1.605819,1.545118,,,,,,
P15,1.119716,1.783275,1.683685,1.041122,2.145835,1.849319,1.493433,,1.67367,1.866268,1.904743,1.123605,1.606852,0.5339329,1.71231,1.497521,1.850174,1.516025,1.979447,1.761473,1.656613,1.450779,1.653546,,,,,,
P16,1.19956,1.893927,1.717226,0.8603357,2.287191,1.451507,1.285915,,1.92909,2.045003,1.891918,1.355716,1.789468,0.877461,1.655218,1.628848,1.918087,1.556781,1.799096,1.837313,1.643893,1.524915,1.572237,,,,,,
P17,1.174406,2.005409,1.439916,0.839729,2.174773,1.720148,1.481834,,1.660405,1.885831,2.116065,1.501827,1.691183,0.6603413,1.77436,1.599931,1.753652,1.535557,1.838974,1.632794,1.906807,1.784158,1.606156,,,,,,
P18,1.257221,2.09271,1.63501,0.9605521,2.195421,1.698996,1.405834,,1.5617,2.072768,1.902229,1.102233,1.495684,0.5190073,1.639753,1.569583,1.877422,1.588114,1.838352,1.705368,1.599736,1.916204,1.51045,,,,,,
P19,1.248137,2.039742,1.458032,0.9345444,2.418834,1.715071,1.758857,,1.923713,2.355387,1.991783,1.284879,1.632258,0.728332,1.862783,1.6927,1.608283,1.538153,1.694246,1.79077,1.731229,1.970555,1.521419,,,,,,
P20,1.200067,1.806136,1.471469,0.7009497,2.24493,1.813251,1.248933,,1.833465,1.53481,1.404968,0.9597398,1.299524,0.7224222,1.613581,1.582784,1.891877,1.657522,1.878082,1.602297,1.590012,2.463895,1.676292,,,,,,
P21,1.110931,1.788916,1.535405,0.6721683,2.072737,1.541832,1.416884,,1.381748,1.938794,1.824585,1.146326,1.460338,0.7665384,1.56894,1.667432,1.886836,1.333895,1.922558,1.624987,1.506494,1.777475,1.552336,,,,,,
P22,1.08398,1.849156,1.474351,0.9268028,1.996194,1.94576,1.903074,,1.87314,2.214227,2.334648,1.285195,1.530757,0.675328,1.614797,1.700614,1.62396,1.660699,1.826657,1.872604,1.630213,1.553579,1.57401,,,,,,
P23,1.160259,1.926099,1.513176,0.7533945,2.286245,1.897212,1.387031,,2.033296,2.170094,2.045687,1.42735,1.641311,0.7678518,1.744038,1.502029,1.760347,1.639879,1.800545,1.61088,1.604445,1.423261,1.577848,,,,,,
P24,1.201967,1.901551,1.547008,0.7288134,2.652982,2.25561,1.743038,,2.037496,2.220913,2.037506,1.382032,1.628443,1.020144,1.882057,1.909247,1.827344,1.68044,1.957025,1.49491,1.712442,1.884642,1.678445,,,,,,
