Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,0.96318233,1.510028839,1.599778175,1.142629027,0.783857882,1.722483277,1.293110371,1.287438393,1.846549273,0.807552278,1.957152724,1.491485834,1.787544727,0.900117099,1.896757722,1.808744431,1.943040252,1.813372731,1.934288025,1.870561481,1.616306901,2.000347376,1.439868927,1.493840575,1.688917875,0.400987148,0.599759102,2.719765663,
P02,1.000649333,1.588873506,1.643179297,1.028519273,0.931243002,1.701474309,1.410303473,1.302103162,1.733037472,1.059151769,2.024520874,1.435951829,1.899845958,0.993439376,1.832588196,1.911606312,1.809056163,1.754244685,1.822464705,2.012423277,1.690030098,1.788046002,1.368074417,1.755073071,2.069203615,0.74077338,0.650159776,2.772540092,
P03,1.207990646,1.65916276,1.580677986,0.916798532,0.847530663,1.732389212,1.402926326,1.311340928,1.915290594,1.458429575,1.780188918,1.603626132,2.03400588,0.955250978,1.900828004,1.791476846,1.699479818,1.560972691,1.902911901,1.99172008,1.643241644,1.828575253,1.262352824,1.732582927,1.960800529,1.222092867,0.71903646,2.45430851,
P04,1.165653586,1.551597834,1.603571534,0.980387688,0.823910713,1.783822775,1.357040644,1.40082407,1.902575254,1.193317175,1.949578643,1.717780352,1.950670123,0.92252928,1.854178309,1.88181603,1.93699348,1.713097572,1.86350596,1.98835969,1.611616611,1.959077716,1.444006562,1.959484696,2.166629791,0.760367692,0.624193788,2.295972109,
P05,1.272259355,1.657261729,1.633441806,1.216603279,0.906976283,1.731804967,1.408193946,1.327874064,1.947883248,1.241325378,1.950208306,1.525582075,1.880182862,0.985209465,1.85713768,1.897379994,1.725077987,1.750603199,1.968402505,2.009234428,1.676585793,2.012567282,1.485241413,1.935203791,1.942731619,0.491735756,0.605701685,2.867226362,
P06,1.024639964,1.554165602,1.581898928,1.251514673,0.871952593,1.870233655,1.408601999,1.297231317,1.871977806,1.004540086,2.017375708,1.561071634,2.021313906,0.92712301,1.866663337,1.93206656,1.779737711,1.661863923,1.951700926,1.978988051,1.647912383,2.037448645,1.507962584,1.614188671,2.079776049,0.609525561,0.578050077,2.863599062,
P07,1.05180192,1.725519419,1.559253693,0.6145612,0.883884132,1.853368878,1.416053057,1.244986773,1.897553325,1.065945625,1.808145165,1.582793713,2.013092995,0.931039691,1.930512905,1.915849686,1.800286293,1.63574183,1.843173385,1.998572111,1.589781642,1.943226218,1.426737428,1.811315417,2.332507133,0.704258859,0.619695783,2.19143033,
P08,0.884784758,1.531006932,1.666944265,1.178516984,0.992845654,1.548228383,1.454901695,1.235309124,1.97488451,1.088533521,1.806011081,1.689257026,2.054014683,1.095536351,1.848291039,1.854590893,1.889947057,1.890112877,1.904709339,1.851887226,1.71221292,1.978394866,1.468095183,1.966932058,2.069744825,0.679095745,0.68126744,2.422692537,
P09,1.033834219,1.483324766,1.724695683,1.063099384,0.847271025,1.737177134,1.305176497,1.271416068,1.914361835,1.258111715,1.939765573,1.523802996,1.944501877,1.134822607,1.919780135,1.872242451,1.924227357,1.789389014,1.90560925,2.048946381,1.669359565,1.762007475,1.472898722,1.928880572,2.074673176,0.489148468,0.594928205,2.146018267,
P10,1.17332387,1.637954116,1.606604695,1.104586601,0.939453781,1.661691427,1.274940252,1.382691741,2.027122259,1.077733636,1.913367987,1.523919821,1.939380169,1.007517934,1.792420387,1.987768769,1.972112775,1.691289306,2.005151987,2.05346489,1.660961151,1.96849072,1.475214958,1.840004921,2.124701738,0.550109088,0.671521306,2.732438803,
P11,1.368768334,1.658851385,1.814351559,1.033414721,0.942379594,1.860858798,1.32098341,1.29501164,1.801929712,1.203347921,1.849481106,1.605431795,1.749619484,0.862553358,1.917174935,1.845600009,1.912447453,1.666964293,1.895528674,1.946289301,1.807119012,2.078247547,1.481087804,1.57078886,1.772955179,0.546332419,0.633272171,3.023996115,
P12,1.410094619,1.63510859,1.796005607,0.962422431,1.021257997,1.971788645,1.613605618,1.388703346,1.931600332,1.567306519,2.102360249,1.583657146,1.874147296,0.914346218,1.835371017,1.877739429,1.910998344,1.872189641,1.936655283,1.930493474,1.663410306,1.961826921,1.473936439,1.622491002,1.668761253,0.365259707,0.688832521,3.075641632,
P13,1.203305602,1.662401795,1.56049931,1.115486264,0.978100717,1.827455044,1.670177341,1.375177026,2.083286524,1.215673685,1.864825249,1.834267259,2.031942844,1.189665318,2.010898352,2.042892933,1.923852324,1.756533504,1.938323855,2.049183369,1.650586009,1.924307466,1.520831704,2.379847527,2.089905262,0.725192845,0.732769966,2.695941687,
P14,1.240792394,1.692747355,1.731832385,1.190308928,,,,,1.891985893,1.274281144,1.938575387,,,,,1.965573907,2.006612062,1.975604057,1.999236941,2.114870787,1.652676225,2.130919456,1.538636684,2.465800047,2.444195032,1.02386415,0.675818324,3.028862476,
P15,1.217328072,1.652017593,1.855275273,1.114736319,0.950302601,1.848843694,1.57246089,1.390150666,1.845667601,1.134783626,1.927071452,1.531504989,2.007508993,1.150262117,1.884271622,1.839554667,1.965305924,1.924027681,1.973239422,1.980517268,1.672963023,2.161744595,1.551995516,2.008944035,2.157351255,0.714532852,0.643069565,3.158274412,
P16,1.134559274,1.583255649,1.633511901,1.110363603,0.805301607,1.920089364,1.337657332,1.348793864,1.956612587,1.113240361,1.876791477,1.893476009,2.028238535,1.198352814,1.957811356,1.832617044,1.897018313,1.761664987,1.96923852,1.940643191,1.603313208,1.88161695,1.442336559,2.092251062,2.033876419,0.515848398,0.547811925,2.299450874,
P17,1.096241236,1.628245831,1.737462401,1.49833858,0.767404258,1.75119257,1.29771781,1.342838049,1.971789718,1.162461162,1.91968286,1.772527814,2.115556002,1.202867031,1.973276734,1.909258842,1.77935636,1.759242773,2.015216112,1.928200245,1.588914394,1.944769025,1.454102635,1.93632555,1.705792069,0.440638036,0.631615818,2.73599577,
P18,1.191338181,1.597557068,1.660443187,1.19783473,0.903018057,1.854670525,1.391818523,1.365604997,1.869081497,1.336213231,1.946133852,1.71029985,2.009661436,1.063017249,1.838562012,1.796542048,1.796367168,1.803551316,1.959419966,2.057630301,1.716471434,2.140840292,1.446384072,2.009693861,2.147675037,0.3409082,0.556402802,3.030182123,
P19,1.345095634,1.600804925,1.470618844,1.411739826,0.792811632,1.868483543,1.341919065,1.340195179,1.853377223,0.95797801,1.905092239,1.65447557,1.80629766,0.884853601,1.87965858,1.875737309,1.916179776,1.581280351,1.883967519,1.995981336,1.667948246,2.103290796,1.402276635,1.662509799,1.937540054,0.595108747,0.577862442,2.444248915,
P20,1.250568271,1.560106039,1.5297364,1.101930618,0.847537637,1.704082012,1.359261751,1.172513247,2.008523941,0.953096569,1.909760714,1.104530096,1.695428014,0.798169196,1.918647885,1.923503995,1.819700718,1.747465253,1.912183404,1.601122379,1.783166528,2.311124802,1.440094113,1.438470602,1.878032088,0.379963964,0.561483502,3.090248108,
P21,1.135511875,1.567937613,1.636318922,1.31287396,0.706806958,1.60225904,1.32542944,1.331659317,1.932308674,1.06120491,1.941875696,1.707455635,1.899356246,0.952371597,1.974507809,1.762333035,1.865687609,1.78410387,1.941914678,1.978316545,1.880443335,2.019647121,1.461356401,1.622149706,1.514462829,0.399841189,0.566608071,2.695768118,
P22,1.344206452,1.739361763,1.862648726,1.21779561,0.928528786,1.753341317,1.574403405,1.479004979,1.790514231,1.255799532,1.913422108,1.731470942,1.858320832,0.998727024,1.904829264,1.841529369,1.830456138,1.639771819,1.97206831,2.079493999,1.684817314,2.018557549,1.440723777,1.721075296,2.07038641,0.425108492,0.602136075,2.443739891,
P23,1.205901146,1.709504724,1.644478798,0.953775764,0.886229336,1.756000996,1.347492218,1.363920212,1.958679795,1.078212619,1.797727942,1.481880069,1.734844685,0.820677638,1.946510553,1.869928479,1.922280669,1.851550937,1.945534348,1.990977883,2.122858286,2.009635687,1.407212973,1.446152925,1.496180534,0.647856712,0.600343466,2.543288946,
P24,1.070734262,1.600768328,1.479869604,1.249783993,0.805613935,1.988662124,1.460439086,1.376611829,1.807868361,0.943262279,1.987735152,1.675797105,1.841342688,1.112435102,1.948585629,1.829654217,1.936042309,1.749755502,1.974321842,2.041119099,1.872567773,2.018953085,1.513036728,1.871780872,2.080193996,0.514481127,0.591997087,2.284995079,
P25,1.094118714,1.579594731,1.689108729,1.107133508,0.778074384,1.919408679,1.486740232,1.368205905,1.810480237,1.257514238,2.025449276,1.785183072,2.028613567,1.192946792,1.928895235,1.872221351,1.910927415,1.767086864,2.018339396,2.03519702,1.731553912,2.047665596,1.534537911,1.982160926,2.040534496,0.603582978,0.615531266,2.596759081,
P26,1.186473012,1.608167648,1.69705379,1.080524564,0.887292445,1.951970577,1.475648642,1.387252808,1.841751575,1.453219295,2.020776033,1.56473124,1.848467827,0.988446534,1.95514214,1.776572108,1.90308404,1.828277826,1.985705495,1.983398438,1.658281088,2.078312635,1.453458428,1.82933867,2.120700598,0.6682567,0.563212156,2.891392231,
P27,1.242684126,1.685803175,1.771303296,1.285187244,0.959971011,1.824503422,1.440417528,1.448866963,2.022405863,1.408475518,2.046476126,1.659601569,1.914646029,1.055433154,1.897118092,1.931736588,1.916039228,1.717763782,1.962058783,2.016134977,1.745623469,2.000467062,1.438390851,1.975135207,1.93476069,0.568620861,0.690311968,3.012424946,
P28,1.41332233,1.707985878,1.675882816,1.15177834,1.009375811,1.820546985,1.401159763,1.444606304,1.880618572,1.69344461,1.966546893,1.691886902,2.037096262,1.252342463,1.619974732,1.932715178,1.846674085,1.88613677,1.960047722,2.066226006,1.618469834,1.84164083,1.440539122,1.864985943,1.839779496,0.684287965,0.642975986,2.679651737,
P29,1.131914973,1.684113145,1.636586666,1.11237967,0.917339027,1.893793941,1.473781466,1.421841502,1.917884827,1.578547239,2.070186377,1.762488842,1.978708744,1.080812335,1.97205627,1.985888362,1.873881221,1.761366248,2.027888536,2.10476017,1.899220467,1.88053596,1.395190358,2.026334047,1.888826013,0.843269587,0.652022004,2.301249743,
P30,1.129356384,1.669113994,1.753175974,1.064999104,0.909197271,1.766080618,1.455895424,1.393953323,2.065640688,1.44453609,1.99544692,2.010588408,2.131946325,1.179858208,2.047146559,1.816271186,1.725120544,1.677836895,1.975424886,2.019310713,1.6351403,1.991541266,1.415722489,2.334257364,1.934837341,0.492826939,0.54747653,2.500731707,
P31,0.886597157,1.514019728,1.660987258,0.790620267,0.808677077,1.832237601,1.482299089,1.276579738,1.77418232,0.68970263,1.920307398,1.796064973,2.029863596,1.079733729,1.850358486,1.758283019,1.874080777,1.835542202,1.903265238,2.051154375,1.275880456,2.158636093,1.515573502,2.09596324,1.912278175,0.78023684,0.559575319,2.092342615,
