Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,0.837394655,1.61578548,1.567433715,0.989344001,0.949576199,1.924131632,1.674072742,1.385524035,1.890530825,0.46041733,1.978332162,1.716450691,2.052259445,1.224459052,2.082535505,2.548644304,,2.473710775,2.51484108,1.86587429,1.738257289,2.165744066,2.024657965,1.039812565,1.759003997,0.362105995,0.522373796,2.589386225,0.493890733
P02,0.617908359,1.618471026,1.470045686,1.122128248,0.836717188,1.881802797,1.421051383,1.206779361,1.844554782,0.485374421,1.96085453,1.64518404,2.097051859,1.071752429,1.945154309,2.490520716,,2.256211042,2.523542404,2.067550182,1.72609055,1.872020125,1.980299354,1.020291567,1.910704851,0.7682513,0.429452479,2.058113575,0.474034041
P03,0.593275368,1.548345208,1.446147442,0.963630557,0.667149663,1.728647947,1.357788801,1.065095305,1.633696198,0.434734195,1.769908071,1.473734498,1.885574102,1.144162297,1.811858296,2.371571064,,2.057878494,2.421447515,1.899945855,1.846302867,1.658085585,1.815730453,0.984924257,1.546317458,1.033863544,0.374045968,1.29476428,0.362560421
P04,0.657139063,1.681567788,1.561199546,0.958208501,0.83775115,1.8471874,1.29233253,1.230460048,1.899375677,0.570236564,1.779645801,1.684887409,2.07363677,1.212105751,1.888943672,2.517364025,,2.106455088,2.329222202,2.135953665,1.879703283,1.874890447,1.905788422,1.050623894,1.801341891,0.793245435,0.457168847,1.689636111,0.436906338
P05,0.724338233,1.582449198,1.542168975,1.08813858,0.875321209,1.987567544,1.500855923,1.251322389,1.910903096,0.494639754,1.982260942,1.814363003,2.087230206,1.214864373,1.966285348,2.488268375,,2.169172525,2.470033407,2.096057177,1.717027903,1.964380026,2.004379511,1.149323463,1.92274785,0.656561077,0.428440511,1.9065727,0.406601518
P06,0.588733912,1.640360355,1.525283337,0.609151781,0.814621747,1.796612978,1.440877318,1.160661459,1.915549755,0.48446092,1.665267587,1.338774681,1.813513279,0.977682889,1.825267673,2.484610319,,2.231206894,2.372148991,1.893967271,1.645825982,1.927657723,1.944111943,0.799318492,1.722769499,0.706626117,0.510845244,1.855479717,0.460014254
P07,0.494777054,1.393310905,1.497110009,0.791112542,0.777064383,1.425640821,1.23421824,1.243941665,2.014951706,0.456392527,1.376302481,1.193023682,1.655750275,0.735121787,1.833700418,2.48536253,,2.290807009,2.337892294,1.938816309,1.017850637,1.623380065,1.775784135,0.702749014,1.825003505,1.091289639,0.430085242,1.192044497,0.389518946
P08,0.72618103,1.577661753,1.576550722,0.994148076,0.887755871,1.647335172,1.31975162,1.185031891,1.877006531,0.551139176,1.855223417,1.491783261,1.889879704,0.98523885,1.937867045,2.478142977,,2.43437171,2.446443558,1.938317418,1.925287604,1.818720579,1.923642159,0.857301116,2.026964903,1.127904415,0.488473028,1.924901724,0.442713559
P09,0.61129415,1.644232988,1.47538209,1.067258716,0.771615744,1.561407089,1.235569358,1.129345536,1.85253489,0.504492044,1.722192526,1.597140789,1.835207462,1.007438183,1.880117178,2.411211252,,2.04124403,2.453893661,1.953136921,1.685796499,1.799193025,1.896256089,0.962291181,1.906647325,0.936775446,0.39721176,1.417530537,0.385484397
P10,0.706294715,1.544094443,1.685428739,0.942443013,0.803822696,1.610568285,1.4303298,1.313219666,2.005274296,0.571610034,1.973820329,1.646175981,2.048801661,1.195635796,2.034464121,2.505620241,,2.144837856,2.464678288,1.985576034,1.625055552,1.851183772,1.981856227,1.195197463,1.811849833,0.65417707,0.395858288,1.842617154,0.383672327
