Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,0.737979233,1.49994576,1.663578749,1.157452345,0.764292598,1.686610699,1.515398145,1.277795076,1.932881236,0.872774184,2.006088734,1.616569757,1.962596059,0.995566428,2.023500204,1.799160123,1.842076421,1.677033901,1.851007462,1.942376375,1.387720823,2.025458336,1.514170766,0.920556068,1.614884257,0.423373908,0.391678631,2.100030661,0.426043749
P02,0.820852816,1.546299338,1.599272132,1.004632115,1.019652009,1.697822332,1.440774918,1.277759314,1.886458516,1.227136493,1.93750906,1.415369034,2.044785976,0.955750465,1.997552872,1.833633423,1.932254791,1.981643677,1.863204956,2.018286467,1.351859689,1.832352877,1.419870019,0.964844465,2.108790636,0.656373501,0.432898611,2.062559605,0.345615596
P03,0.819222629,1.468446493,1.561490297,1.042534709,0.933272123,1.709433556,1.491285086,1.365478277,2.038023233,1.226532578,1.990744114,1.874236822,2.075068474,1.105024815,1.946767211,1.894225121,1.951556802,1.624462366,1.950670719,2.056519747,1.353926182,1.76525557,1.342854142,1.029636383,1.909386516,1.285262585,0.436760187,1.681421399,0.445044547
P04,0.794687748,1.556452394,1.560430765,1.310889721,0.844126523,1.778016925,1.649945259,1.319865584,1.946551442,0.964681208,1.97034502,1.671271205,2.059619427,1.013569951,1.716900468,1.864456415,1.768021584,1.701509476,1.933314919,2.132480145,1.409620643,1.956473589,1.510182619,0.959642768,2.083091974,0.633339047,0.373267293,1.832619667,0.407519341
P05,0.866818726,1.617472053,1.677555203,1.149584532,0.874317467,1.968441606,1.541111946,1.46483767,2.05212903,0.859859526,2.007117271,1.892247677,2.173329115,1.241521597,2.033439159,1.952529669,1.975387573,1.764609575,1.945064545,2.123205185,1.4156003,1.973334193,1.539452553,1.050936222,1.719240069,0.521546543,0.456735075,2.066003799,0.472616017
P06,0.813619733,1.490650892,1.651115894,1.194002151,0.953861117,1.749428153,1.577893615,1.32790935,1.777346373,1.167759538,2.034265518,1.664215446,2.095312357,1.073025942,1.882713795,1.964590192,1.89509213,1.852621436,1.852989793,2.017778635,1.336675525,1.907997012,1.478830934,0.91158551,1.804596424,0.640946865,0.444220901,2.04615283,0.343405724
P07,0.65402019,1.479046345,1.570481062,0.718528032,0.806429565,1.892849326,1.397856712,1.149266243,1.870786786,0.834441781,1.876574993,1.718052387,2.047194719,1.066144943,1.987963557,1.792997956,1.764695287,1.656875849,1.828735709,1.976695299,1.407860279,1.918299675,1.449155092,1.053462982,2.102397442,0.829069138,0.387555599,1.49903214,0.412460148
P08,0.645623267,1.289705276,1.599609613,0.817569017,0.871646523,1.566663742,1.300479889,1.289815068,1.911248326,0.949932158,1.70258081,1.581765413,1.867536783,0.960116565,1.970971227,1.840387464,1.904372573,1.744078994,1.773932219,1.814970613,1.914869189,1.835530281,1.498699069,0.871639073,1.882651329,0.886598527,0.456338853,1.613970757,0.496512294
P09,0.64653194,1.466085672,1.718362927,1.064189196,0.743582904,1.783119082,1.495908022,1.328604698,2.013174295,1.252329946,1.733353734,1.82895577,2.028637648,1.086087227,1.975217581,1.785552382,2.009917021,1.694445729,1.868543983,1.867512345,1.347908616,1.861281276,1.462279916,1.059342384,1.960687757,0.728191614,0.406520635,1.576360106,0.361414641
P10,0.702526987,1.567119002,1.506363511,1.089733839,0.867131948,1.947710991,1.584087014,1.320335031,1.772285104,1.214213252,1.842412114,1.799417138,2.203959227,1.071743011,1.95771277,1.857542157,1.96978271,1.858434677,1.913039923,2.073786736,1.412573934,1.902055502,1.533660531,0.92087388,1.831990242,0.566910565,0.4221057,2.068975449,0.334812254
P11,0.870203733,1.759401679,1.897076726,1.217655897,0.952934742,1.970607758,1.484695554,1.490298986,1.884410381,1.265494823,2.014950275,1.767077446,2.028589725,1.095286012,1.89737618,1.836862445,1.895733953,1.656427503,1.943344593,2.005355835,1.42924118,2.102699041,1.569169641,0.93242681,1.726143956,0.662096143,0.450083643,2.283078909,0.514980912
P12,1.046209097,1.809227586,1.746387362,1.614272714,1.038697004,2.038615465,1.684802055,1.559407949,1.719467878,1.61592567,1.999862075,1.885638475,2.115497351,1.33053565,1.946385503,1.949669957,1.955884814,1.809769869,1.94083941,2.022734165,1.418873906,2.041576385,1.5472368,1.040114641,1.742799163,0.387913495,0.468949139,2.503979921,0.489917129
P13,0.875760853,1.473063111,1.610490203,0.961394668,0.799411237,1.719442487,1.465791821,1.298350453,1.866498828,0.742025018,2.024104595,1.737446189,2.142957211,1.064788103,1.543373466,1.854560614,1.890770197,1.82648325,1.856782436,1.996978283,1.427569747,2.056097269,1.507410288,1.124316454,1.889329076,0.671306849,0.436086088,2.136467457,0.374041766
P14,0.799604952,1.622511864,1.828366756,1.554813147,0.848139644,2.16194725,1.875123858,1.613557816,1.932671905,0.89801091,1.962237239,2.167779684,2.355732441,1.643411279,2.11882472,1.884900689,1.927996039,1.912862897,1.885737181,2.143452168,1.893825054,2.044677496,1.631040096,1.281826138,2.345925093,1.336372375,0.436386257,2.282114267,0.421533793
