Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.3218,0.4180,0.3463,0.3010,0.3296,0.3157,0.3387,0.0416,0.1229,44,44,44,47,48,48,45.8300,46
P02,0.4762,0.5667,0.5785,0.5100,0.5561,0.5507,0.5397,0.0388,0.0720,23,25,21,21,20,17,21.1700,21
P03,0.0255,0.1713,0.0154,0.0645,0.0730,0.1089,0.0764,0.0575,0.7522,60,60,59,59,59,59,59.3300,59
P04,0.4368,0.5513,0.4759,0.4679,0.5165,0.4961,0.4908,0.0400,0.0816,29,26,30,27,27,27,27.6700,28
P05,0.3262,0.4305,0.3541,0.3249,0.3609,0.3455,0.3570,0.0388,0.1088,43,42,42,44,44,44,43.1700,43
P06,0.2674,0.3263,0.2775,0.2503,0.2774,0.2853,0.2807,0.0254,0.0904,49,55,50,53,53,53,52.1700,53
P07,0.2563,0.2980,0.2804,0.2563,0.2900,0.3116,0.2821,0.0224,0.0796,52,56,48,52,52,50,51.6700,52
P08,0.2403,0.3765,0.2253,0.2641,0.2988,0.2912,0.2827,0.0540,0.1909,54,48,54,50,50,52,51.3300,50
P09,0.4216,0.4960,0.4851,0.4517,0.4992,0.4844,0.4730,0.0303,0.0641,31,35,28,30,30,28,30.3300,30
P10,0.3345,0.4121,0.3803,0.3600,0.4072,0.4014,0.3826,0.0305,0.0798,42,47,41,41,42,40,42.1700,42
P11,0.3988,0.4887,0.4654,0.4086,0.4528,0.4305,0.4408,0.0345,0.0783,34,36,33,34,34,33,34.0000,34
P12,0.4801,0.5496,0.5842,0.5103,0.5567,0.5447,0.5376,0.0368,0.0685,21,27,20,20,19,19,21.0000,19
P13,0.4541,0.5421,0.5023,0.4829,0.5311,0.5091,0.5036,0.0321,0.0637,26,29,26,26,26,24,26.1700,26
P14,0.8870,0.9287,0.9799,0.9000,0.9104,0.9162,0.9204,0.0324,0.0352,2,2,2,2,2,2,2.0000,2
P15,0.4848,0.5749,0.5900,0.5028,0.5545,0.5263,0.5389,0.0413,0.0767,20,20,19,23,22,23,21.1700,21
