Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P16,0.4606,0.5426,0.5370,0.5055,0.5509,0.5547,0.5252,0.0362,0.0689,25,28,22,22,23,16,22.6700,23
P18,0.3664,0.4332,0.4322,0.3761,0.4160,0.4083,0.4053,0.0283,0.0697,38,41,35,40,40,37,38.5000,39
P19,0.2178,0.3474,0.1948,0.2322,0.2628,0.2594,0.2524,0.0531,0.2104,56,52,56,55,55,55,54.8300,56
P20,0.2580,0.3445,0.2529,0.2071,0.2265,0.2191,0.2513,0.0497,0.1976,50,53,53,56,56,56,54.0000,55
P21,0.5062,0.5909,0.6027,0.5222,0.5715,0.5410,0.5558,0.0387,0.0696,17,17,15,17,17,20,17.1700,17
P22,0.4533,0.5694,0.5180,0.4608,0.5084,0.4721,0.4970,0.0439,0.0884,27,23,25,28,29,30,27.0000,27
P23,0.3829,0.4978,0.4140,0.3849,0.4312,0.3914,0.4170,0.0438,0.1050,35,34,36,37,37,41,36.6700,36
P24,0.3691,0.4882,0.3880,0.3929,0.4421,0.4126,0.4155,0.0434,0.1045,37,37,39,36,35,36,36.6700,36
P25,0.3531,0.4487,0.4003,0.3784,0.4270,0.4137,0.4036,0.0343,0.0850,40,40,37,39,38,35,38.1700,38
P26,0.5376,0.5981,0.6742,0.5657,0.6102,0.5950,0.5968,0.0461,0.0773,14,14,10,13,13,13,12.8300,13
P27,0.3548,0.4544,0.3852,0.3787,0.4250,0.4050,0.4005,0.0356,0.0888,39,39,40,38,39,39,39.0000,40
P28,0.4981,0.5745,0.5989,0.5169,0.5658,0.5381,0.5487,0.0379,0.0690,18,21,16,18,18,21,18.6700,18
P29,0.2751,0.3581,0.2778,0.2978,0.3337,0.3347,0.3129,0.0342,0.1093,48,50,49,48,47,45,47.8300,48
P30,0.5539,0.6174,0.6437,0.5846,0.6279,0.6149,0.6071,0.0325,0.0535,13,12,12,12,12,12,12.1700,12
P31,0.5116,0.5973,0.6072,0.5402,0.5881,0.5728,0.5695,0.0368,0.0646,16,15,14,15,15,14,14.8300,15
P32,0.2569,0.3361,0.2669,0.2604,0.2941,0.3024,0.2861,0.0307,0.1072,51,54,51,51,51,51,51.5000,51
P33,0.2993,0.4259,0.2996,0.3076,0.3481,0.3228,0.3339,0.0487,0.1458,47,43,46,46,46,47,45.8300,46
P34,0.4054,0.5073,0.4548,0.4311,0.4849,0.4578,0.4569,0.0365,0.0798,33,32,34,32,32,32,32.5000,32
P35,0.4850,0.5710,0.5272,0.5121,0.5559,0.5363,0.5313,0.0308,0.0579,19,22,23,19,21,22,21.0000,19
P36,0.4692,0.5842,0.5257,0.4878,0.5411,0.5076,0.5193,0.0409,0.0787,24,18,24,25,24,25,23.3300,24
P37,0.5149,0.6142,0.5927,0.5291,0.5782,0.5462,0.5625,0.0387,0.0688,15,13,18,16,16,18,16.0000,16
P38,0.6677,0.7325,0.7484,0.6845,0.7173,0.7087,0.7098,0.0299,0.0421,10,8,8,10,10,9,9.1700,10
P39,0.7671,0.7679,0.7912,0.7666,0.7909,0.7753,0.7765,0.0117,0.0151,3,4,4,4,4,4,3.8300,3
P40,0.1408,0.2642,0.0869,0.1353,0.1531,0.1636,0.1573,0.0586,0.3727,58,58,58,57,57,57,57.5000,57
P41,0.2524,0.3689,0.2538,0.2752,0.3115,0.3141,0.2960,0.0447,0.1510,53,49,52,49,49,49,50.1700,49
P42,0.4176,0.5243,0.4694,0.4369,0.4917,0.4582,0.4663,0.0383,0.0821,32,30,31,31,31,31,31.0000,31
P43,0.1437,0.2728,0.0971,0.1294,0.1464,0.1605,0.1583,0.0601,0.3796,57,57,57,58,58,58,57.5000,57
P44,0.0694,0.2276,0.0000,0.0416,0.0471,0.0546,0.0734,0.0790,1.0768,59,59,61,60,60,60,59.8300,60
P45,0.2378,0.3548,0.2193,0.2379,0.2692,0.2596,0.2631,0.0483,0.1835,55,51,55,54,54,54,53.8300,54
P46,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1,1.0000,1
P47,0.7078,0.6444,0.6896,0.7221,0.7425,0.7233,0.7049,0.0345,0.0490,5,11,9,6,6,6,7.1700,7
P48,0.3104,0.4170,0.3178,0.3137,0.3550,0.3295,0.3406,0.0408,0.1198,46,45,45,45,45,46,45.3300,45
P49,0.6996,0.7627,0.8072,0.7281,0.7565,0.7609,0.7525,0.0363,0.0482,8,6,3,5,5,5,5.3300,4
P50,0.4279,0.5053,0.4692,0.4256,0.4640,0.4278,0.4533,0.0321,0.0707,30,33,32,33,33,34,32.5000,32
P51,0.4433,0.5677,0.4760,0.4591,0.5088,0.4736,0.4881,0.0447,0.0915,28,24,29,29,28,29,27.8300,29
P53,0.3395,0.4754,0.3533,0.3599,0.4072,0.3797,0.3858,0.0498,0.1291,41,38,43,42,41,42,41.1700,41
P54,0.3795,0.5161,0.3935,0.3939,0.4417,0.4060,0.4218,0.0508,0.1204,36,31,38,35,36,38,35.6700,35
P55,0.4792,0.5794,0.4964,0.4904,0.5381,0.4981,0.5136,0.0379,0.0738,22,19,27,24,25,26,23.8300,25
P56,0.5708,0.6579,0.5978,0.5652,0.6076,0.5569,0.5927,0.0375,0.0632,12,9,17,14,14,15,13.5000,14
P57,0.7025,0.7662,0.7707,0.6982,0.7297,0.7048,0.7287,0.0327,0.0449,6,5,6,9,9,10,7.5000,9
P58,0.0000,0.0000,0.0116,0.0000,0.0000,0.0000,0.0019,0.0047,2.4495,61,61,60,61,61,61,60.8300,61
P59,0.3146,0.4166,0.2915,0.3451,0.3890,0.3586,0.3526,0.0462,0.1311,45,46,47,43,43,43,44.5000,44
P60,0.6215,0.6532,0.6413,0.6198,0.6568,0.6194,0.6353,0.0173,0.0273,11,10,13,11,11,11,11.1700,11
P61,0.7119,0.5925,0.6728,0.7972,0.8003,0.8091,0.7306,0.0874,0.1196,4,16,11,3,3,3,6.6700,6
P62,0.7014,0.7750,0.7777,0.6986,0.7300,0.7087,0.7319,0.0362,0.0494,7,3,5,8,8,8,6.5000,5
P63,0.6887,0.7341,0.7550,0.7002,0.7315,0.7190,0.7214,0.0241,0.0334,9,7,7,7,7,7,7.3300,8
