Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.0000,0.0125,0.0000,0.0000,0.0000,0.0025,0.0056,2.2361,61,60,61,61,61,60.8000,61
P02,0.5270,0.6358,0.8327,0.5961,0.6661,0.6516,0.1139,0.1748,10,7,4,8,8,7.4000,6
P03,0.4084,0.4101,0.5621,0.4522,0.5055,0.4677,0.0660,0.1411,26,30,28,26,28,27.6000,28
P04,0.4198,0.4714,0.5023,0.4512,0.5155,0.4720,0.0386,0.0818,24,24,31,27,26,26.4000,27
P05,0.2010,0.3155,0.2927,0.2687,0.3356,0.2827,0.0520,0.1841,47,39,47,45,45,44.6000,45
P06,0.2091,0.3218,0.2879,0.2736,0.3417,0.2868,0.0511,0.1782,45,38,48,44,44,43.8000,44
P07,0.5547,0.4443,0.5990,0.5593,0.5958,0.5506,0.0628,0.1140,8,28,27,13,14,18.0000,17
P08,0.3512,0.3830,0.4864,0.4002,0.4627,0.4167,0.0563,0.1351,31,33,34,32,32,32.4000,33
P09,0.4429,0.5151,0.7160,0.5002,0.5804,0.5510,0.1044,0.1896,23,18,15,18,18,18.4000,18
P10,0.2699,0.2536,0.3659,0.3159,0.3763,0.3163,0.0551,0.1741,38,47,41,39,39,40.8000,41
P11,0.6274,0.6272,0.7543,0.6443,0.6918,0.6690,0.0545,0.0814,5,8,13,6,6,7.6000,7
P12,0.1370,0.1995,0.2354,0.1869,0.2333,0.1984,0.0403,0.2030,52,52,50,53,53,52.0000,52
P13,0.3894,0.4636,0.5456,0.4288,0.5117,0.4678,0.0626,0.1338,28,26,29,29,27,27.8000,29
P14,0.4866,0.5108,0.8179,0.5607,0.5878,0.5928,0.1320,0.2227,14,20,5,12,16,13.4000,14
P15,0.1406,0.2226,0.1849,0.1870,0.2335,0.1937,0.0366,0.1890,51,48,54,52,52,51.4000,51
P16,0.1453,0.2014,0.2369,0.1932,0.2412,0.2036,0.0388,0.1908,50,51,49,51,51,50.4000,50
P18,0.1791,0.2548,0.3018,0.2364,0.2927,0.2530,0.0492,0.1946,48,46,46,46,46,46.4000,47
P19,0.0494,0.0000,0.0867,0.0928,0.1159,0.0690,0.0453,0.6575,60,61,59,59,59,59.6000,59
P20,0.1548,0.2608,0.2197,0.2213,0.2764,0.2266,0.0471,0.2078,49,45,51,49,48,48.4000,49
P21,0.2646,0.3303,0.4526,0.3197,0.3852,0.3505,0.0714,0.2036,41,36,38,38,37,38.0000,38
P22,0.2647,0.2675,0.3122,0.3076,0.3620,0.3028,0.0397,0.1311,40,44,44,41,42,42.2000,43
P23,0.2240,0.2050,0.3114,0.2235,0.2649,0.2458,0.0427,0.1739,44,50,45,48,49,47.2000,48
P24,0.2764,0.3393,0.4635,0.3300,0.4050,0.3628,0.0725,0.1998,37,35,37,37,35,36.2000,36
P25,0.3493,0.3969,0.6004,0.4005,0.4669,0.4428,0.0975,0.2203,32,31,26,31,31,30.2000,31
P26,0.4754,0.5466,0.7963,0.5440,0.6124,0.5949,0.1226,0.2060,15,13,9,15,13,13.0000,13
P27,0.4433,0.5240,0.6952,0.4978,0.5838,0.5488,0.0962,0.1753,22,17,17,20,17,18.6000,19
P28,0.3482,0.3873,0.6113,0.3981,0.4580,0.4406,0.1032,0.2343,33,32,23,33,33,30.8000,32
P29,0.2477,0.3143,0.3984,0.3010,0.3758,0.3274,0.0604,0.1845,42,40,39,42,40,40.6000,40
P30,0.4461,0.5330,0.6112,0.4827,0.5597,0.5265,0.0646,0.1228,21,15,24,22,21,20.6000,22
P31,0.6010,0.7073,0.8785,0.6465,0.7084,0.7083,0.1053,0.1486,7,6,2,5,5,5.0000,5
P32,0.0525,0.0859,0.0688,0.0820,0.1024,0.0783,0.0188,0.2397,59,59,60,60,60,59.6000,59
P33,0.4576,0.4774,0.4930,0.4715,0.5260,0.4851,0.0261,0.0539,17,23,33,23,24,24.0000,23
P34,0.3804,0.4713,0.6106,0.4409,0.5327,0.4872,0.0882,0.1810,29,25,25,28,23,26.0000,26
P35,0.4513,0.5121,0.6943,0.5001,0.5798,0.5475,0.0940,0.1717,20,19,18,19,19,19.0000,20
P36,0.3123,0.3561,0.4765,0.3510,0.4195,0.3831,0.0649,0.1693,36,34,35,34,34,34.6000,34
P37,0.3950,0.4578,0.6759,0.4546,0.5248,0.5016,0.1077,0.2147,27,27,21,25,25,25.0000,25
P38,0.4919,0.5716,0.8020,0.5565,0.6330,0.6110,0.1179,0.1930,13,10,8,14,11,11.2000,12
P39,0.4643,0.4817,0.7412,0.5116,0.5593,0.5516,0.1119,0.2029,16,21,14,16,22,17.8000,16
P40,0.1338,0.1634,0.1743,0.1946,0.2430,0.1818,0.0406,0.2235,53,55,55,50,50,52.6000,53
P41,0.2250,0.3058,0.3740,0.2850,0.3502,0.3080,0.0582,0.1890,43,41,40,43,43,42.0000,42
P42,0.2084,0.2123,0.3393,0.2286,0.2854,0.2548,0.0564,0.2213,46,49,42,47,47,46.2000,46
P43,0.1160,0.1704,0.1858,0.1816,0.2268,0.1761,0.0398,0.2260,55,53,53,54,54,53.8000,54
P44,0.0566,0.1700,0.1090,0.1322,0.1651,0.1266,0.0464,0.3665,58,54,58,57,56,56.6000,57
P45,0.1012,0.1174,0.1902,0.1334,0.1608,0.1406,0.0354,0.2518,57,58,52,56,58,56.2000,56
P46,0.5191,0.5524,0.8128,0.5814,0.6291,0.6190,0.1157,0.1869,12,12,6,10,12,10.4000,11
P47,0.3375,0.3023,0.5072,0.3399,0.3807,0.3735,0.0797,0.2134,34,42,30,36,38,36.0000,35
P48,0.1070,0.1586,0.1577,0.1503,0.1877,0.1523,0.0291,0.1909,56,56,56,55,55,55.6000,55
P49,0.4113,0.4156,0.7133,0.4559,0.4931,0.4978,0.1249,0.2510,25,29,16,24,30,24.8000,24
P50,0.1162,0.1244,0.1495,0.1301,0.1625,0.1365,0.0190,0.1391,54,57,57,58,57,56.6000,57
P51,0.3696,0.4789,0.4987,0.4172,0.5021,0.4533,0.0579,0.1277,30,22,32,30,29,28.6000,30
P53,0.4513,0.5344,0.6337,0.4905,0.5692,0.5358,0.0705,0.1316,19,14,22,21,20,19.2000,21
P54,0.2691,0.3021,0.4708,0.3101,0.3706,0.3445,0.0795,0.2309,39,43,36,40,41,39.8000,39
P55,0.9085,0.9235,0.8619,0.8579,0.8815,0.8867,0.0287,0.0324,3,2,3,4,4,3.2000,2
P56,1.0000,0.8831,0.7941,1.0000,1.0000,0.9354,0.0938,0.1003,1,4,10,1,1,3.4000,3
P57,0.9069,1.0000,1.0000,0.8921,0.9142,0.9426,0.0530,0.0562,4,1,1,3,3,2.4000,1
P58,0.3284,0.3277,0.3318,0.3483,0.3933,0.3459,0.0278,0.0803,35,37,43,35,36,37.2000,37
P59,0.6188,0.7077,0.6872,0.6142,0.6712,0.6598,0.0417,0.0631,6,5,20,7,7,9.0000,8
P60,0.9872,0.8993,0.7863,0.9577,0.9567,0.9174,0.0799,0.0871,2,3,11,2,2,4.0000,4
P61,0.5327,0.5608,0.7803,0.5895,0.6390,0.6205,0.0976,0.1573,9,11,12,9,10,10.2000,10
P62,0.5205,0.6104,0.8122,0.5780,0.6510,0.6344,0.1103,0.1738,11,9,7,11,9,9.4000,9
P63,0.4569,0.5247,0.6876,0.5040,0.5890,0.5524,0.0892,0.1616,18,16,19,17,15,17.0000,15
