Province,C01_TOPSIS,C01_VIKOR,C01_PROMETHEE,C01_COPRAS,C01_EDAS,C01_SAW,C02_TOPSIS,C02_VIKOR,C02_PROMETHEE,C02_COPRAS,C02_EDAS,C02_SAW,C03_TOPSIS,C03_VIKOR,C03_PROMETHEE,C03_COPRAS,C03_EDAS,C03_SAW,C04_TOPSIS,C04_VIKOR,C04_PROMETHEE,C04_COPRAS,C04_EDAS,C04_SAW,C05_TOPSIS,C05_VIKOR,C05_PROMETHEE,C05_COPRAS,C05_EDAS,C05_SAW,C06_TOPSIS,C06_VIKOR,C06_PROMETHEE,C06_COPRAS,C06_EDAS,C06_SAW,C07_TOPSIS,C07_VIKOR,C07_PROMETHEE,C07_COPRAS,C07_EDAS,C07_SAW,C08_TOPSIS,C08_VIKOR,C08_PROMETHEE,C08_COPRAS,C08_EDAS,C08_SAW,Mean_Rank,Median_Rank,StdDev_Rank,Best_Rank,Worst_Rank,Rank_Range
P38,30,28,29,29,30,29,12,13,12,13,12,12,14,13,8,12,10,7,10,8,8,10,10,9,3,3,5,5,5,7,7,4,6,7,7,7,13,10,8,14,11,11,7,6,8,8,8,12,11,10,7,3,30,27
P39,7,8,7,6,6,6,1,1,1,1,1,1,11,14,11,9,11,11,3,4,4,4,4,4,5,6,6,7,7,6,9,8,7,8,8,8,16,21,14,16,22,14,4,4,5,4,4,5,7,6,5,1,22,21
P40,49,54,45,49,49,49,58,55,60,60,60,59,59,56,60,60,60,61,58,58,58,57,57,57,33,36,32,32,33,31,56,60,56,57,57,53,53,55,55,50,50,56,32,31,43,43,40,48,51,55,10,31,61,30
P41,33,29,35,35,36,37,55,56,52,52,52,51,29,29,35,32,32,42,53,49,52,49,49,49,55,50,56,55,56,54,59,59,58,58,58,57,43,41,40,43,43,40,59,59,59,59,59,60,48,51,10,29,60,31
P42,40,38,37,37,37,36,38,35,37,38,36,35,28,28,25,27,25,26,32,30,31,31,31,31,14,15,12,12,13,11,38,39,39,39,39,42,46,49,42,47,47,41,31,33,26,26,27,17,32,33,10,11,49,38
P43,45,35,46,45,45,45,57,52,59,58,58,57,42,41,43,41,42,43,57,57,57,58,58,58,46,41,49,47,49,49,58,58,59,59,59,59,55,53,53,54,54,53,49,47,46,47,47,45,51,51,6,35,59,24
P44,44,44,43,42,42,40,53,50,55,54,54,56,44,45,37,38,40,29,59,59,61,60,60,60,57,52,57,57,57,55,55,54,54,55,56,48,58,54,58,57,56,58,10,9,21,18,20,23,47,54,14,9,61,52
P45,52,45,53,51,52,51,48,47,51,50,49,52,40,40,38,37,37,38,55,51,55,54,54,54,42,43,44,43,43,42,53,43,52,52,50,47,57,58,52,56,58,52,22,20,15,19,14,15,45,49,12,14,58,44
P46,14,14,13,14,15,15,4,3,3,3,3,3,26,26,15,20,19,9,1,1,1,1,1,1,2,1,2,4,4,5,21,25,15,17,18,14,12,12,6,10,12,6,5,5,4,5,5,4,9,6,7,1,26,25
P47,35,42,36,34,33,35,6,6,4,5,5,4,51,49,49,50,50,45,5,11,9,6,6,6,19,21,18,20,18,17,17,26,19,15,16,18,34,42,30,36,38,29,1,1,1,1,1,1,21,18,16,1,51,50
P48,46,39,49,47,48,47,44,42,47,45,45,50,55,55,51,55,55,48,46,45,45,45,45,46,43,35,43,44,42,44,45,44,46,44,45,46,56,56,56,55,55,54,40,42,37,38,39,35,46,45,6,35,56,21
P49,42,53,40,39,38,39,9,7,13,12,11,13,41,42,33,36,36,27,8,6,3,5,5,5,1,2,1,1,1,1,1,1,1,2,2,2,25,29,16,24,30,15,2,2,3,2,2,2,15,8,16,1,53,52
P50,31,33,31,31,32,31,17,19,26,24,25,34,56,60,56,56,56,55,30,33,32,33,33,34,54,51,55,53,54,53,34,37,36,33,35,31,54,57,57,58,57,55,14,10,10,10,10,8,37,34,16,8,60,52
P51,34,36,39,41,39,44,45,44,45,44,44,44,52,54,52,51,52,44,28,24,29,29,28,29,44,46,39,39,39,38,60,55,60,60,60,61,30,22,32,30,29,34,25,22,20,21,21,14,39,39,12,14,61,47
P53,55,48,55,55,55,55,52,51,53,53,53,55,43,43,39,39,38,37,41,38,43,42,41,42,35,39,37,36,38,36,57,46,57,56,55,58,19,14,22,21,20,26,58,54,58,58,58,56,45,45,12,14,58,44
P54,60,59,60,60,60,60,59,58,56,57,57,53,54,53,55,54,54,53,36,31,38,35,36,38,58,58,58,58,58,58,52,50,53,51,49,51,39,43,36,40,41,31,61,61,61,61,61,61,52,54,9,31,61,30
P55,53,49,54,52,54,53,51,49,50,48,48,49,58,57,58,58,58,58,22,19,27,24,25,26,31,32,30,31,30,27,29,41,25,24,26,16,3,2,3,4,4,5,57,51,57,56,54,53,37,41,18,2,58,56
P56,38,41,42,43,41,48,29,28,36,33,31,36,33,33,29,30,30,20,12,9,17,14,14,15,6,5,4,3,3,3,22,27,29,29,29,35,1,4,10,1,1,2,56,52,56,54,52,54,26,29,17,1,56,55
P57,57,50,58,58,58,58,54,57,49,51,51,46,60,59,59,57,57,57,6,5,6,9,9,10,38,44,36,38,37,39,26,23,33,27,27,33,4,1,1,3,3,1,60,60,60,60,60,59,38,44,21,1,60,59
P58,59,56,59,59,59,59,61,61,61,61,61,61,57,58,57,59,59,59,61,61,60,61,61,61,36,40,35,35,34,33,50,56,45,47,47,43,35,37,43,35,36,48,21,25,42,37,44,51,50,56,11,21,61,40
P59,61,60,61,61,61,61,46,48,54,55,55,60,61,61,61,61,61,60,45,46,47,43,43,43,39,38,40,40,40,40,44,53,49,48,51,55,6,5,20,7,7,21,27,26,28,28,28,33,44,46,16,5,61,56
P60,48,55,51,53,51,56,41,40,42,42,42,43,20,19,22,22,22,25,11,10,13,11,11,11,7,8,7,6,6,4,27,21,28,26,25,32,2,3,11,2,2,3,18,17,23,23,23,27,23,22,16,2,56,54
P61,28,30,30,30,29,33,32,34,23,26,27,21,53,51,53,53,53,51,4,16,11,3,3,3,28,27,24,23,22,21,4,6,4,4,4,4,9,11,12,9,10,7,48,45,48,45,45,49,25,25,17,3,53,50
P62,43,40,44,44,44,46,23,20,25,23,23,26,23,23,20,19,18,14,7,3,5,8,8,8,16,14,17,18,19,19,14,13,17,16,15,21,11,9,7,11,9,12,29,28,27,27,26,24,20,19,11,3,46,43
P63,41,34,41,40,43,41,21,22,18,18,18,17,4,3,2,3,3,4,9,7,7,7,7,7,8,7,8,9,9,8,39,36,41,38,38,40,18,16,19,17,15,20,19,19,18,20,16,19,19,18,13,2,43,41
