Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P24,0.4714,0.4832,0.5568,0.4558,0.5355,0.4506,0.4922,0.0439,0.0891,16,12,22,22,22,25,19.8300,21
P25,0.2923,0.2961,0.3633,0.3108,0.3884,0.3507,0.3336,0.0395,0.1185,43,40,44,44,41,41,42.1700,44
P26,0.1985,0.1792,0.2388,0.2130,0.2656,0.2749,0.2283,0.0380,0.1662,55,53,55,55,55,50,53.8300,54
P27,0.2818,0.2870,0.2928,0.2664,0.3344,0.2543,0.2861,0.0275,0.0963,46,43,49,46,46,52,47.0000,48
P28,0.4626,0.4579,0.5935,0.4775,0.5609,0.4937,0.5077,0.0562,0.1108,17,18,17,17,18,21,18.0000,19
P29,0.3787,0.3876,0.4840,0.3927,0.4724,0.4376,0.4255,0.0458,0.1076,28,27,29,29,30,29,28.6700,29
P30,0.5284,0.5342,0.6708,0.5344,0.6131,0.5485,0.5715,0.0579,0.1012,9,8,9,9,9,13,9.5000,9
P31,0.2369,0.1659,0.3141,0.2597,0.3174,0.3451,0.2732,0.0660,0.2418,51,56,45,48,48,43,48.5000,49
P32,0.4766,0.4891,0.6482,0.5133,0.5889,0.5829,0.5498,0.0673,0.1225,15,11,11,12,12,9,11.6700,12
P33,0.3423,0.3195,0.2952,0.2470,0.2869,0.1773,0.2780,0.0589,0.2118,35,37,47,49,50,57,45.8300,45
P34,0.3657,0.3507,0.4055,0.3339,0.4059,0.2972,0.3598,0.0422,0.1174,33,32,40,39,38,46,38.0000,38
P35,0.5300,0.5345,0.6336,0.5153,0.5920,0.5040,0.5516,0.0504,0.0914,8,7,12,11,11,16,10.8300,11
P36,0.2744,0.2653,0.2470,0.2155,0.2699,0.1674,0.2399,0.0416,0.1733,47,46,53,53,53,58,51.6700,52
P37,0.3038,0.2868,0.4195,0.3432,0.4159,0.4215,0.3651,0.0618,0.1692,41,44,35,36,36,34,37.6700,37
P38,0.5685,0.5702,0.6966,0.5624,0.6363,0.5597,0.5989,0.0558,0.0931,7,6,8,8,8,12,8.1700,7
P39,0.6783,0.6658,0.8013,0.7334,0.7784,0.7584,0.7359,0.0545,0.0740,4,4,5,4,4,5,4.3300,4
P40,0.3680,0.3557,0.3941,0.3244,0.3913,0.2780,0.3519,0.0443,0.1259,32,31,43,43,40,48,39.5000,40
P41,0.0813,0.0847,0.0680,0.0780,0.0979,0.0758,0.0810,0.0100,0.1240,59,59,59,59,59,60,59.1700,59
P42,0.3692,0.3448,0.5272,0.4219,0.4969,0.5032,0.4439,0.0763,0.1720,31,33,26,26,27,17,26.6700,26
P43,0.2478,0.2501,0.2963,0.2635,0.3307,0.3008,0.2815,0.0331,0.1174,49,47,46,47,47,45,46.8300,47
P44,0.5080,0.5212,0.5751,0.4768,0.5488,0.4554,0.5142,0.0444,0.0863,10,9,21,18,20,23,16.8300,16
P45,0.4361,0.4349,0.6003,0.4740,0.5629,0.5264,0.5057,0.0686,0.1356,22,20,15,19,14,15,17.5000,18
P46,0.6151,0.6026,0.8174,0.7155,0.7635,0.8043,0.7197,0.0931,0.1293,5,5,4,5,5,4,4.6700,5
P47,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1,1.0000,1
P48,0.3043,0.2873,0.4111,0.3371,0.4019,0.4207,0.3604,0.0582,0.1616,40,42,37,38,39,35,38.5000,39
P49,0.9496,0.8690,0.8854,0.9475,0.9563,0.8611,0.9115,0.0442,0.0485,2,2,3,2,2,2,2.1700,2
P50,0.4803,0.4923,0.6561,0.5203,0.5967,0.5936,0.5566,0.0695,0.1249,14,10,10,10,10,8,10.3300,10
P51,0.4231,0.4283,0.5826,0.4599,0.5440,0.5292,0.4945,0.0665,0.1344,25,22,20,21,21,14,20.5000,22
P53,0.1731,0.1781,0.1817,0.1831,0.2298,0.1941,0.1900,0.0207,0.1090,58,54,58,58,58,56,57.0000,58
P54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61,61,61,61,61,61,61.0000,61
P55,0.1914,0.1899,0.2260,0.2118,0.2658,0.2489,0.2223,0.0308,0.1384,57,51,57,56,54,53,54.6700,57
P56,0.1964,0.1887,0.2277,0.2151,0.2700,0.2356,0.2223,0.0294,0.1325,56,52,56,54,52,54,54.0000,56
P57,0.0593,0.0553,0.0504,0.0647,0.0812,0.0864,0.0662,0.0145,0.2189,60,60,60,60,60,59,59.8300,60
P58,0.4372,0.3962,0.3963,0.3409,0.3793,0.2587,0.3681,0.0620,0.1683,21,25,42,37,44,51,36.6700,36
P59,0.3875,0.3944,0.4890,0.4000,0.4937,0.4220,0.4311,0.0481,0.1115,27,26,28,28,28,33,28.3300,28
P60,0.4570,0.4614,0.5518,0.4501,0.5345,0.4462,0.4835,0.0468,0.0968,18,17,23,23,23,27,21.8300,23
P61,0.2622,0.2694,0.2949,0.2666,0.3347,0.2775,0.2842,0.0273,0.0960,48,45,48,45,45,49,46.6700,46
P62,0.3773,0.3768,0.5048,0.4086,0.5055,0.4531,0.4377,0.0592,0.1353,29,28,27,27,26,24,26.8300,27
P63,0.4480,0.4420,0.5896,0.4729,0.5611,0.5015,0.5025,0.0608,0.1211,19,19,18,20,16,19,18.5000,20
