Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.7137,0.7351,0.9250,0.7681,0.8073,0.8344,0.7973,0.0768,0.0963,3,3,2,3,3,3,2.8300,3
P02,0.4967,0.4658,0.5884,0.5030,0.5610,0.4991,0.5190,0.0459,0.0885,12,16,19,14,17,20,16.3300,14
P03,0.2351,0.2281,0.2420,0.2187,0.2745,0.1991,0.2329,0.0253,0.1084,52,50,54,51,51,55,52.1700,53
P04,0.4379,0.4242,0.6198,0.4913,0.5744,0.5619,0.5183,0.0793,0.1529,20,24,13,15,13,11,16.0000,13
P05,0.2196,0.1764,0.2838,0.2412,0.2938,0.3281,0.2571,0.0553,0.2150,54,55,50,50,49,44,50.3300,50
P06,0.3322,0.3269,0.4342,0.3614,0.4513,0.3987,0.3841,0.0524,0.1363,37,36,33,33,32,37,34.6700,33
P07,0.5812,0.4676,0.6099,0.5112,0.5502,0.4231,0.5239,0.0705,0.1346,6,15,14,13,19,32,16.5000,15
P08,0.4038,0.3668,0.5322,0.4464,0.5202,0.5018,0.4618,0.0672,0.1455,26,29,25,24,25,18,24.5000,25
P09,0.2999,0.2943,0.3992,0.3335,0.4154,0.3876,0.3550,0.0526,0.1482,42,41,41,40,37,40,40.1700,41
P10,0.3296,0.3127,0.4249,0.3561,0.4342,0.3877,0.3742,0.0499,0.1333,38,38,34,34,34,39,36.1700,35
P11,0.3707,0.3623,0.4751,0.3918,0.4804,0.4145,0.4158,0.0513,0.1234,30,30,30,30,29,36,30.8300,30
P12,0.5034,0.4794,0.7221,0.6095,0.6637,0.7495,0.6213,0.1119,0.1801,11,13,6,6,6,6,8.0000,6
P13,0.3535,0.3373,0.4673,0.3857,0.4684,0.4255,0.4063,0.0564,0.1389,34,35,31,31,31,31,32.1700,31
P14,0.4841,0.4710,0.7009,0.5718,0.6376,0.6982,0.5939,0.1019,0.1715,13,14,7,7,7,7,9.1700,8
P15,0.2378,0.1245,0.2790,0.2163,0.2415,0.3492,0.2414,0.0739,0.3063,50,58,51,52,56,42,51.5000,51
P16,0.2889,0.2316,0.4099,0.3267,0.3866,0.4389,0.3471,0.0788,0.2271,45,49,38,41,42,28,40.5000,42
P18,0.4304,0.4282,0.5966,0.4826,0.5620,0.5826,0.5137,0.0764,0.1487,23,23,16,16,15,10,17.1700,17
P19,0.2890,0.2391,0.4065,0.3253,0.3840,0.4358,0.3466,0.0752,0.2170,44,48,39,42,43,30,41.0000,43
P20,0.3258,0.2964,0.4664,0.3741,0.4454,0.4657,0.3956,0.0743,0.1877,39,39,32,32,33,22,32.8300,32
P21,0.3325,0.3384,0.4150,0.3451,0.4230,0.3879,0.3736,0.0402,0.1077,36,34,36,35,35,38,35.6700,34
P22,0.4259,0.4344,0.5336,0.4321,0.5222,0.4482,0.4661,0.0486,0.1043,24,21,24,25,24,26,24.0000,24
P23,0.2235,0.1635,0.2508,0.2011,0.2316,0.2914,0.2270,0.0435,0.1916,53,57,52,57,57,47,53.8300,54
