,Year,Province,Criterion,ER_Utility,Belief_Entropy
132,2018,P17,C05,0.5208,0.9461
133,2018,P17,C06,0.4215,1.0827
134,2018,P17,C07,0.3134,0.8733
135,2018,P17,C08,0.5396,0.9377
136,2018,P18,C01,0.6475,0.8031
137,2018,P18,C02,0.6098,0.9616
138,2018,P18,C03,0.6128,0.9463
139,2018,P18,C04,0.4740,0.8537
140,2018,P18,C05,0.4685,0.8774
141,2018,P18,C06,0.6473,0.8694
142,2018,P18,C07,0.3710,1.0668
143,2018,P18,C08,0.4712,0.9677
144,2018,P19,C01,0.6850,0.8531
145,2018,P19,C02,0.4857,0.7833
146,2018,P19,C03,0.3828,0.9224
147,2018,P19,C04,0.3319,0.8257
148,2018,P19,C05,0.4454,1.0092
149,2018,P19,C06,0.5119,0.8402
150,2018,P19,C07,0.3316,0.8563
151,2018,P19,C08,0.4270,1.0432
152,2018,P20,C01,0.5607,1.0267
153,2018,P20,C02,0.4561,0.9621
154,2018,P20,C03,0.4565,1.0320
155,2018,P20,C04,0.1709,0.4494
156,2018,P20,C05,0.4776,0.7912
157,2018,P20,C06,0.4886,0.9408
158,2018,P20,C07,0.2035,0.7671
159,2018,P20,C08,0.4840,0.9319
160,2018,P21,C01,0.6430,0.8470
161,2018,P21,C02,0.3290,0.7712
162,2018,P21,C03,0.4952,0.7938
163,2018,P21,C04,0.4447,1.0114
164,2018,P21,C05,0.4911,0.8283
165,2018,P21,C06,0.6049,0.9830
166,2018,P21,C07,0.1797,0.5554
167,2018,P21,C08,0.4453,1.0095
168,2018,P22,C01,0.8326,0.3913
169,2018,P22,C02,0.6858,0.8637
170,2018,P22,C03,0.5154,0.7747
171,2018,P22,C04,0.4245,1.0436
172,2018,P22,C05,0.4688,0.8759
173,2018,P22,C06,0.5579,1.0193
174,2018,P22,C07,0.3264,0.8992
175,2018,P22,C08,0.4705,0.8728
176,2018,P23,C01,0.5883,1.0320
177,2018,P23,C02,0.5427,0.9552
178,2018,P23,C03,0.4348,1.0355
179,2018,P23,C04,0.2892,1.0216
180,2018,P23,C05,0.6174,0.9214
181,2018,P23,C06,0.6098,0.9584
182,2018,P23,C07,0.2130,0.8323
183,2018,P23,C08,0.4792,0.8864
184,2018,P24,C01,0.5541,1.0076
185,2018,P24,C02,0.5671,1.0378
186,2018,P24,C03,0.4130,1.0344
187,2018,P24,C04,0.4809,0.7533
188,2018,P24,C05,0.5963,1.0134
189,2018,P24,C06,0.6806,0.7944
190,2018,P24,C07,0.3775,1.0160
191,2018,P24,C08,0.4285,1.0425
192,2018,P25,C01,0.5658,1.0364
193,2018,P25,C02,0.5316,1.0655
194,2018,P25,C03,0.5921,1.0249
195,2018,P25,C04,0.5855,1.0370
196,2018,P25,C05,0.6482,0.7497
197,2018,P25,C06,0.6746,0.7292
198,2018,P25,C07,0.4237,1.0420
199,2018,P25,C08,0.5031,0.8236
200,2018,P26,C01,0.6097,0.9625
201,2018,P26,C02,0.6522,0.8342
