Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.7520,0.6389,0.7445,0.8026,0.7741,0.8156,0.7546,0.0631,0.0836,18,24,19,15,13,13,17.0000,16
P02,0.6707,0.6355,0.6783,0.6805,0.6251,0.6868,0.6628,0.0259,0.0391,25,25,25,26,25,25,25.1700,25
P03,0.4141,0.3537,0.3708,0.4377,0.3650,0.4457,0.3978,0.0398,0.0999,47,46,48,46,46,43,46.0000,46
P04,0.7249,0.6461,0.7365,0.7425,0.6906,0.7554,0.7160,0.0407,0.0569,20,23,20,20,20,20,20.5000,20
P05,0.6892,0.6661,0.6839,0.6816,0.6246,0.6712,0.6695,0.0236,0.0352,23,21,24,25,27,27,24.5000,24
P06,0.5455,0.5115,0.5209,0.5603,0.4817,0.5686,0.5314,0.0328,0.0618,32,31,33,32,35,32,32.5000,32
P07,0.4055,0.3500,0.3750,0.4299,0.3601,0.4464,0.3945,0.0390,0.0989,51,47,47,48,47,42,47.0000,48
P08,0.7155,0.6958,0.7015,0.6996,0.6384,0.6825,0.6889,0.0269,0.0390,21,19,22,23,22,26,22.1700,22
P09,0.6944,0.6693,0.7037,0.7043,0.6335,0.7144,0.6866,0.0302,0.0440,22,20,21,22,23,22,21.6700,21
P10,0.5104,0.4597,0.4945,0.5272,0.4822,0.5491,0.5039,0.0321,0.0637,37,37,34,36,34,34,35.3300,34
P11,0.6696,0.6585,0.6745,0.6848,0.6266,0.6953,0.6682,0.0240,0.0359,26,22,26,24,24,23,24.1700,23
P12,0.9707,0.9287,0.9862,0.9926,0.9908,1.0000,0.9782,0.0261,0.0267,3,3,2,2,2,1,2.1700,2
P13,0.7618,0.7287,0.7849,0.8103,0.7783,0.8317,0.7826,0.0362,0.0462,16,16,15,13,11,11,13.6700,13
P14,0.9544,0.9123,0.9593,0.9710,0.9638,0.9746,0.9559,0.0226,0.0237,4,6,4,4,4,4,4.3300,4
P15,0.9800,0.9857,0.9772,0.9893,0.9867,0.9756,0.9824,0.0056,0.0057,2,2,3,3,3,3,2.6700,3
P16,0.6759,0.6003,0.6647,0.6703,0.6251,0.6574,0.6489,0.0298,0.0459,24,26,27,28,26,28,26.5000,27
P18,0.8715,0.8606,0.8962,0.8659,0.8325,0.8634,0.8650,0.0205,0.0236,9,9,8,9,9,8,8.6700,8
P19,0.7886,0.7649,0.7778,0.7693,0.7245,0.7505,0.7626,0.0226,0.0296,15,15,16,18,17,21,17.0000,16
