Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P20,0.6329,0.3835,0.7001,0.7118,0.7063,0.7563,0.6485,0.1357,0.2093,29,43,23,21,19,19,25.6700,26
P21,0.8157,0.7909,0.8223,0.8111,0.7642,0.8128,0.8028,0.0217,0.0270,13,13,12,12,14,14,13.0000,12
P22,0.6514,0.5979,0.6573,0.6738,0.6146,0.6906,0.6476,0.0352,0.0544,27,27,28,27,28,24,26.8300,28
P23,0.9239,0.9281,0.9430,0.9383,0.9230,0.9218,0.9297,0.0089,0.0096,5,4,5,5,5,5,4.8300,5
P24,0.8862,0.8511,0.8779,0.8688,0.8424,0.8527,0.8632,0.0171,0.0198,8,10,9,8,8,9,8.6700,8
P25,0.8160,0.8465,0.8094,0.7945,0.7435,0.7753,0.7975,0.0355,0.0445,12,11,14,16,16,17,14.3300,15
P26,0.9181,0.9132,0.9282,0.8997,0.8748,0.8891,0.9038,0.0198,0.0219,6,5,6,7,7,7,6.3300,6
P27,0.7355,0.7267,0.7534,0.7484,0.6858,0.7603,0.7350,0.0270,0.0367,19,17,18,19,21,18,18.6700,19
P28,1.0000,1.0000,1.0000,1.0000,1.0000,0.9765,0.9961,0.0096,0.0096,1,1,1,1,1,2,1.1700,1
P29,0.8397,0.8689,0.8640,0.8357,0.7948,0.8386,0.8403,0.0264,0.0314,10,7,10,10,10,10,9.5000,10
P30,0.8261,0.8038,0.8350,0.8197,0.7749,0.8216,0.8135,0.0215,0.0264,11,12,11,11,12,12,11.5000,11
P31,0.7617,0.7010,0.7718,0.7710,0.7178,0.7798,0.7505,0.0328,0.0437,17,18,17,17,18,16,17.1700,18
P32,0.5106,0.2258,0.5356,0.5569,0.5454,0.6008,0.4958,0.1356,0.2735,36,57,32,33,31,30,36.5000,36
P33,0.2831,0.2854,0.2337,0.2859,0.2384,0.2835,0.2683,0.0251,0.0934,56,52,56,57,57,57,55.8300,56
P34,0.4972,0.5030,0.4562,0.5104,0.4257,0.5155,0.4847,0.0358,0.0738,39,32,38,38,40,38,37.5000,37
P35,0.4057,0.3191,0.3582,0.3953,0.3355,0.3801,0.3657,0.0341,0.0933,50,51,50,50,50,50,50.1700,50
P36,0.2690,0.1911,0.2246,0.3054,0.2547,0.3222,0.2612,0.0490,0.1878,58,58,57,56,56,54,56.5000,57
P37,0.3225,0.0000,0.3196,0.3263,0.2954,0.3603,0.2707,0.1342,0.4959,54,61,52,54,53,52,54.3300,55
P38,0.6292,0.5961,0.6061,0.6347,0.5648,0.6349,0.6110,0.0277,0.0454,30,28,29,29,30,29,29.1700,29
P39,0.8921,0.8639,0.9242,0.9273,0.9152,0.9211,0.9073,0.0247,0.0272,7,8,7,6,6,6,6.6700,7
P40,0.4081,0.2838,0.3882,0.3972,0.3561,0.4113,0.3741,0.0485,0.1296,49,54,45,49,49,49,49.1700,49
P41,0.5367,0.5690,0.4935,0.5312,0.4552,0.5245,0.5183,0.0393,0.0758,33,29,35,35,36,37,34.1700,33
P42,0.4886,0.4490,0.4651,0.5117,0.4473,0.5298,0.4819,0.0340,0.0706,40,38,37,37,37,36,37.5000,37
P43,0.4337,0.4714,0.3821,0.4379,0.3652,0.4383,0.4214,0.0398,0.0944,45,35,46,45,45,45,43.5000,44
P44,0.4416,0.3656,0.4055,0.4626,0.4040,0.4749,0.4257,0.0413,0.0971,44,44,43,42,42,40,42.5000,43
P45,0.3711,0.3538,0.3169,0.3742,0.3121,0.3730,0.3502,0.0287,0.0818,52,45,53,51,52,51,50.6700,51
P46,0.8104,0.7722,0.8110,0.8028,0.7625,0.7893,0.7914,0.0204,0.0258,14,14,13,14,15,15,14.1700,14
P47,0.5167,0.3863,0.4934,0.5368,0.4925,0.5451,0.4951,0.0575,0.1162,35,42,36,34,33,35,35.8300,35
P48,0.4216,0.4444,0.3651,0.4314,0.3598,0.4301,0.4087,0.0366,0.0896,46,39,49,47,48,47,46.0000,46
P49,0.4563,0.2845,0.4294,0.4796,0.4450,0.5035,0.4331,0.0773,0.1786,42,53,40,39,38,39,41.8300,41
P50,0.5593,0.4942,0.5563,0.5734,0.5190,0.5825,0.5474,0.0339,0.0620,31,33,31,31,32,31,31.5000,31
P51,0.5168,0.4601,0.4440,0.4730,0.4412,0.4393,0.4624,0.0296,0.0641,34,36,39,41,39,44,38.8300,39
P53,0.3073,0.3397,0.2471,0.3197,0.2666,0.3153,0.2993,0.0351,0.1173,55,48,55,55,55,55,53.8300,54
P54,0.2443,0.1594,0.1952,0.2156,0.1798,0.2192,0.2023,0.0304,0.1503,60,59,60,60,60,60,59.8300,60
P55,0.3364,0.3333,0.2814,0.3526,0.2940,0.3526,0.3250,0.0303,0.0931,53,49,54,52,54,53,52.5000,53
P56,0.4973,0.3991,0.4238,0.4467,0.4204,0.4120,0.4332,0.0351,0.0810,38,41,42,43,41,48,42.1700,42
P57,0.2724,0.3317,0.2104,0.2794,0.2330,0.2729,0.2666,0.0418,0.1569,57,50,58,58,58,58,56.5000,57
P58,0.2631,0.2284,0.1998,0.2320,0.1935,0.2241,0.2235,0.0250,0.1120,59,56,59,59,59,59,58.5000,59
P59,0.0000,0.0196,0.0000,0.0000,0.0000,0.0000,0.0033,0.0080,2.4495,61,60,61,61,61,61,60.8300,61
P60,0.4135,0.2308,0.3519,0.3400,0.3161,0.2992,0.3253,0.0607,0.1865,48,55,51,53,51,56,52.3300,52
P61,0.6428,0.5489,0.5649,0.6184,0.6016,0.5675,0.5907,0.0362,0.0613,28,30,30,30,29,33,30.0000,30
P62,0.4461,0.4058,0.3945,0.4439,0.3965,0.4352,0.4203,0.0240,0.0572,43,40,44,44,44,46,43.5000,44
P63,0.4816,0.4733,0.4279,0.4752,0.4038,0.4638,0.4543,0.0312,0.0688,41,34,41,40,43,41,40.0000,40
