Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.4901,0.5792,0.4303,0.5050,0.4279,0.5209,0.4922,0.0575,0.1168,40,34,41,41,41,41,39.6700,40
P02,0.5404,0.5449,0.5172,0.5755,0.5296,0.6083,0.5527,0.0335,0.0607,34,42,33,33,32,32,34.3300,34
P03,0.1264,0.1906,0.1148,0.1635,0.1385,0.1887,0.1538,0.0322,0.2093,59,59,59,59,59,59,59.0000,59
P04,0.8193,0.8572,0.7996,0.7949,0.7498,0.8041,0.8042,0.0350,0.0435,10,9,11,11,12,13,11.0000,11
P05,0.4152,0.4388,0.3808,0.4487,0.4172,0.4764,0.4295,0.0328,0.0764,48,49,46,48,45,46,47.0000,48
P06,0.0423,0.0000,0.0690,0.0618,0.0523,0.1177,0.0572,0.0383,0.6701,60,61,60,60,60,60,60.1700,60
P07,0.5034,0.5122,0.4769,0.5394,0.4944,0.5721,0.5164,0.0342,0.0663,37,47,38,37,35,35,38.1700,37
P08,0.3738,0.3297,0.3776,0.4224,0.3975,0.4707,0.3953,0.0480,0.1213,50,53,47,49,47,48,49.0000,49
P09,0.5566,0.6236,0.5044,0.5604,0.4930,0.5691,0.5512,0.0474,0.0861,32,31,34,34,36,37,34.0000,33
P10,0.4653,0.5670,0.4020,0.4784,0.4053,0.4893,0.4679,0.0611,0.1306,45,37,45,45,46,45,43.8300,45
P11,0.2443,0.2876,0.2151,0.2918,0.2485,0.3251,0.2687,0.0399,0.1484,56,56,54,54,55,52,54.5000,56
P12,0.6679,0.6436,0.6533,0.7389,0.7135,0.7801,0.6995,0.0538,0.0770,22,29,22,17,16,15,20.1700,21
P13,0.6925,0.6532,0.7468,0.7695,0.7548,0.8224,0.7399,0.0595,0.0804,21,28,15,15,11,10,16.6700,15
P14,0.8078,0.8108,0.8103,0.8061,0.7683,0.8116,0.8025,0.0169,0.0210,11,13,9,10,10,12,10.8300,10
P15,0.6035,0.6851,0.5698,0.6095,0.5315,0.6265,0.6043,0.0520,0.0861,30,24,29,29,31,29,28.6700,29
