Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.2503,0.2783,0.4146,0.3158,0.3413,0.4947,0.3492,0.0910,0.2607,49,52,40,46,48,34,44.8300,45
P02,0.3810,0.4799,0.4624,0.4252,0.4803,0.4909,0.4533,0.0423,0.0934,34,32,34,33,33,36,33.6700,34
P03,0.2663,0.3573,0.3294,0.3197,0.3653,0.3801,0.3364,0.0410,0.1220,46,44,48,45,45,46,45.6700,48
P04,0.5851,0.6930,0.6555,0.5676,0.5990,0.5789,0.6132,0.0498,0.0812,13,12,18,18,20,23,17.3300,18
P05,0.6969,0.7336,0.6938,0.6405,0.6636,0.6025,0.6718,0.0464,0.0691,9,10,12,11,13,22,12.8300,13
P06,0.5233,0.6244,0.5525,0.4916,0.5297,0.4658,0.5312,0.0549,0.1033,21,21,28,28,28,41,27.8300,28
P07,0.5291,0.6265,0.5439,0.5076,0.5479,0.4969,0.5420,0.0460,0.0848,19,20,30,24,26,33,25.3300,25
P08,0.2598,0.3489,0.3296,0.3132,0.3597,0.3772,0.3314,0.0416,0.1257,47,46,47,48,46,47,46.8300,49
P09,0.5542,0.6604,0.7228,0.6126,0.6641,0.7469,0.6602,0.0707,0.1070,16,16,10,13,12,8,12.5000,12
P10,0.3465,0.4451,0.3674,0.3510,0.4032,0.3395,0.3754,0.0410,0.1092,37,36,45,42,41,50,41.8300,41
P11,0.5220,0.6224,0.5581,0.5145,0.5683,0.5271,0.5521,0.0405,0.0733,22,22,27,23,23,30,24.5000,23
P12,0.8997,1.0000,1.0000,0.8839,0.9070,1.0000,0.9484,0.0570,0.0601,2,1,1,2,2,1,1.5000,1
P13,0.4058,0.4995,0.5653,0.4746,0.5233,0.6092,0.5130,0.0711,0.1385,31,31,26,29,29,21,27.8300,28
P14,0.2533,0.2891,0.3992,0.3140,0.3421,0.4752,0.3455,0.0805,0.2329,48,50,42,47,47,39,45.5000,47
P15,0.5909,0.7038,0.6934,0.5993,0.6300,0.6542,0.6453,0.0472,0.0731,12,11,13,14,15,15,13.3300,14
P16,0.4716,0.5743,0.5743,0.5043,0.5671,0.5729,0.5441,0.0448,0.0823,27,27,24,25,24,24,25.1700,24
P18,0.5703,0.6756,0.6679,0.5757,0.6206,0.6260,0.6227,0.0443,0.0711,15,15,17,16,17,19,16.5000,16
P19,0.2801,0.3475,0.4088,0.3445,0.3811,0.4714,0.3722,0.0650,0.1747,45,47,41,43,44,40,43.3300,43
P20,0.2315,0.3267,0.2533,0.2708,0.3111,0.2867,0.2800,0.0356,0.1272,50,48,54,52,51,54,51.5000,52
P21,0.5449,0.6475,0.6522,0.5709,0.6232,0.6477,0.6144,0.0457,0.0743,17,17,19,17,16,16,17.0000,17
P22,0.7219,0.8397,0.9124,0.7860,0.8193,0.9640,0.8405,0.0871,0.1036,7,5,3,4,4,3,4.3300,4
P23,0.5391,0.6442,0.6886,0.5794,0.6344,0.6806,0.6277,0.0583,0.0929,18,18,14,15,14,13,15.3300,15
P24,0.4250,0.5253,0.4849,0.4504,0.5065,0.4921,0.4807,0.0369,0.0768,30,30,32,31,31,35,31.5000,31
