Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P25,0.3634,0.4532,0.4912,0.4206,0.4650,0.5267,0.4533,0.0568,0.1252,36,35,31,34,34,31,33.5000,33
P26,0.7113,0.8412,0.8062,0.7253,0.7477,0.8023,0.7723,0.0516,0.0669,8,4,6,7,7,6,6.3300,6
P27,0.7557,0.8140,0.6755,0.6811,0.7126,0.6344,0.7122,0.0642,0.0902,5,7,16,8,8,17,10.1700,9
P28,0.7228,0.8326,0.9078,0.7611,0.7971,0.9071,0.8214,0.0760,0.0925,6,6,4,6,5,5,5.3300,5
P29,1.0000,0.9902,0.8910,1.0000,1.0000,0.9663,0.9746,0.0430,0.0441,1,2,5,1,1,2,2.0000,2
P30,0.8303,0.7712,0.7600,0.7730,0.7770,0.6922,0.7673,0.0443,0.0577,3,9,7,5,6,12,7.0000,7
P31,0.4889,0.5916,0.5749,0.4996,0.5468,0.5389,0.5401,0.0404,0.0749,24,24,23,26,27,28,25.3300,25
P32,0.4871,0.5912,0.6329,0.5337,0.5935,0.6332,0.5786,0.0578,0.0999,25,25,21,21,21,18,21.8300,22
P33,0.4011,0.4442,0.3472,0.3123,0.3381,0.1690,0.3353,0.0944,0.2814,32,37,46,49,49,56,44.8300,45
P34,0.6793,0.7786,0.7466,0.6639,0.7100,0.7122,0.7151,0.0423,0.0592,10,8,9,10,9,10,9.3300,8
P35,0.3384,0.4402,0.3242,0.3396,0.3901,0.3105,0.3572,0.0488,0.1366,39,38,50,44,43,52,44.3300,44
P36,0.3654,0.4575,0.3880,0.3644,0.4104,0.3476,0.3889,0.0401,0.1031,35,34,44,40,39,49,40.1700,40
P37,0.3456,0.4328,0.4525,0.4110,0.4538,0.5217,0.4362,0.0578,0.1326,38,39,36,35,35,32,35.8300,35
P38,0.5786,0.6859,0.7545,0.6343,0.6836,0.7701,0.6845,0.0721,0.1053,14,13,8,12,10,7,10.6700,10
P39,0.6594,0.6831,0.6972,0.6660,0.6763,0.7051,0.6812,0.0177,0.0259,11,14,11,9,11,11,11.1700,11
P40,0.0993,0.1994,0.0611,0.1015,0.1166,0.0000,0.0963,0.0657,0.6822,59,56,60,60,60,61,59.3300,60
P41,0.4617,0.5616,0.4530,0.4420,0.4897,0.4152,0.4705,0.0509,0.1081,29,29,35,32,32,42,33.1700,32
P42,0.4623,0.5655,0.5716,0.4967,0.5600,0.5670,0.5372,0.0461,0.0858,28,28,25,27,25,26,26.5000,27
P43,0.3228,0.4118,0.3980,0.3541,0.3944,0.4019,0.3805,0.0345,0.0907,42,41,43,41,42,43,42.0000,42
P44,0.2936,0.3548,0.4448,0.3729,0.4078,0.5357,0.4016,0.0831,0.2070,44,45,37,38,40,29,38.8300,38
P45,0.3328,0.4233,0.4416,0.3869,0.4330,0.4754,0.4155,0.0496,0.1193,40,40,38,37,37,38,38.3300,37
P46,0.4786,0.5811,0.6834,0.5639,0.6147,0.7327,0.6091,0.0902,0.1481,26,26,15,20,19,9,19.1700,19
P47,0.2278,0.2914,0.3280,0.2866,0.3233,0.3913,0.3081,0.0543,0.1763,51,49,49,50,50,45,49.0000,50
P48,0.1930,0.2127,0.3082,0.2379,0.2633,0.3745,0.2649,0.0671,0.2533,55,55,51,55,55,48,53.1700,54
P49,0.3237,0.3998,0.4688,0.4028,0.4440,0.5511,0.4317,0.0766,0.1774,41,42,33,36,36,27,35.8300,35
P50,0.1301,0.1510,0.1983,0.1659,0.1906,0.2620,0.1830,0.0461,0.2520,56,60,56,56,56,55,56.5000,56
P51,0.2146,0.2580,0.3075,0.2729,0.2986,0.3979,0.2916,0.0617,0.2114,52,54,52,51,52,44,50.8300,51
P53,0.2966,0.3774,0.4158,0.3664,0.4113,0.4827,0.3917,0.0619,0.1580,43,43,39,39,38,37,39.8300,39
P54,0.1931,0.2591,0.2412,0.2390,0.2646,0.2974,0.2491,0.0346,0.1388,54,53,55,54,54,53,53.8300,55
P55,0.1019,0.1901,0.0776,0.1095,0.1258,0.0434,0.1081,0.0494,0.4569,58,57,58,58,58,58,57.8300,57
P56,0.3843,0.4720,0.5466,0.4674,0.5126,0.6234,0.5011,0.0810,0.1616,33,33,29,30,30,20,29.1700,30
P57,0.0843,0.1758,0.0727,0.1186,0.1362,0.0891,0.1128,0.0388,0.3442,60,59,59,57,57,57,58.1700,58
P58,0.1259,0.1901,0.1296,0.1059,0.1216,0.0208,0.1156,0.0547,0.4731,57,58,57,59,59,59,58.1700,58
P59,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0033,0.0082,2.4495,61,61,61,61,61,60,60.8300,61
P60,0.5264,0.6271,0.5868,0.5315,0.5829,0.5671,0.5703,0.0377,0.0661,20,19,22,22,22,25,21.6700,21
P61,0.2101,0.2816,0.2681,0.2642,0.2954,0.3361,0.2759,0.0414,0.1501,53,51,53,53,53,51,52.3300,53
P62,0.5182,0.6208,0.6429,0.5651,0.6161,0.6707,0.6056,0.0552,0.0912,23,23,20,19,18,14,19.5000,20
P63,0.7856,0.8951,0.9369,0.8138,0.8442,0.9586,0.8724,0.0691,0.0792,4,3,2,3,3,4,3.1700,3
