Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.323925018,1.622657418,1.470848799,1.010102987,0.983683646,1.816423059,1.443144083,1.427496552,1.900142312,0.415709049,1.960148454,1.599467993,1.914072752,1.150484562,2.070745707,2.41573596,,2.34975791,2.395615101,1.702908635,1.957021356,2.254780054,1.933871269,0.899579883,1.622503161,0.346727818,0.552082241,2.917801857,0.502867401
P02,1.02163744,1.709966779,1.510410786,1.0410887,1.017069936,1.903466344,1.432667613,1.458811522,2.076613903,0.521286666,1.787495017,1.790676832,2.208045721,1.233224392,1.943108201,2.625257015,,2.28555727,2.483503103,2.053114653,1.438712478,1.737166166,1.941401124,1.096382141,2.099820137,0.765129745,0.684331,1.888335705,0.49364686
P03,0.937442362,1.492867827,1.459062099,0.883605421,0.773265839,1.62768507,1.296949148,1.28783524,1.943915009,0.430295855,1.947737098,1.5891819,2.061802149,1.137994647,1.956409693,2.328368664,,2.105674982,2.395211458,1.900821805,1.967658281,1.731854081,1.879753351,0.981318593,2.045976162,0.653046429,0.406176627,2.054677725,0.378560603
P04,1.084778547,1.808092237,1.572683215,0.982837677,1.004144788,1.725077271,1.314362407,1.35225749,1.908013582,0.465094179,1.824333191,1.695018649,2.042192936,1.207959294,1.908536911,2.572079182,,2.249284267,2.430858374,1.993341088,1.414752364,1.853570461,1.866227031,0.950634778,1.98864305,0.874873102,0.521888077,2.30361867,0.433151931
P05,1.004128695,1.450032949,1.518398762,0.995475829,0.792072415,1.633416533,1.245554924,1.352704763,1.938009977,0.454231232,1.85332942,1.757124305,2.091644764,1.211592674,1.802584171,2.515187502,,2.089253902,2.461546898,1.947497845,1.258450031,1.766739368,1.939810514,1.012869,1.971502304,0.425734282,0.46443671,2.058653831,0.481963754
P06,0.957111001,1.524526358,1.456942439,1.062746406,0.88155067,1.824513912,1.325836539,1.325326562,1.9072752,0.496894866,1.821594715,1.535272479,1.9260571,1.076978087,1.842252374,2.574449778,,2.388747692,2.504664898,1.940139413,1.433588028,1.873508096,1.919812799,0.891930819,1.943553925,0.538826883,0.530979335,2.181969643,0.420451075
P07,0.84734273,1.454095483,1.643497705,0.751504004,0.91929543,1.669981003,1.262561083,1.399582505,2.049361706,0.51582706,1.863567829,1.632807374,1.961171985,1.079725981,1.953386307,2.459710121,,2.338131428,2.397245169,1.982699037,1.398401976,1.684729099,1.867549062,1.027263403,2.214908361,0.704978228,0.496167034,1.947764158,0.497175574
P08,0.926207125,1.666320443,1.458861351,0.914963961,1.009916306,1.753146052,1.420529127,1.282014728,1.983582854,0.495083004,2.034446239,1.572731853,1.980423927,1.054812789,1.874588847,2.456807375,,2.532679319,2.405212402,2.016851902,1.916155577,1.938023448,1.849114418,0.929242313,2.254640341,0.622667134,0.556510031,2.346197367,0.370525986
P09,0.947229087,1.507677197,1.547077537,0.889822423,0.871761739,1.660314083,1.256192088,1.315150738,1.998363495,0.478482664,1.85133779,1.631712556,1.949355483,1.099843264,1.927857399,2.445686579,,2.483089924,2.384433746,1.838393688,1.961888313,1.906080008,1.884274125,0.891467988,1.984890342,0.554717958,0.424351782,2.333370447,0.371732503
P10,0.982054055,1.382241845,1.525096893,0.845378637,0.917800844,1.579163551,1.337072968,1.325550199,1.867554426,0.518326044,1.949671626,1.672966123,2.068435431,1.108994484,1.911028862,2.531128645,,2.327956676,2.339791536,2.037625074,1.74370873,1.907754183,1.893597364,1.048750758,2.032634258,0.542500317,0.579217732,2.111200571,0.403559536
P11,0.917741358,1.694023728,1.62876606,0.917122543,0.921809971,1.660021424,1.297810912,1.24777782,2.033651352,0.514826775,1.913644552,1.82050705,2.123387337,1.298791051,1.988248348,2.533307076,,2.37913537,2.433804512,1.993267059,1.412111878,1.807410955,1.974439979,1.027790785,2.116591215,0.741321385,0.475230187,2.21852541,0.458211333
P12,1.206579089,1.700513363,1.611567259,1.389445066,1.012077093,1.909098387,1.446132302,1.476004481,1.835313201,0.52403307,1.996813774,1.845014453,2.130141258,1.263370991,1.965989351,2.484155655,,2.472534895,2.485301256,1.968434334,2.042784691,2.025063276,1.965923548,1.044285297,1.873141408,0.42651692,0.590544939,2.668396473,0.428348213
P13,0.927231193,1.849446654,1.425618172,1.106857181,0.832710445,1.750017762,1.36105895,1.349914312,1.939614773,0.444502413,1.956017733,1.797944665,2.139965057,1.244030118,1.917036295,2.504337072,,2.326164246,2.457494497,1.892198086,1.452945709,2.045716047,1.962822914,1.069124818,1.961703777,0.539599001,0.50174427,2.315047979,0.406903982
P14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1.15658772,1.661805153,1.536807775,1.223464012,0.937629998,1.896460056,1.383693457,1.469230533,1.92067039,0.530147493,1.936713338,1.820060134,2.141608953,1.224527359,1.965257764,2.423892975,,2.36654973,2.509639025,1.954704642,1.415662169,2.151797056,1.906392336,0.950806201,1.863560319,0.490191638,0.545097232,2.537312269,0.400098473
P16,1.033613205,1.721675158,1.51109755,1.059156537,0.821879804,1.865177751,1.309306264,1.314408422,1.996744394,0.452359021,1.908830166,1.731098771,2.125094414,1.097243547,1.939075232,2.48161006,,2.359398603,2.43130374,1.920085311,1.412588477,1.970446587,1.933876157,0.89572376,1.869649529,0.456368923,0.454392254,2.547001123,0.376504481
P17,1.169229507,1.618400812,1.496734142,1.089064717,0.910271049,1.763089061,1.291761994,1.318570733,2.029475212,0.497580886,1.953585267,1.55429709,2.076565742,1.148621321,1.889366865,2.423131227,,2.396571398,2.490563393,1.949780822,1.97641027,2.160810947,1.943708777,0.889073491,1.843845248,0.399226367,0.604045868,2.613090754,0.455738455
P18,1.267300487,1.579396367,1.586787701,1.099922895,0.880540729,2.012971163,1.453435779,1.476491809,1.988636613,0.555683434,2.002348423,1.806951404,2.132067442,1.2318573,1.987965584,2.366296768,,2.408934832,2.499496937,2.00653863,2.062308311,2.220083475,1.96784389,1.006795406,1.954669952,0.420377046,0.52395761,2.77994585,0.42510426
P19,1.013215423,1.614662409,1.313116193,1.003457785,0.766011894,1.760326624,1.24827826,1.265146613,1.647480845,0.429433376,1.818597436,1.730670691,2.056559324,1.226452351,1.983006477,2.195734739,,2.163813829,2.419789076,1.918643713,1.462672949,2.174214363,1.92865777,0.985423982,1.722597718,0.502193093,0.405377954,2.62585783,0.372111082
