Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.091060162,1.681598067,1.522135735,1.042904496,1.803975105,1.575834751,1.696371198,,2.040111542,1.045026422,1.176245809,1.245376468,1.648460388,0.698709965,1.646397829,1.700334549,1.848380327,1.670653582,1.867864966,1.670218587,1.6189394,1.862216353,1.653145909,,,,,,
P02,1.223026752,1.860975981,1.492925763,0.762473762,2.122415066,1.665579081,1.486491561,,1.685561895,1.526643038,1.191482306,1.373964548,1.939641595,0.886581361,1.622948289,1.617634058,1.780930758,1.452201128,1.784501314,1.954637051,1.63397491,1.257169366,1.63561821,,,,,,
P03,0.913960099,1.926239729,1.387765288,0.979581416,2.295886517,1.579538822,1.623973489,,2.269422054,1.122937083,1.049809933,1.449514508,1.717103839,0.672030807,1.690811872,1.736375332,1.793948412,1.624309421,1.864325762,2.019352198,1.647397518,1.319492221,1.640080094,,,,,,
P04,1.124160171,1.90225637,1.529019237,0.796053886,2.154538631,1.519634962,1.772173643,,2.148721933,1.549354672,1.353779674,1.45067203,1.861552358,0.857098997,1.727671981,1.910899162,1.812271595,1.574052572,1.88967526,1.991901755,1.593092084,1.424280524,1.669122458,,,,,,
P05,1.060538292,1.787704468,1.607655287,1.128814816,2.274367571,1.64423883,1.709103584,,2.030300617,1.661967516,1.324709296,1.399438977,1.778283954,0.855469048,1.656872988,1.87992847,1.833880067,1.679042816,1.984565496,2.074906826,1.879119515,1.657843709,1.647186399,,,,,,
P06,1.195569634,1.934206367,1.613942266,0.989095807,2.292301655,1.868569732,1.733117342,,2.066012144,1.552704453,1.276157618,1.296232343,1.688260794,0.728740633,1.622450709,1.704732895,1.735907078,1.459644079,1.931026459,1.888489842,1.875147939,1.581663013,1.688739181,,,,,,
P07,1.201386452,2.093556643,1.558328748,0.69571811,2.555301666,1.830936074,1.663235426,,2.116706133,1.159574628,1.479056478,1.634885311,2.044157267,0.832063317,1.665300488,1.659682512,1.92000103,1.760610819,1.785727262,1.994145274,1.601734042,1.564982057,1.625206828,,,,,,
P08,0.9225052,1.963436127,1.458016634,0.747110188,2.176245928,1.682981372,1.509903312,,1.932008982,1.300351262,1.097830772,1.490164876,1.625697613,0.90737164,1.372411609,1.742951155,1.924783945,1.699899197,1.860668063,1.833353043,1.575046301,1.400728941,1.652692318,,,,,,
P09,1.026188612,1.814425707,1.617278457,1.025037766,1.973796129,1.774330258,1.729743004,,2.062518835,1.054022074,1.411394596,1.66040349,1.791724563,1.040124059,1.635979295,1.830910683,1.835685372,1.553279996,1.884808779,1.931308627,1.698744535,1.500333071,1.696628094,,,,,,
P10,1.048785925,1.918200731,1.4694947,1.061196923,2.042912006,1.635959983,1.480490208,,2.308111429,1.243295312,1.321803927,1.321695089,1.703212261,0.724584937,1.415056944,1.779072404,1.927108407,1.672218442,1.92246902,1.886651158,1.671766043,1.540910363,1.580704093,,,,,,
