Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.425715804,1.531021953,1.459967136,0.97556448,1.016435981,1.803773403,1.4837327,1.407409906,2.017976284,0.412938774,1.931686044,1.565713763,1.930790782,1.139920712,2.061826706,2.399049759,,2.279572487,2.444528341,1.686252236,1.713338494,2.212019682,1.957370639,0.961830378,1.569140553,0.341602743,0.5808869,2.96050787,0.504140973
P02,0.979340017,1.583221674,1.527546763,1.124616623,0.932636797,1.788273335,1.461417437,1.298343778,2.024729013,0.465326965,1.784995556,1.691534281,2.175649405,1.244647861,2.028402567,2.519018888,,2.294581175,2.413377523,1.92928648,1.447035313,1.730425,1.969591379,1.112848401,2.261144876,0.666724384,0.609218419,2.211091042,0.453880668
P03,1.056707978,1.380180955,1.315114141,0.888315141,0.908657372,1.626177192,1.3255198,1.266666532,1.98977685,0.444702357,1.777190208,1.553606153,1.98532474,0.958994031,1.725477219,2.402329922,,2.060482502,2.351377964,1.960015059,1.948194742,1.749573827,1.926295996,0.941100597,2.129677773,0.718390882,0.458526552,2.071750641,0.412349701
P04,1.178650141,1.632092118,1.499367833,1.019685864,0.961883485,1.862573147,1.306120038,1.366751313,1.836263895,0.508605421,1.967562318,1.770440459,2.116323948,1.278746128,1.914156914,2.494127512,,2.364274979,2.508238792,2.075728178,1.402186155,1.846598387,1.896220088,0.991088629,1.947472453,0.744121492,0.557050169,2.621312141,0.428587228
P05,1.00923562,1.356796145,1.498416781,1.288716793,0.825124085,1.683613658,1.371653676,1.287114859,1.832352638,0.536678791,1.920849323,1.602915406,1.975373268,1.14918673,2.026473045,2.506258726,,2.181663752,2.396277666,2.055995464,1.405226827,1.856305122,1.975881338,0.968582332,1.919867754,0.537128925,0.45525977,2.551796436,0.372033447
P06,1.036403656,1.496590972,1.412882686,0.985886216,0.821277142,1.800695539,1.340210676,1.25001955,1.82892561,0.502494216,1.88867414,1.605835795,1.963783979,1.011804223,2.019668341,2.306049824,,2.255012512,2.286005974,1.896303415,1.417034984,1.949304938,1.933848023,0.985761285,1.871344209,0.546685994,0.503406882,2.415058851,0.41793111
P07,0.940827131,1.381612539,1.424857497,0.884238541,0.835048139,1.55110395,1.293292522,1.311515331,2.024204254,0.502454638,1.695005536,1.63394022,2.052858114,0.957418561,1.971477866,2.506961584,,2.279220819,2.407139301,1.845922232,1.23568666,1.727944136,1.93297112,0.942906797,2.05829668,0.891132772,0.538190961,2.040645123,0.508954465
P08,1.033711314,1.492469549,1.40927887,1.300820112,0.915760159,1.652803063,1.438504577,1.42405498,1.945608139,0.442234993,1.831189036,1.609634161,1.995272994,1.121040583,1.909359455,2.512898207,,2.266088963,2.352231979,1.90176785,1.977817655,1.930301189,1.911811948,0.943488002,2.061358452,0.676790893,0.588653326,2.418868065,0.415749103
P09,1.139144182,1.466421247,1.529419422,1.069483042,0.8224684,1.75460434,1.42733705,1.356631279,2.11239624,0.486643404,1.863240957,1.857439756,2.062661409,1.174611926,1.96809411,2.455998659,,2.220825911,2.462162256,1.96648407,1.626927972,1.894472837,1.972216606,1.153797626,2.089784622,0.570832551,0.480570078,2.495426893,0.407454252
P10,0.881147683,1.327801108,1.616840005,0.990903258,0.860666573,1.617728591,1.282124043,1.298471332,1.84858942,0.469560236,1.836569905,1.725600839,2.059460163,1.089752078,1.972803473,2.410508156,,2.219254732,2.446031094,1.974913359,1.442254424,1.858871698,1.899558544,0.895743191,2.001919985,0.642176926,0.527003407,2.328858614,0.413940191
P11,1.003138423,1.623667479,1.527915239,1.076003313,0.84324652,1.750404358,1.367394567,1.371212721,1.973760605,0.497619569,1.792410374,1.704734802,2.004934072,1.183166742,2.050480843,2.413900852,,2.191536427,2.363774776,2.076045275,1.45173347,1.853895664,2.002880573,1.017494321,2.145802498,0.885313392,0.523863018,2.352758646,0.428701013
P12,1.396015286,1.668619752,1.590688944,1.179284453,1.05279839,1.990148187,1.520050049,1.49995029,2.091853619,0.547779083,1.958876967,1.831594586,2.105455637,1.214915037,2.021057129,2.627296925,,2.347883463,2.420039654,1.987244844,1.952300429,2.01288271,1.991468668,0.959013343,1.986043334,0.40869683,0.612900198,2.954548836,0.41924423
P13,1.035178542,1.776866198,1.64967072,1.063908219,0.906425595,1.881764889,1.488104463,1.368013501,1.96668005,0.457436353,1.979125857,1.880927801,2.072702408,1.244391441,1.935334682,2.557474852,,2.513235092,2.414762735,1.959565401,2.033733368,1.921368122,1.947181106,1.126809597,1.885163665,0.595600307,0.533710003,2.391233206,0.417254597
P14,1.294818282,1.883087277,1.519393802,1.176631927,0.885102034,2.022160053,1.518026352,1.405503631,1.969765663,0.417096913,1.957950711,1.981800437,2.259832621,1.578057408,2.169365168,2.398030519,,2.459551334,2.53006649,1.889129162,2.11402154,2.344445467,2.07224369,1.250925422,2.352135897,0.43010819,0.565628946,2.951612234,0.424744874
