Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P19,1.077043176,1.725048542,1.684229374,1.795848489,2.609652042,1.90867281,1.898928285,,2.321390629,0.991807938,1.630544186,1.87546885,1.963516831,1.07532835,1.699547172,1.808324337,1.808566332,1.644362688,1.913895965,2.062395096,1.645874262,1.971742272,1.6160115,,,,,,
P20,0.969498217,1.769854546,1.641084194,0.835802138,2.279075146,1.977277517,1.855174303,,2.348575592,1.724206567,1.07078588,0.901041567,1.175309181,0.627185881,1.658858776,1.818723202,1.909366608,1.905817628,1.840450764,1.763304114,1.670675755,2.399662495,1.666098475,,,,,,
P21,1.059354782,1.761473298,1.78819263,1.252761006,2.101992607,1.59238565,1.671720386,,1.97367847,1.86156249,1.257735729,1.269392252,1.496683836,0.774537265,1.607207179,1.739782929,1.86274755,1.481528521,1.847023487,1.821834683,2.059259892,1.986237168,1.595227361,,,,,,
P22,1.166411877,1.843394279,1.73631525,1.371337056,2.013335943,1.839376807,2.07051158,,2.348504543,1.848497272,1.543181777,1.750959516,1.803806782,0.969388127,1.718271255,1.776199698,1.766147733,1.535123944,1.991864443,2.009138584,1.617151022,1.833737731,1.757255673,,,,,,
P23,1.118926406,1.913928628,1.679019928,1.251685262,2.179543257,1.841861248,1.6323241,,2.295500994,2.326590538,1.456596494,1.432584167,1.835043192,0.876107812,1.690127492,1.850350261,1.653884053,1.617884874,1.820573688,1.988851666,1.612252235,1.87070024,1.634503722,,,,,,
P24,1.057063818,1.829606414,1.691956639,1.23293972,2.210419178,1.958562732,1.910909414,,2.229528427,2.327670813,1.690423012,1.85925138,1.88120687,1.080358982,1.684531927,1.887802482,1.99029088,1.623321295,1.971776366,1.988873959,1.803110957,1.716550112,1.688679814,,,,,,
P25,0.974233329,1.694456816,1.734568834,1.288909554,2.365504742,1.936568499,1.925043106,,2.162230968,1.564661503,1.464295387,1.674239874,1.868768811,0.903935075,1.651191354,1.914258838,1.895162106,1.673966885,1.884283781,2.045755148,1.656477213,1.831197858,1.638292193,,,,,,
P26,0.974482596,1.728415728,1.636261106,0.960795164,2.331041336,1.701465845,1.813210607,,2.216021061,1.712216616,1.324200273,1.734052658,1.96771729,1.180963397,1.715747237,1.874617934,1.811476827,1.686451793,1.902905941,1.946098089,1.636212349,1.859160066,1.634042859,,,,,,
P27,0.999584019,1.845335841,1.84534502,0.943287909,2.167747259,1.698738217,1.644344687,,2.207545042,1.470383048,1.344880581,1.500418782,1.727636695,1.026627183,1.600914359,1.876443267,1.845092893,1.453388572,1.875025034,1.823153615,1.673832893,1.545674682,1.638496399,,,,,,
P28,1.469118357,1.937050819,1.745727062,1.253975987,2.539026976,1.866076946,1.953473926,,1.786664367,1.21320641,1.654268384,1.74762249,1.999006987,1.132086039,1.677981257,1.800865054,1.872050285,1.53977406,1.901934862,2.09477973,1.719851136,1.626362562,1.665796757,,,,,,
P29,1.112768412,1.787457466,1.785753965,1.122174859,2.47786665,1.947335124,2.046022177,,2.242190838,1.451344371,1.724491477,2.033785582,2.084184885,1.185221195,1.847236514,1.913763642,1.830774546,1.665109992,2.044331551,2.126306295,1.70755434,1.73563838,1.656094909,,,,,,
P30,1.171987295,1.772001147,1.700999975,0.969882548,2.123713732,1.816737652,1.980374813,,2.335903168,1.880873442,1.29573369,1.676389813,1.986792445,0.967595279,1.691066861,1.761483908,1.624000549,1.602861166,1.899974942,2.017568588,1.663862109,2.044386387,1.64928031,,,,,,
P31,1.003157139,1.732353568,1.621846557,0.820093691,2.220348835,1.498387098,1.778180242,,2.233486652,1.315686345,1.190054417,1.595976114,1.894753456,1.097341061,1.623984456,1.818733215,1.720959544,1.663469553,1.879938722,1.96943891,1.463276625,2.22387743,1.666684508,,,,,,
P32,1.055522799,1.825102925,1.616692543,0.662025511,2.262749672,1.681412697,1.5666821,,2.385598183,1.119084954,1.208337426,1.790794849,2.090616941,1.118045449,1.960724592,1.777087331,1.958580494,1.722618699,1.951528549,2.001295567,1.405579567,2.375483751,1.670298696,,,,,,
P33,1.188575506,1.877696633,1.762960553,1.138454795,2.007594109,1.710474014,1.740904212,,2.188399076,1.590368152,1.202107668,1.75698638,2.040034056,1.149677634,1.783885002,1.661088824,1.907459259,1.486340284,1.92113924,2.082176447,1.652698636,1.582752109,1.644755363,,,,,,
P34,1.008526683,1.588940501,1.381398678,0.959136426,1.859367013,1.648526669,1.757095814,,2.398962021,1.749659538,1.306128263,1.830775499,2.019838095,1.021839738,1.749027252,1.802574873,1.858055949,1.706360698,1.956870556,2.011076212,1.46228385,1.513737321,1.662722349,,,,,,
P35,0.97238791,1.662479997,1.600703359,1.276466966,2.440299034,1.63179636,1.651796699,,2.25564909,1.610031486,1.49479115,1.983595133,2.09014225,1.304965496,1.811490774,1.881086111,1.824702144,1.605725884,1.940309763,2.075150013,1.707746148,1.851227283,1.675115585,,,,,,
P36,0.976335645,1.634629846,1.538226008,0.937278807,2.010971546,1.620506883,1.887358665,,2.088816643,1.882477522,1.332131505,1.617572308,2.000675678,1.027396679,1.586544394,1.702403665,1.932531953,1.582242489,1.905908704,2.061576128,1.692371249,1.639737725,1.619699121,,,,,,
P37,0.911562622,1.678138256,1.545620203,1.074917436,2.100065947,1.573131204,1.749435663,,2.341342211,1.117539644,1.384288549,1.578571439,1.867236495,0.954425633,1.574853539,1.758780956,1.773637533,1.527224422,1.834584117,1.96532774,1.621637583,1.999011874,1.644056439,,,,,,
P38,0.974132001,1.829672098,1.397845864,0.882224679,2.132428646,1.666397214,1.686332464,,2.089712381,1.806329727,1.247726202,1.83401823,2.043580055,1.031179905,1.730508208,1.711011291,2.032721281,1.616868973,1.942432642,2.031742573,1.587919235,1.954773545,1.701679468,,,,,,
P39,0.891905844,1.707397223,1.287059784,0.970126629,1.999390244,1.561012626,1.562550426,,2.125216484,1.119705677,1.319549441,1.57225728,2.065680504,1.044846058,1.669080019,1.791310668,1.793751359,1.645314693,1.834228516,1.833795905,1.643691301,1.872645497,1.531637907,,,,,,
P40,1.010686517,1.7914747,1.533143282,0.853929043,1.762329936,1.727104306,1.596179008,,2.25073719,2.001120567,1.148843884,1.385204434,1.632669091,0.827738225,1.582589984,1.897577047,1.802165031,1.559796572,1.852312803,1.99905467,1.615198493,1.783382416,1.504688621,,,,,,
P41,0.960748792,1.714136362,1.55895257,1.052857995,2.077150106,1.534384847,1.862694979,,2.094282627,0.947298229,1.236789584,1.485489964,1.820389628,0.863351285,1.541437149,1.693825126,1.865821481,1.656058311,1.777722836,1.789166093,1.692548633,1.687322974,1.631231666,,,,,,
P42,0.962699652,1.710185885,1.515050054,1.023009777,1.902087212,1.532523274,1.735143542,,2.07817626,1.490869164,1.246471882,1.314584374,1.528355241,0.744435787,1.615468025,1.842198253,1.914976597,1.669276357,1.815032721,1.985723019,1.627085805,1.738706589,1.651414633,,,,,,
P43,1.001535296,1.716391325,1.690854669,0.839139521,2.205714703,1.758863807,1.642081261,,2.147310019,1.133583069,1.116506338,1.237958074,1.590968847,0.633482993,1.628401041,1.779177785,1.780144095,1.681561112,1.939392447,1.993049502,1.599563599,1.785789728,1.667786121,,,,,,
P44,1.109713078,1.886879444,1.430386543,1.153519273,2.011853456,1.670857549,1.650081515,,2.155919313,1.11679256,1.239128351,1.506966949,1.7975353,0.95919019,1.696536303,1.686797976,1.733395457,1.547822595,1.845361233,1.854009032,1.664481163,1.850115061,1.640373349,,,,,,
P45,0.989355445,1.811054945,1.610223651,0.855901659,2.335263729,1.915952086,1.677296519,,2.485797405,1.425843716,1.523349285,1.46732986,1.815422416,0.934244514,1.723692417,1.893439054,1.834260345,1.720793247,2.099838018,1.847812176,1.620987058,1.823905826,1.584639192,,,,,,
P46,0.762338698,1.756965876,1.35989356,1.042504311,2.073414564,1.61457932,1.90301621,,2.173853159,1.967876554,1.257288098,1.848379612,2.040773392,1.30016911,1.69952023,1.702926993,1.891675472,1.815192938,1.97662437,1.873637795,1.773113966,1.833727956,1.666997433,,,,,,
P47,0.699342668,1.632254124,1.267245293,0.73444581,2.094880342,1.706057191,1.739304066,,2.135612011,1.656456351,1.253966689,1.156657457,1.525966763,0.700368524,1.608753324,1.626095891,1.77840364,1.723175526,1.8416605,1.692400217,1.234560847,2.048387289,1.630571604,,,,,,
P48,0.89924401,1.698250413,1.550768137,1.145872831,2.123668432,1.66001153,1.907922983,,2.261014462,1.722323298,1.227054715,1.549252748,1.9896276,1.091757536,1.715439677,1.928376555,1.856584668,1.669389606,1.970742464,1.879844069,1.653653502,1.800631166,1.598160148,,,,,,
P49,1.054602027,1.869457722,1.556783199,1.109830141,2.685153008,1.751000762,1.901271582,,2.36390686,1.533943653,1.281188726,1.730211854,2.05234313,1.214453101,1.75626719,1.795477986,1.777356267,1.73491776,1.921198845,1.985954762,1.853017569,2.328298807,1.658455849,,,,,,
