Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.150341,1.678745,1.663632,0.9640624,2.463055,2.137113,1.729239,,1.739393,2.208542,1.995829,1.525351,1.630049,0.7905406,1.694473,1.673378,1.762357,1.631935,1.778763,1.592731,1.609984,2.125697,1.617452,,,,,,
P02,1.009181,1.862972,1.606338,0.6299011,2.099417,1.771568,1.358875,,1.603988,1.673467,1.6897,1.187037,1.646064,0.6897331,1.647893,2.058517,1.781987,1.426797,1.999441,1.986525,1.56075,1.432773,1.491477,,,,,,
P03,1.045935,2.005013,1.427826,0.7037437,2.526977,1.943722,1.55496,,2.000292,1.617142,1.650722,1.768031,1.801133,0.8292924,1.652553,1.775575,1.730764,1.075621,2.019601,1.826375,1.580589,1.35193,1.659814,,,,,,
P04,1.250716,1.893363,1.682934,0.5599223,2.379338,1.84909,1.842502,,1.819123,2.010453,1.753482,1.891358,1.924753,0.927949,1.670879,1.998839,1.674397,1.566127,2.03031,1.97083,1.606112,1.569577,1.551781,,,,,,
P05,1.22313,1.988115,1.675133,0.6874085,2.695205,1.925085,1.6418,,1.865486,2.183916,1.983265,1.541446,1.742674,1.071619,1.803686,1.841476,1.828566,1.626098,1.93069,1.991238,1.573764,1.586011,1.635737,,,,,,
P06,1.072556,1.718382,1.594448,0.7231174,2.107729,1.72987,1.508925,,1.237252,1.77495,1.809545,1.48481,1.708473,0.6187158,1.675987,1.717223,1.824085,1.478784,1.837246,2.061213,1.657344,1.461201,1.59558,,,,,,
P07,1.010081,1.87106,1.318883,0.4721959,2.394009,1.830338,1.570661,,1.877391,1.932245,1.878751,1.58892,1.905009,0.8945928,1.584609,1.659983,1.779112,1.724891,1.890179,1.907236,1.604482,1.651216,1.592037,,,,,,
P08,0.8633131,1.536313,1.310951,0.6120212,2.251535,1.678898,1.3014,,1.513493,1.695119,1.729735,1.157447,1.545864,0.664293,1.619463,1.646672,1.633758,1.50586,1.882368,2.001702,1.747844,1.427345,1.57619,,,,,,
P09,1.052154,2.045056,1.814947,0.6609244,2.258192,1.883729,1.274568,,2.088083,1.994764,2.089641,1.83567,1.920899,0.7396244,1.884328,1.756401,1.877059,1.540435,2.049695,1.747838,1.611433,1.379322,1.614164,,,,,,
P10,1.125784,1.842164,1.780317,0.9612644,2.500499,2.107701,1.43941,,2.204463,1.894619,1.856524,1.745088,1.845138,1.08426,1.640895,1.752636,1.816003,1.65792,1.92672,1.89106,1.642039,1.307252,1.568786,,,,,,
P11,1.143061,1.776938,1.818569,0.7068514,2.608759,1.63369,1.65814,,2.105187,2.00824,2.018826,1.45142,1.719023,0.7987348,1.737739,1.75703,1.857637,1.696099,1.931525,2.085369,1.870986,1.602644,1.636293,,,,,,
P12,1.142534,1.670333,1.864854,0.8940846,2.860067,2.125681,1.554224,,1.980772,2.264245,1.85395,1.702395,1.899501,0.8577135,1.613491,1.713734,1.500427,1.579241,1.842666,1.784,1.660062,1.544624,1.538564,,,,,,
P13,1.150675,1.861646,1.622136,0.7982625,2.550639,2.072054,1.67191,,2.076415,1.947966,1.734603,1.767506,1.984379,0.8737212,1.766144,1.719401,1.595553,1.558605,1.875123,2.051826,1.676303,1.814753,1.625423,,,,,,
P14,0.9701215,1.484007,1.545817,0.5499142,2.051375,1.917837,1.507393,,1.84457,1.691842,1.973159,1.315724,1.646721,0.705844,1.68122,1.520921,1.654819,1.399208,1.747205,1.82624,1.628512,1.621412,1.609306,,,,,,
P15,0.8372888,1.536184,1.444364,0.8304134,1.774712,1.570137,1.538916,,1.563001,1.710619,1.353664,0.9910697,1.676876,0.6929334,1.316738,1.322692,1.676575,1.722128,1.669733,1.599139,1.700146,1.629948,1.63058,,,,,,
P16,1.012159,1.724165,1.680348,0.7523266,2.551666,1.710119,1.564932,,2.064987,1.828421,2.041188,1.648037,1.9155,1.033026,1.693971,1.815857,1.794839,1.620775,1.848722,1.890022,1.281517,1.587057,1.700795,,,,,,
P17,1.228253,1.711987,1.585939,0.7384639,2.281467,1.951211,1.707093,,1.964118,2.303029,2.460328,1.480388,1.722662,0.711085,1.79263,2.010221,1.769228,1.480159,1.996152,1.702483,1.575583,2.026127,1.564865,,,,,,
P18,1.053785,1.663501,1.532987,0.8378383,2.464903,1.823916,1.560625,,1.854191,1.987053,2.269849,1.599772,1.638232,0.8307202,1.83856,1.589598,1.650872,1.639984,1.864356,1.65932,1.986037,1.955639,1.627137,,,,,,
P19,1.210717,1.934858,1.556495,1.234402,2.372256,2.124829,1.848509,,2.040341,2.690928,2.099045,1.58308,1.777889,0.8793591,1.838664,1.778627,1.826432,1.597262,1.759944,1.70143,1.686111,1.835577,1.638945,,,,,,
P20,1.017295,1.564183,1.567515,0.5745186,2.421412,2.064606,1.575876,,1.735375,1.649913,1.793454,1.277233,1.532722,0.7222818,1.703523,1.642765,1.869131,1.488096,1.846135,1.503184,1.822445,2.462208,1.642343,,,,,,
P21,1.004272,1.602072,1.661337,1.14955,2.379467,1.750236,1.869025,,1.655813,2.115736,1.864313,1.479045,1.713677,0.8591363,1.737876,1.650209,1.82726,1.369692,1.82789,1.743818,2.001636,1.889747,1.611414,,,,,,
P22,1.38647,1.882493,1.624266,1.150378,2.565636,1.975496,1.813617,,2.210503,2.680492,2.26049,1.561485,1.581838,0.8249845,1.700989,1.891664,1.867977,1.508829,1.943067,1.8304,1.69694,1.767296,1.586526,,,,,,
P23,1.326294,1.849036,1.684546,0.7713449,2.475052,1.880261,1.740813,,1.947588,2.152755,2.013351,1.469184,1.798515,0.8201535,1.734875,1.751949,1.661257,1.934098,1.831799,1.733836,1.349009,1.636588,1.593565,,,,,,
P24,1.082725,1.640435,1.497017,0.8043089,2.603215,2.028661,1.76431,,1.48667,2.388685,2.199603,1.594798,1.756062,1.122793,1.79392,2.035808,1.91743,1.704452,1.907619,1.745584,1.693886,2.074619,1.678408,,,,,,
P25,0.913659,1.479608,1.607596,1.334995,2.389712,1.62726,1.448897,,1.80894,1.647668,1.530985,1.323207,1.703665,0.9690942,1.612364,1.631676,1.908563,1.78464,1.795972,1.623213,1.580527,1.93844,1.558857,,,,,,
P26,1.202334,1.843329,1.719718,0.8289169,2.79743,2.15001,1.659378,,1.728163,2.234378,2.007052,1.949573,2.036608,1.164778,1.767606,1.607629,1.722282,1.546676,1.848969,1.876835,1.565678,1.747847,1.62609,,,,,,
P27,1.029191,1.714155,1.67301,0.7889726,2.326599,1.797711,1.648229,,1.785483,1.996948,2.08707,1.54122,1.656566,0.8206852,1.748296,1.745556,1.840181,1.683489,1.950593,1.829064,1.765964,1.442734,1.594471,,,,,,
P28,1.367581,1.924489,1.679706,0.8211784,2.601558,2.075105,1.573395,,2.361844,2.149462,2.308219,1.819591,1.891622,0.7953721,1.838201,2.256644,1.797174,1.486726,1.973484,1.87334,1.563419,1.58356,1.551005,,,,,,
