Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.116523,1.58729,1.787355,0.8156608,2.39554,1.751596,1.859081,,1.612384,2.031403,1.992194,1.306766,1.564298,0.647094,1.710903,1.669221,1.823578,1.525226,1.784379,1.512394,1.594277,2.112982,1.6017,,,,,,
P02,0.7774035,1.421538,1.531599,0.6138523,1.928292,1.587842,1.42033,,1.483328,1.52691,1.661238,1.293344,1.747764,0.6576143,1.621172,1.533525,1.68867,1.499572,1.697145,1.924574,1.581289,1.303057,1.526267,,,,,,
P03,0.8228062,1.751118,1.560621,0.7023806,2.079489,1.778567,1.574869,,1.977208,1.545101,1.694427,1.240716,1.603409,0.837314,1.721379,1.617679,1.640424,1.292106,1.993459,1.92538,1.451442,1.386916,1.636647,,,,,,
P04,1.248881,1.796926,1.714895,0.5705543,2.343071,2.011766,1.850701,,1.84108,1.93073,1.709645,1.659814,1.899419,0.6707847,1.824758,1.70319,1.685798,1.482831,1.838293,1.992696,1.596913,1.616771,1.598612,,,,,,
P05,1.098964,1.545435,1.750016,0.9461243,2.586442,2.093617,1.749295,,1.859686,1.9927,2.112985,1.67315,1.874953,1.119691,1.869096,1.836439,1.722635,1.429861,1.817757,1.988003,1.57728,1.616878,1.594679,,,,,,
P06,1.243696,1.632006,1.559146,0.9772961,2.591928,2.220129,1.812885,,1.508657,2.002848,2.020997,1.184089,1.63379,0.7651365,1.795203,1.808482,1.782447,1.482177,1.808616,2.066978,1.606624,1.426309,1.686955,,,,,,
P07,0.8395184,1.605446,1.403186,0.7243056,2.529601,1.750796,1.549119,,1.857141,1.661362,1.794806,1.136264,1.511186,0.6075823,1.592,1.600451,1.811258,1.485806,1.857296,1.723776,1.562318,1.708964,1.661811,,,,,,
P08,0.8015648,1.510812,1.448673,0.8151888,1.898547,1.661094,1.243132,,1.705868,1.810326,1.660987,1.314967,1.79596,0.9156507,1.586507,1.472218,1.737187,1.515931,1.827925,1.776795,1.800444,1.451175,1.653136,,,,,,
P09,0.8835616,1.750787,1.528126,0.6268914,2.104341,2.23354,1.327073,,1.805481,1.876911,2.006742,1.470031,1.814957,0.8623384,1.879056,1.784394,1.522879,1.45279,1.876386,1.675163,1.485549,1.450204,1.625758,,,,,,
P10,1.186981,1.558068,1.651718,0.7971146,2.499627,2.077059,1.740352,,1.895009,1.966852,1.63134,1.345065,1.691016,0.5799037,1.778568,1.674763,1.80607,1.602148,1.918207,1.926675,1.630346,1.47159,1.644753,,,,,,
P11,1.165775,1.609686,1.790928,0.9118158,2.697155,2.094166,1.710123,,1.725241,2.243716,1.971205,1.609228,1.830702,1.021118,1.811865,1.620974,1.865592,1.646757,1.87225,2.051847,1.715706,1.601563,1.664566,,,,,,
P12,1.082001,1.546564,1.768992,1.124352,2.303587,1.783356,1.732411,,1.803428,2.039289,1.890095,1.518792,1.523847,0.6620539,1.703298,1.769035,1.761613,1.665951,1.969981,1.63804,1.524647,1.93257,1.620629,,,,,,
