Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P01,0.7876358464392762,0.7943266966746405,0.8187897930219104,0.7906211719983054,0.7722055371516621,0.7886533933492811,0.5794521579007917,0.819468274039741,0.839689103857773,0.8336489819013001,0.8126573777702636,0.8327541710288046
P02,0.9575705323085363,0.9606360555423016,0.9929311221559387,0.9867598786496855,0.9855953614803057,0.9887522165221878,1.0,0.9649129613011201,0.991843939577456,0.9866583721237243,0.978226296446687,0.9895438042544781
P03,0.8245382263641882,0.8400079040583476,0.8974389462789374,0.8565073094681883,0.8438866017432658,0.8633491414500284,0.7655117680628988,0.8631968016482613,0.9052104936196964,0.8658902227646649,0.8394494211717799,0.8780733723708437
P04,0.8777797714780821,0.8779348128045916,0.9468634354851105,0.9249870540746105,0.9183893907190692,0.930667148730169,0.8667262530771667,0.8941568808095688,0.9510744438926899,0.9223946778855392,0.8942591057776446,0.9331468148452415
P05,0.9033562941410023,0.912731584031826,0.9528510234225246,0.9217312597099212,0.9148472373145087,0.9254631680636519,0.8699056702836461,0.9212288291106662,0.9673538800817886,0.9477702390687882,0.9385399093709592,0.9522072165309031
P06,0.7156125381568826,0.7449693960449839,0.7521746172501136,0.7287799954936266,0.7049252026582503,0.731809701263079,0.4874178360041249,0.7643055140977206,0.7684125332082883,0.7461450244529862,0.700516306697867,0.7552362960752272
P07,0.6286283957831645,0.6635240872045478,0.6277195257973106,0.6365992221382398,0.6046367926416233,0.6359924696343328,0.3796974466655349,0.6878882568579238,0.6378885183089935,0.6609927956700064,0.6084147344626648,0.6617952071949171
P08,0.8848418572386255,0.8786023348884507,0.9100964452792291,0.9128113901374256,0.9051428325409401,0.9072046697769015,0.8207242928578888,0.897352736274958,0.9172244638418232,0.9286389675253616,0.9302841339419385,0.9216070818337453
P09,0.8576701391999351,0.8628625043396856,0.9218984576287779,0.8873937217557258,0.8774895871238841,0.8923916753460379,0.8228919445555525,0.8818146414824053,0.9377642487237445,0.9105420505067742,0.8962222946260412,0.9177119073562603
P10,0.9676141238269202,0.9709105280106087,0.9868624987354281,0.973910419903307,0.9716157457715031,0.9751543893545509,0.9332671151166074,0.969701527138037,0.9921966179318564,0.9857817320033062,0.9829538482859868,0.9870804919955914
P11,0.7356196689897575,0.7358794641562932,0.8130629434609834,0.7827130906946218,0.7636019111311791,0.7941179007482485,0.6821314244494295,0.7530288232030292,0.8482080940191993,0.800532157755177,0.7443276996807618,0.8225014919613676
P12,0.8934969735744429,0.9009568027993444,0.9466297184407537,0.9146336770746384,0.90712539628905,0.9185802722653555,0.8454747322864351,0.9159434820022492,0.9516008186493528,0.9269463066452283,0.915242997709547,0.9328041165888514
P13,1.0,1.0,1.0,1.0,1.0,1.0,0.9786499243848265,1.0,1.0,1.0,1.0,1.0
P14,0.7630238413051194,0.7506546015392985,0.8400240533011761,0.8283123102290251,0.813211749046877,0.8346425364119304,0.7849388452051838,0.7745495245878449,0.849237855360232,0.8451016377818732,0.8287245138207935,0.8550883801391747
P15,0.8113901000860633,0.803293635993653,0.8835218839760758,0.8685970555962838,0.8570396853262916,0.8732539386539725,0.8185151516904888,0.8271918311350668,0.8976822637950984,0.8840614100046115,0.8724415727348509,0.8913522404869797
P16,0.7067705691406084,0.7212415390198651,0.7597920998644364,0.7357995017124628,0.7125621001604534,0.7424830780397302,0.6066179996326789,0.7489233215425735,0.7935187471910566,0.76549839517706,0.7244819144417003,0.7801995769682613
P17,0.6021532453626425,0.6289547510659379,0.6075948239727096,0.6174705208176222,0.583825651974234,0.6205125061988135,0.4102977593742086,0.653819570896957,0.6409752757207281,0.6558255998606626,0.5924925725202963,0.6668464366159799
P18,0.4670907683366005,0.5160782620372361,0.42963789655533885,0.4827726035801419,0.44666293925390727,0.482156524074472,0.26307649478689205,0.551136795324165,0.4153828254068907,0.5119490243879157,0.45158679613366043,0.5124905436182121
P19,0.48449985495478165,0.5250088141767868,0.4518392339159832,0.5005458738897293,0.46310683250253615,0.5000176283535736,0.26217031056422135,0.5493180708022403,0.4193627491118449,0.5159837662575876,0.45735100918863647,0.5162279050863683
P20,0.47990578990119376,0.5028855632585352,0.4762223806161341,0.5131708278736109,0.4812419819344808,0.5224377931837372,0.3533317529308106,0.5342787258807371,0.4658480513927646,0.534460580025722,0.47000574721886706,0.5581399131125736
P21,0.5568462597213584,0.5962343727344916,0.5558936809612143,0.5771857754503635,0.541103896863597,0.5819011039567711,0.36642418486025646,0.6192108764771284,0.5704695464614985,0.6083154863606182,0.540874556169836,0.621089294836939
P22,0.45061822266895574,0.49252869957227285,0.4110837693449986,0.4685774383095764,0.43352952158288294,0.46839073247787905,0.2449543958271343,0.5213136955010144,0.3778492266344396,0.48759677328600326,0.43085253215191527,0.4888637383938099
P23,0.40730447798271685,0.4281428770644061,0.3527572285205553,0.41708179741222695,0.3886510233953363,0.4062857541288121,0.2135545842087824,0.4563433753884423,0.34628874420575256,0.4596839273730198,0.4313776935324636,0.43813067310767295
P24,0.6042549614002958,0.6360117284508185,0.6085615849193016,0.6199666025640284,0.5865412732530174,0.6220234569016372,0.3786423879366644,0.6700234479653542,0.6233603661899888,0.6483603586718901,0.5926558554233379,0.6538319589279479
P25,0.5531843732038931,0.5780252257616049,0.5613306132558536,0.5781994468133753,0.5451104499039563,0.585726841642273,0.3656234936597627,0.6022540725785501,0.5606917417830336,0.5999473178500918,0.531389151202586,0.6164046751267382
P26,0.722726794062878,0.7069053654281492,0.7763003874547109,0.7568382908735827,0.7354513278902883,0.7629990577128107,0.6781488725974281,0.7254733261149224,0.8253880353826729,0.7991114134762329,0.744496028843127,0.8145541018301387
P27,0.48177181299813326,0.4584658595783986,0.44100388412366276,0.4765049685869461,0.4479267722353482,0.4578280145338356,0.26047829291791613,0.4752087328492176,0.45949743684264577,0.5282647290162146,0.5088180627048989,0.4849516249477871
P28,0.5871073638893671,0.5967424255747482,0.5673081727574938,0.5893730469685914,0.5593899975759709,0.5829172096372844,0.3768482909765004,0.6209388752304918,0.5870578434328262,0.6374991048109474,0.5870605693797243,0.6246288541886619
P29,0.5213250318223983,0.5482040767034428,0.5014286157481884,0.5369791064995516,0.5012325381981596,0.5394992207363741,0.30091581496592185,0.5669215020086532,0.4774097914034942,0.551055481028324,0.48492654974150834,0.5576506703300613
