Fold,r2,mse,mae,rank_corr
1,0.963958,0.001062,0.026393,0.966896
2,0.966146,0.000997,0.024660,0.971703
Mean,0.965052,0.001029,0.025527,0.969299
Std,0.001094,0.000032,0.000866,0.002404
