Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.6601,0.7103,0.9050,0.7229,0.7785,0.7554,0.0937,0.1240,3,3,3,3,3,3.0000,3
P02,0.4594,0.4664,0.6144,0.4936,0.5750,0.5218,0.0692,0.1327,13,13,15,11,14,13.2000,11
P03,0.2371,0.2355,0.2692,0.2285,0.3050,0.2550,0.0320,0.1256,44,48,50,50,50,48.4000,50
P04,0.3639,0.3970,0.5738,0.4395,0.5474,0.4643,0.0923,0.1989,28,24,21,20,21,22.8000,23
P05,0.1341,0.1434,0.2200,0.1838,0.2384,0.1839,0.0458,0.2491,56,55,53,54,54,54.4000,55
P06,0.2903,0.3126,0.4178,0.3333,0.4426,0.3593,0.0670,0.1865,37,37,35,35,35,35.8000,36
P07,0.6248,0.6091,0.6985,0.5631,0.6169,0.6225,0.0488,0.0784,4,5,7,6,8,6.0000,5
P08,0.3287,0.3448,0.4972,0.3999,0.4928,0.4127,0.0797,0.1930,33,33,25,25,27,28.6000,27
P09,0.2479,0.2738,0.3669,0.2965,0.3933,0.3157,0.0620,0.1964,43,42,40,39,39,40.6000,39
P10,0.2842,0.3003,0.4108,0.3292,0.4264,0.3502,0.0647,0.1849,40,38,36,36,36,37.2000,38
P11,0.3355,0.3533,0.4726,0.3717,0.4845,0.4035,0.0698,0.1730,31,32,29,29,28,29.8000,30
P12,0.3814,0.4257,0.6297,0.5101,0.5898,0.5073,0.1052,0.2075,23,20,10,10,10,14.6000,13
P13,0.3019,0.3217,0.4467,0.3535,0.4558,0.3759,0.0712,0.1895,34,35,34,32,30,33.0000,33
P14,0.3752,0.4228,0.6197,0.4852,0.5782,0.4962,0.1026,0.2068,24,21,13,13,12,16.6000,17
P15,0.1223,0.0742,0.1789,0.1311,0.1517,0.1316,0.0388,0.2947,58,59,58,58,58,58.2000,58
P16,0.1824,0.1887,0.3204,0.2502,0.3153,0.2514,0.0662,0.2634,50,50,45,47,49,48.2000,49
P18,0.3482,0.3907,0.5376,0.4188,0.5251,0.4441,0.0836,0.1884,29,25,24,23,24,25.0000,25
P19,0.1844,0.1970,0.3199,0.2514,0.3167,0.2539,0.0640,0.2520,49,49,46,46,48,47.6000,47
P20,0.2366,0.2614,0.3965,0.3107,0.3945,0.3199,0.0740,0.2312,45,44,38,38,38,40.6000,39
P21,0.2992,0.3227,0.3998,0.3200,0.4193,0.3522,0.0536,0.1521,36,34,37,37,37,36.2000,37
P22,0.4092,0.4286,0.5449,0.4212,0.5312,0.4670,0.0654,0.1401,18,19,22,22,22,20.6000,20
P23,0.1329,0.1299,0.1852,0.1476,0.1810,0.1553,0.0262,0.1690,57,57,57,57,57,57.0000,57
P24,0.4737,0.4857,0.5901,0.4600,0.5563,0.5132,0.0568,0.1107,12,11,17,17,18,15.0000,14
P25,0.2586,0.2813,0.3477,0.2858,0.3802,0.3107,0.0510,0.1641,41,41,43,42,40,41.4000,41
P26,0.1389,0.1560,0.1993,0.1742,0.2312,0.1799,0.0364,0.2022,55,54,55,56,56,55.2000,56
P27,0.2886,0.2919,0.3253,0.2743,0.3661,0.3092,0.0369,0.1193,38,39,44,44,42,41.4000,41
