Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.7520,0.6389,0.7445,0.8026,0.7741,0.7424,0.0621,0.0837,18,24,19,15,13,17.8000,18
P02,0.6707,0.6355,0.6783,0.6805,0.6251,0.6580,0.0258,0.0393,25,25,25,26,25,25.2000,25
P03,0.4141,0.3537,0.3708,0.4377,0.3650,0.3883,0.0359,0.0924,47,46,48,46,46,46.6000,47
P04,0.7249,0.6461,0.7365,0.7425,0.6906,0.7081,0.0401,0.0566,20,23,20,20,20,20.6000,20
P05,0.6892,0.6661,0.6839,0.6816,0.6246,0.6691,0.0263,0.0393,23,21,24,25,27,24.0000,23
P06,0.5455,0.5115,0.5209,0.5603,0.4817,0.5240,0.0306,0.0583,32,31,33,32,35,32.6000,32
P07,0.4055,0.3500,0.3750,0.4299,0.3601,0.3841,0.0331,0.0861,51,47,47,48,47,48.0000,48
P08,0.7155,0.6958,0.7015,0.6996,0.6384,0.6902,0.0299,0.0433,21,19,22,23,22,21.4000,21
P09,0.6944,0.6693,0.7037,0.7043,0.6335,0.6810,0.0301,0.0442,22,20,21,22,23,21.6000,22
P10,0.5104,0.4597,0.4945,0.5272,0.4822,0.4948,0.0259,0.0524,37,37,34,36,34,35.6000,34
P11,0.6696,0.6585,0.6745,0.6848,0.6266,0.6628,0.0224,0.0337,26,22,26,24,24,24.4000,24
P12,0.9707,0.9287,0.9862,0.9926,0.9908,0.9738,0.0266,0.0274,3,3,2,2,2,2.4000,2
P13,0.7618,0.7287,0.7849,0.8103,0.7783,0.7728,0.0302,0.0391,16,16,15,13,11,14.2000,15
P14,0.9544,0.9123,0.9593,0.9710,0.9638,0.9522,0.0231,0.0243,4,6,4,4,4,4.4000,4
P15,0.9800,0.9857,0.9772,0.9893,0.9867,0.9838,0.0050,0.0051,2,2,3,3,3,2.6000,3
P16,0.6759,0.6003,0.6647,0.6703,0.6251,0.6472,0.0330,0.0510,24,26,27,28,26,26.2000,26
P18,0.8715,0.8606,0.8962,0.8659,0.8325,0.8653,0.0228,0.0264,9,9,8,9,9,8.8000,9
P19,0.7886,0.7649,0.7778,0.7693,0.7245,0.7650,0.0244,0.0319,15,15,16,18,17,16.2000,16
P20,0.6329,0.3835,0.7001,0.7118,0.7063,0.6269,0.1398,0.2230,29,43,23,21,19,27.0000,27
P21,0.8157,0.7909,0.8223,0.8111,0.7642,0.8008,0.0236,0.0295,13,13,12,12,14,12.8000,12
P22,0.6514,0.5979,0.6573,0.6738,0.6146,0.6390,0.0316,0.0494,27,27,28,27,28,27.4000,28
P23,0.9239,0.9281,0.9430,0.9383,0.9230,0.9313,0.0089,0.0096,5,4,5,5,5,4.8000,5
P24,0.8862,0.8511,0.8779,0.8688,0.8424,0.8653,0.0183,0.0211,8,10,9,8,8,8.6000,8
P25,0.8160,0.8465,0.8094,0.7945,0.7435,0.8020,0.0378,0.0471,12,11,14,16,16,13.8000,13
P26,0.9181,0.9132,0.9282,0.8997,0.8748,0.9068,0.0206,0.0227,6,5,6,7,7,6.2000,6
P27,0.7355,0.7267,0.7534,0.7484,0.6858,0.7300,0.0268,0.0367,19,17,18,19,21,18.8000,19
P28,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1.0000,1
P29,0.8397,0.8689,0.8640,0.8357,0.7948,0.8406,0.0295,0.0350,10,7,10,10,10,9.4000,10
P30,0.8261,0.8038,0.8350,0.8197,0.7749,0.8119,0.0236,0.0291,11,12,11,11,12,11.4000,11
P31,0.7617,0.7010,0.7718,0.7710,0.7178,0.7447,0.0330,0.0443,17,18,17,17,18,17.4000,17
P32,0.5106,0.2258,0.5356,0.5569,0.5454,0.4749,0.1403,0.2954,36,57,32,33,31,37.8000,37
