Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P40,0.1408,0.2642,0.0869,0.1353,0.1531,0.1561,0.0655,0.4195,58,58,58,57,57,57.6000,58
P41,0.2524,0.3689,0.2538,0.2752,0.3115,0.2923,0.0490,0.1676,53,49,52,49,49,50.4000,49
P42,0.4176,0.5243,0.4694,0.4369,0.4917,0.4680,0.0426,0.0909,32,30,31,31,31,31.0000,31
P43,0.1437,0.2728,0.0971,0.1294,0.1464,0.1579,0.0672,0.4255,57,57,57,58,58,57.4000,57
P44,0.0694,0.2276,0.0000,0.0416,0.0471,0.0771,0.0878,1.1375,59,59,61,60,60,59.8000,60
P45,0.2378,0.3548,0.2193,0.2379,0.2692,0.2638,0.0540,0.2045,55,51,55,54,54,53.8000,55
P46,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1.0000,1
P47,0.7078,0.6444,0.6896,0.7221,0.7425,0.7013,0.0373,0.0531,5,11,9,6,6,7.4000,7
P48,0.3104,0.4170,0.3178,0.3137,0.3550,0.3428,0.0452,0.1319,46,45,45,45,45,45.2000,45
P49,0.6996,0.7627,0.8072,0.7281,0.7565,0.7508,0.0403,0.0537,8,6,3,5,5,5.4000,4
P50,0.4279,0.5053,0.4692,0.4256,0.4640,0.4584,0.0330,0.0720,30,33,32,33,33,32.2000,32
P51,0.4433,0.5677,0.4760,0.4591,0.5088,0.4910,0.0493,0.1004,28,24,29,29,28,27.6000,28
P53,0.3395,0.4754,0.3533,0.3599,0.4072,0.3871,0.0556,0.1436,41,38,43,42,41,41.0000,41
P54,0.3795,0.5161,0.3935,0.3939,0.4417,0.4249,0.0561,0.1321,36,31,38,35,36,35.2000,35
P55,0.4792,0.5794,0.4964,0.4904,0.5381,0.5167,0.0415,0.0804,22,19,27,24,25,23.4000,24
P56,0.5708,0.6579,0.5978,0.5652,0.6076,0.5999,0.0370,0.0617,12,9,17,14,14,13.2000,14
P57,0.7025,0.7662,0.7707,0.6982,0.7297,0.7335,0.0342,0.0466,6,5,6,9,9,7.0000,6
P58,0.0000,0.0000,0.0116,0.0000,0.0000,0.0023,0.0052,2.2361,61,61,60,61,61,60.8000,61
P59,0.3146,0.4166,0.2915,0.3451,0.3890,0.3514,0.0516,0.1468,45,46,47,43,43,44.8000,44
P60,0.6215,0.6532,0.6413,0.6198,0.6568,0.6385,0.0173,0.0271,11,10,13,11,11,11.2000,11
P61,0.7119,0.5925,0.6728,0.7972,0.8003,0.7149,0.0878,0.1228,4,16,11,3,3,7.4000,7
P62,0.7014,0.7750,0.7777,0.6986,0.7300,0.7365,0.0384,0.0521,7,3,5,8,8,6.2000,5
P63,0.6887,0.7341,0.7550,0.7002,0.7315,0.7219,0.0269,0.0373,9,7,7,7,7,7.4000,7
