Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.3218,0.4180,0.3463,0.3010,0.3296,0.3433,0.0448,0.1305,44,44,44,47,48,45.4000,46
P02,0.4762,0.5667,0.5785,0.5100,0.5561,0.5375,0.0430,0.0800,23,25,21,21,20,22.0000,22
P03,0.0255,0.1713,0.0154,0.0645,0.0730,0.0699,0.0618,0.8832,60,60,59,59,59,59.4000,59
P04,0.4368,0.5513,0.4759,0.4679,0.5165,0.4897,0.0447,0.0912,29,26,30,27,27,27.8000,29
P05,0.3262,0.4305,0.3541,0.3249,0.3609,0.3593,0.0430,0.1196,43,42,42,44,44,43.0000,43
P06,0.2674,0.3263,0.2775,0.2503,0.2774,0.2798,0.0283,0.1010,49,55,50,53,53,52.0000,52
P07,0.2563,0.2980,0.2804,0.2563,0.2900,0.2762,0.0192,0.0695,52,56,48,52,52,52.0000,52
P08,0.2403,0.3765,0.2253,0.2641,0.2988,0.2810,0.0602,0.2141,54,48,54,50,50,51.2000,50
P09,0.4216,0.4960,0.4851,0.4517,0.4992,0.4707,0.0333,0.0707,31,35,28,30,30,30.8000,30
P10,0.3345,0.4121,0.3803,0.3600,0.4072,0.3788,0.0326,0.0859,42,47,41,41,42,42.6000,42
P11,0.3988,0.4887,0.4654,0.4086,0.4528,0.4429,0.0382,0.0862,34,36,33,34,34,34.2000,34
P12,0.4801,0.5496,0.5842,0.5103,0.5567,0.5362,0.0410,0.0764,21,27,20,20,19,21.4000,21
P13,0.4541,0.5421,0.5023,0.4829,0.5311,0.5025,0.0358,0.0712,26,29,26,26,26,26.6000,27
P14,0.8870,0.9287,0.9799,0.9000,0.9104,0.9212,0.0362,0.0392,2,2,2,2,2,2.0000,2
P15,0.4848,0.5749,0.5900,0.5028,0.5545,0.5414,0.0457,0.0843,20,20,19,23,22,20.8000,19
P16,0.4606,0.5426,0.5370,0.5055,0.5509,0.5193,0.0371,0.0714,25,28,22,22,23,24.0000,25
P18,0.3664,0.4332,0.4322,0.3761,0.4160,0.4048,0.0316,0.0780,38,41,35,40,40,38.8000,38
P19,0.2178,0.3474,0.1948,0.2322,0.2628,0.2510,0.0592,0.2360,56,52,56,55,55,54.8000,56
P20,0.2580,0.3445,0.2529,0.2071,0.2265,0.2578,0.0527,0.2043,50,53,53,56,56,53.6000,54
P21,0.5062,0.5909,0.6027,0.5222,0.5715,0.5587,0.0425,0.0760,17,17,15,17,17,16.6000,17
P22,0.4533,0.5694,0.5180,0.4608,0.5084,0.5020,0.0472,0.0940,27,23,25,28,29,26.4000,26
P23,0.3829,0.4978,0.4140,0.3849,0.4312,0.4222,0.0469,0.1111,35,34,36,37,37,35.8000,36
P24,0.3691,0.4882,0.3880,0.3929,0.4421,0.4160,0.0485,0.1166,37,37,39,36,35,36.8000,37
P25,0.3531,0.4487,0.4003,0.3784,0.4270,0.4015,0.0379,0.0945,40,40,37,39,38,38.8000,38
P26,0.5376,0.5981,0.6742,0.5657,0.6102,0.5972,0.0516,0.0864,14,14,10,13,13,12.8000,13
P27,0.3548,0.4544,0.3852,0.3787,0.4250,0.3996,0.0397,0.0993,39,39,40,38,39,39.0000,40
P28,0.4981,0.5745,0.5989,0.5169,0.5658,0.5509,0.0419,0.0761,18,21,16,18,18,18.2000,18
P29,0.2751,0.3581,0.2778,0.2978,0.3337,0.3085,0.0363,0.1177,48,50,49,48,47,48.4000,48
P30,0.5539,0.6174,0.6437,0.5846,0.6279,0.6055,0.0361,0.0595,13,12,12,12,12,12.2000,12
P31,0.5116,0.5973,0.6072,0.5402,0.5881,0.5689,0.0411,0.0722,16,15,14,15,15,15.0000,15
P32,0.2569,0.3361,0.2669,0.2604,0.2941,0.2829,0.0331,0.1171,51,54,51,51,51,51.6000,51
P33,0.2993,0.4259,0.2996,0.3076,0.3481,0.3361,0.0541,0.1609,47,43,46,46,46,45.6000,47
P34,0.4054,0.5073,0.4548,0.4311,0.4849,0.4567,0.0408,0.0892,33,32,34,32,32,32.6000,33
P35,0.4850,0.5710,0.5272,0.5121,0.5559,0.5303,0.0343,0.0647,19,22,23,19,21,20.8000,19
P36,0.4692,0.5842,0.5257,0.4878,0.5411,0.5216,0.0453,0.0868,24,18,24,25,24,23.0000,23
P37,0.5149,0.6142,0.5927,0.5291,0.5782,0.5658,0.0423,0.0748,15,13,18,16,16,15.6000,16
P38,0.6677,0.7325,0.7484,0.6845,0.7173,0.7101,0.0334,0.0471,10,8,8,10,10,9.2000,10
P39,0.7671,0.7679,0.7912,0.7666,0.7909,0.7767,0.0131,0.0168,3,4,4,4,4,3.8000,3
