Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61,61,61,61,61,61.0000,61
P02,0.4147,0.5760,0.7509,0.5026,0.6208,0.5730,0.1265,0.2207,12,8,7,9,8,8.8000,8
P03,0.3563,0.4863,0.5171,0.3989,0.4842,0.4486,0.0678,0.1511,20,18,28,25,27,23.6000,24
P04,0.3951,0.5266,0.5105,0.4210,0.5194,0.4745,0.0616,0.1299,14,12,30,22,22,20.0000,21
P05,0.1612,0.2821,0.2733,0.2306,0.3308,0.2556,0.0636,0.2490,45,40,46,43,42,43.2000,43
P06,0.1774,0.2942,0.2824,0.2414,0.3463,0.2683,0.0631,0.2352,40,38,44,42,40,40.8000,42
P07,0.5362,0.5396,0.5918,0.5280,0.5846,0.5560,0.0298,0.0535,7,11,22,8,11,11.8000,10
P08,0.3061,0.4449,0.4521,0.3537,0.4505,0.4015,0.0675,0.1681,29,25,33,30,30,29.4000,30
P09,0.3428,0.4652,0.6496,0.4209,0.5482,0.4853,0.1181,0.2433,25,23,17,23,20,21.6000,22
P10,0.2406,0.3510,0.3433,0.2805,0.3717,0.3174,0.0548,0.1726,36,33,41,37,37,36.8000,37
P11,0.5777,0.6915,0.7227,0.5924,0.6691,0.6507,0.0631,0.0969,6,6,9,5,7,6.6000,7
P12,0.0650,0.1486,0.1753,0.1312,0.1882,0.1417,0.0483,0.3410,55,54,53,54,54,54.0000,54
P13,0.3283,0.4375,0.5417,0.3837,0.5161,0.4414,0.0891,0.2019,27,27,26,26,23,25.8000,26
P14,0.3432,0.4209,0.6828,0.4237,0.4739,0.4689,0.1284,0.2738,24,30,14,21,29,23.6000,24
P15,0.1258,0.2078,0.1988,0.1733,0.2485,0.1908,0.0453,0.2375,50,48,50,49,49,49.2000,50
P16,0.0807,0.1542,0.1869,0.1402,0.2011,0.1526,0.0470,0.3082,53,53,51,53,53,52.6000,53
P18,0.1048,0.2046,0.2411,0.1784,0.2537,0.1965,0.0593,0.3016,51,49,48,47,48,48.6000,49
P19,0.0364,0.1242,0.0763,0.0753,0.1080,0.0840,0.0339,0.4030,57,56,59,59,59,58.0000,58
P20,0.1268,0.2336,0.2153,0.1923,0.2759,0.2088,0.0551,0.2640,49,47,49,46,46,47.4000,46
P21,0.1700,0.2724,0.3704,0.2457,0.3396,0.2796,0.0792,0.2831,42,41,39,40,41,40.6000,40
P22,0.2585,0.3725,0.3244,0.2879,0.3739,0.3234,0.0511,0.1579,33,32,42,36,36,35.8000,35
P23,0.1628,0.1650,0.2795,0.1714,0.2258,0.2009,0.0510,0.2539,44,51,45,50,51,48.2000,48
P24,0.1900,0.2871,0.3955,0.2610,0.3679,0.3003,0.0830,0.2763,39,39,36,39,38,38.2000,38
P25,0.2451,0.3373,0.5131,0.3159,0.4145,0.3652,0.1024,0.2804,35,35,29,33,32,32.8000,33
P26,0.3540,0.4822,0.7001,0.4439,0.5576,0.5076,0.1302,0.2566,21,20,13,15,18,17.4000,18
P27,0.3531,0.4803,0.6440,0.4271,0.5626,0.4934,0.1137,0.2304,22,21,19,20,15,19.4000,19
P28,0.2340,0.3200,0.5071,0.3043,0.3933,0.3517,0.1037,0.2947,38,36,31,34,34,34.6000,34
P29,0.1750,0.2689,0.3493,0.2422,0.3474,0.2766,0.0739,0.2673,41,42,40,41,39,40.6000,40
P30,0.3874,0.5099,0.6135,0.4389,0.5613,0.5022,0.0910,0.1812,15,14,21,17,16,16.6000,16
P31,0.5095,0.6670,0.8309,0.5731,0.6751,0.6511,0.1217,0.1870,8,7,4,7,6,6.4000,5
P32,0.0263,0.0532,0.0519,0.0525,0.0754,0.0519,0.0174,0.3351,59,60,60,60,60,59.8000,60
P33,0.4464,0.5686,0.5232,0.4526,0.5385,0.5059,0.0540,0.1068,9,9,27,14,21,16.0000,14
P34,0.2938,0.4238,0.5503,0.3714,0.5134,0.4305,0.1042,0.2421,30,28,25,28,24,27.0000,27
P35,0.3575,0.4692,0.6465,0.4278,0.5526,0.4907,0.1121,0.2284,19,22,18,19,19,19.4000,19
P36,0.2377,0.3161,0.4410,0.2926,0.3931,0.3361,0.0810,0.2410,37,37,35,35,35,35.8000,35
P37,0.2845,0.3968,0.5847,0.3652,0.4747,0.4212,0.1140,0.2708,32,31,24,29,28,28.8000,29
P38,0.3804,0.5159,0.7223,0.4666,0.5930,0.5356,0.1298,0.2423,17,13,10,13,10,12.6000,12
P39,0.3502,0.4226,0.6550,0.4144,0.4891,0.4662,0.1164,0.2497,23,29,15,24,26,23.4000,23
P40,0.1319,0.2440,0.1811,0.1784,0.2558,0.1982,0.0512,0.2585,47,45,52,48,47,47.8000,47
P41,0.1470,0.2554,0.3112,0.2234,0.3153,0.2505,0.0696,0.2777,46,43,43,45,43,44.0000,45
P42,0.1290,0.1565,0.2682,0.1597,0.2291,0.1885,0.0578,0.3069,48,52,47,51,50,49.6000,51
P43,0.0860,0.2023,0.1648,0.1507,0.2162,0.1640,0.0511,0.3116,52,50,54,52,52,52.0000,52
P44,0.0356,0.1403,0.0996,0.1075,0.1542,0.1075,0.0461,0.4288,58,55,58,56,56,56.6000,56
