Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P45,0.0218,0.1133,0.1211,0.0826,0.1131,0.0904,0.0411,0.4547,60,58,57,58,58,58.2000,59
P46,0.3993,0.4931,0.7255,0.4785,0.5585,0.5310,0.1226,0.2309,13,17,8,12,17,13.4000,13
P47,0.2479,0.2499,0.4440,0.2622,0.3144,0.3037,0.0830,0.2732,34,44,34,38,44,38.8000,39
P48,0.0649,0.1217,0.1334,0.1118,0.1603,0.1184,0.0350,0.2955,56,57,55,55,55,55.6000,55
P49,0.2852,0.3384,0.5902,0.3422,0.3991,0.3910,0.1184,0.3029,31,34,23,32,33,30.6000,32
P50,0.0761,0.0879,0.1257,0.0913,0.1310,0.1024,0.0244,0.2384,54,59,56,57,57,56.6000,56
P51,0.3259,0.4537,0.4966,0.3784,0.5094,0.4328,0.0787,0.1818,28,24,32,27,25,27.2000,28
P53,0.3854,0.5079,0.6276,0.4415,0.5659,0.5057,0.0963,0.1904,16,16,20,16,14,16.4000,15
P54,0.1663,0.2379,0.3746,0.2271,0.3107,0.2633,0.0806,0.3061,43,46,38,44,45,43.2000,43
P55,0.8780,1.0000,0.8859,0.8331,0.8718,0.8937,0.0628,0.0702,3,1,2,4,4,2.8000,3
P56,1.0000,0.9771,0.8247,1.0000,1.0000,0.9604,0.0765,0.0796,1,4,5,1,1,2.4000,2
P57,0.8306,0.9912,1.0000,0.8401,0.8809,0.9086,0.0817,0.0899,4,3,1,3,3,2.8000,3
P58,0.3385,0.4382,0.3760,0.3442,0.4203,0.3834,0.0446,0.1164,26,26,37,31,31,30.2000,31
P59,0.5877,0.7188,0.7156,0.5874,0.6769,0.6573,0.0658,0.1000,5,5,11,6,5,6.4000,5
P60,0.9973,0.9951,0.8317,0.9591,0.9613,0.9489,0.0680,0.0716,2,2,3,2,2,2.2000,1
P61,0.4193,0.5096,0.7134,0.4946,0.5765,0.5427,0.1106,0.2038,11,15,12,11,12,12.2000,11
P62,0.4205,0.5640,0.7532,0.4990,0.6180,0.5710,0.1258,0.2203,10,10,6,10,9,9.0000,9
P63,0.3691,0.4861,0.6506,0.4374,0.5705,0.5027,0.1105,0.2198,18,19,16,18,13,16.8000,17
