Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.1609,0.2078,0.3273,0.2359,0.2667,0.2397,0.0626,0.2609,53,53,47,51,52,51.2000,51
P02,0.3388,0.4067,0.4560,0.3865,0.4612,0.4098,0.0509,0.1243,35,33,35,33,32,33.6000,33
P03,0.2326,0.3017,0.3169,0.2886,0.3473,0.2974,0.0423,0.1424,43,44,49,46,44,45.2000,44
P04,0.5680,0.6153,0.7227,0.5662,0.6171,0.6178,0.0635,0.1028,12,13,13,13,14,13.0000,13
P05,0.7007,0.7295,0.7916,0.6573,0.6949,0.7148,0.0500,0.0700,5,7,8,9,9,7.6000,8
P06,0.5244,0.5624,0.6327,0.5067,0.5651,0.5583,0.0485,0.0869,15,16,19,19,22,18.2000,17
P07,0.5133,0.5506,0.5935,0.4970,0.5549,0.5419,0.0379,0.0699,16,17,26,23,24,21.2000,22
P08,0.2274,0.2960,0.3211,0.2851,0.3446,0.2948,0.0442,0.1498,45,45,48,47,45,46.0000,45
P09,0.4693,0.5478,0.6894,0.5351,0.6082,0.5699,0.0830,0.1457,22,19,16,16,16,17.8000,16
P10,0.3502,0.4006,0.4207,0.3612,0.4365,0.3938,0.0373,0.0947,34,35,37,36,36,35.6000,36
P11,0.4990,0.5453,0.6054,0.4997,0.5706,0.5440,0.0460,0.0846,17,20,25,22,21,21.0000,21
P12,0.7976,0.8516,1.0000,0.8105,0.8449,0.8609,0.0810,0.0941,3,3,1,2,2,2.2000,2
P13,0.3346,0.4140,0.5309,0.4142,0.4803,0.4348,0.0745,0.1713,36,32,29,31,31,31.8000,32
P14,0.1736,0.2235,0.3298,0.2460,0.2801,0.2506,0.0588,0.2346,50,51,46,49,50,49.2000,49
P15,0.5549,0.6156,0.7426,0.5789,0.6299,0.6244,0.0724,0.1160,13,12,11,12,12,12.0000,12
P16,0.4248,0.4903,0.5784,0.4646,0.5475,0.5011,0.0621,0.1239,28,27,27,27,27,27.2000,27
P18,0.5309,0.5879,0.7064,0.5509,0.6143,0.5981,0.0686,0.1148,14,14,15,15,15,14.6000,15
P19,0.2150,0.2822,0.3633,0.2905,0.3376,0.2977,0.0571,0.1916,47,47,45,45,47,46.2000,47
P20,0.2229,0.2846,0.2649,0.2602,0.3145,0.2694,0.0336,0.1249,46,46,51,48,48,47.8000,48
P21,0.4873,0.5503,0.6543,0.5215,0.5932,0.5613,0.0649,0.1156,20,18,18,18,18,18.4000,18
P22,0.6097,0.6932,0.8751,0.6808,0.7334,0.7185,0.0983,0.1368,11,9,6,7,5,7.6000,8
P23,0.4731,0.5446,0.6793,0.5240,0.5987,0.5640,0.0786,0.1395,21,21,17,17,17,18.6000,19
P24,0.3920,0.4514,0.4977,0.4207,0.4984,0.4521,0.0470,0.1039,30,31,31,30,30,30.4000,30
P25,0.3073,0.3807,0.4718,0.3757,0.4373,0.3946,0.0632,0.1601,37,37,33,35,35,35.4000,35
P26,0.6653,0.7309,0.8579,0.6913,0.7300,0.7351,0.0740,0.1007,7,6,7,5,6,6.2000,5
P27,0.7474,0.7670,0.7686,0.6872,0.7275,0.7395,0.0337,0.0456,4,4,10,6,8,6.4000,6
P28,0.6227,0.6974,0.8837,0.6766,0.7298,0.7220,0.0984,0.1363,9,8,4,8,7,7.2000,7
P29,1.0000,1.0000,0.9742,1.0000,1.0000,0.9948,0.0115,0.0116,1,1,2,1,1,1.2000,1
P30,0.8681,0.8611,0.8781,0.8068,0.8197,0.8467,0.0315,0.0372,2,2,5,3,3,3.0000,3
P31,0.4600,0.5179,0.6140,0.4836,0.5524,0.5256,0.0605,0.1152,24,24,24,24,25,24.2000,24
P32,0.4263,0.4997,0.6219,0.4825,0.5630,0.5187,0.0755,0.1456,27,26,21,25,23,24.4000,25
P33,0.4588,0.4683,0.4677,0.3876,0.4380,0.4441,0.0339,0.0762,25,30,34,32,34,31.0000,31
P34,0.6261,0.6729,0.7778,0.6269,0.6872,0.6782,0.0620,0.0914,8,10,9,10,10,9.4000,10
P35,0.3510,0.3970,0.3849,0.3520,0.4254,0.3821,0.0315,0.0825,33,36,42,38,38,37.4000,38
