Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P36,0.3599,0.4030,0.4170,0.3591,0.4276,0.3933,0.0321,0.0816,32,34,38,37,37,35.6000,36
P37,0.2776,0.3534,0.4091,0.3493,0.4090,0.3597,0.0542,0.1508,41,41,40,39,40,40.2000,41
P38,0.4920,0.5702,0.7230,0.5563,0.6264,0.5936,0.0867,0.1461,18,15,12,14,13,14.4000,14
P39,0.6173,0.6647,0.7218,0.6135,0.6426,0.6520,0.0442,0.0678,10,11,14,11,11,11.4000,11
P40,0.1634,0.2016,0.1249,0.1514,0.1830,0.1649,0.0294,0.1782,52,54,59,57,57,55.8000,55
P41,0.4636,0.5025,0.5248,0.4497,0.5171,0.4915,0.0332,0.0675,23,25,30,29,29,27.2000,27
P42,0.4171,0.4839,0.5782,0.4598,0.5432,0.4965,0.0645,0.1300,29,28,28,28,28,28.2000,29
P43,0.2969,0.3592,0.4127,0.3401,0.3996,0.3617,0.0466,0.1290,38,39,39,41,41,39.6000,40
P44,0.2029,0.2750,0.3643,0.2923,0.3378,0.2945,0.0623,0.2116,48,48,44,44,46,46.0000,45
P45,0.2862,0.3575,0.4279,0.3492,0.4115,0.3665,0.0562,0.1533,40,40,36,40,39,39.0000,39
P46,0.3837,0.4722,0.6215,0.4756,0.5485,0.5003,0.0895,0.1788,31,29,22,26,26,26.8000,26
P47,0.1741,0.2372,0.2902,0.2425,0.2876,0.2463,0.0473,0.1919,49,49,50,50,49,49.4000,50
P48,0.1262,0.1614,0.2489,0.1818,0.2104,0.1857,0.0468,0.2519,58,59,52,55,55,55.8000,55
P49,0.2392,0.3173,0.4002,0.3270,0.3816,0.3331,0.0632,0.1896,42,42,41,42,42,41.8000,42
P50,0.0824,0.1151,0.1591,0.1273,0.1538,0.1275,0.0311,0.2441,60,60,56,60,60,59.2000,60
P51,0.1387,0.1978,0.2430,0.2102,0.2434,0.2066,0.0430,0.2079,57,55,53,53,53,54.2000,54
P53,0.2312,0.3063,0.3678,0.3084,0.3658,0.3159,0.0559,0.1770,44,43,43,43,43,43.2000,43
P54,0.1505,0.2131,0.2112,0.2055,0.2412,0.2043,0.0331,0.1620,55,52,55,54,54,54.0000,53
P55,0.1453,0.1906,0.1305,0.1528,0.1847,0.1608,0.0259,0.1609,56,56,58,56,56,56.4000,57
P56,0.2949,0.3782,0.4796,0.3851,0.4474,0.3970,0.0712,0.1793,39,38,32,34,33,35.2000,34
P57,0.1121,0.1671,0.1079,0.1406,0.1700,0.1395,0.0293,0.2101,59,58,60,58,58,58.6000,59
P58,0.1550,0.1842,0.1554,0.1384,0.1672,0.1601,0.0170,0.1060,54,57,57,59,59,57.2000,58
P59,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61,61,61,61,61,61.0000,61
P60,0.4904,0.5425,0.6150,0.5030,0.5726,0.5447,0.0510,0.0937,19,22,23,20,20,20.8000,20
P61,0.1646,0.2309,0.2367,0.2260,0.2674,0.2251,0.0375,0.1666,51,50,54,52,51,51.6000,52
P62,0.4471,0.5186,0.6225,0.4998,0.5727,0.5321,0.0676,0.1270,26,23,20,21,19,21.8000,23
P63,0.6808,0.7503,0.9174,0.7243,0.7709,0.7687,0.0897,0.1166,6,5,3,4,4,4.4000,4
