Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.4836,0.5683,0.4136,0.4850,0.4250,0.4751,0.0615,0.1296,36,36,41,40,42,39.0000,39
P02,0.4768,0.5225,0.4677,0.5279,0.4911,0.4972,0.0270,0.0542,37,45,35,34,32,36.6000,35
P03,0.1024,0.1930,0.0794,0.1261,0.1105,0.1223,0.0430,0.3513,59,60,59,59,59,59.2000,59
P04,0.8020,0.8458,0.7886,0.7788,0.7424,0.7915,0.0375,0.0474,12,12,11,11,11,11.4000,11
P05,0.3658,0.4243,0.3360,0.4049,0.3799,0.3822,0.0343,0.0897,51,51,51,49,48,50.0000,51
P06,0.0000,0.0000,0.0293,0.0000,0.0000,0.0059,0.0131,2.2361,61,61,60,61,61,60.8000,61
P07,0.4425,0.4918,0.4283,0.4923,0.4567,0.4623,0.0289,0.0626,48,48,38,38,37,41.8000,42
P08,0.2914,0.3099,0.3130,0.3562,0.3390,0.3219,0.0256,0.0796,53,55,52,50,51,52.2000,52
P09,0.5528,0.6316,0.4912,0.5433,0.4886,0.5415,0.0583,0.1076,31,29,32,32,34,31.6000,31
P10,0.4672,0.5586,0.3889,0.4617,0.4046,0.4562,0.0668,0.1464,41,38,45,45,45,42.8000,43
P11,0.2032,0.2811,0.1740,0.2479,0.2181,0.2249,0.0412,0.1833,57,57,56,56,56,56.4000,57
P12,0.5802,0.6082,0.5926,0.6758,0.6514,0.6216,0.0405,0.0651,29,32,27,22,20,26.0000,26
P13,0.5911,0.6144,0.6741,0.7017,0.6853,0.6533,0.0479,0.0733,28,31,21,18,16,22.8000,22
P14,0.8203,0.8507,0.8135,0.8032,0.7742,0.8124,0.0277,0.0341,10,11,10,10,10,10.2000,10
P15,0.5952,0.6691,0.5550,0.5913,0.5296,0.5880,0.0528,0.0897,27,26,30,30,30,28.6000,30
P16,0.7930,0.8130,0.7369,0.7589,0.7302,0.7664,0.0358,0.0467,13,14,15,13,13,13.6000,14
P18,0.9703,0.9765,0.9815,0.9986,0.9984,0.9851,0.0129,0.0131,2,2,2,2,2,2.0000,2
P19,0.6790,0.7106,0.5811,0.6370,0.6210,0.6458,0.0504,0.0781,22,23,29,27,23,24.8000,24
P20,0.4276,0.5181,0.3519,0.4360,0.3821,0.4232,0.0632,0.1492,50,46,49,47,47,47.8000,48
P21,0.6154,0.6597,0.6131,0.6393,0.5867,0.6228,0.0278,0.0446,26,27,23,26,28,26.0000,26
P22,0.6321,0.7049,0.5962,0.6225,0.5650,0.6241,0.0522,0.0836,25,24,26,29,29,26.6000,28
P23,0.6820,0.7552,0.6230,0.6479,0.5998,0.6616,0.0606,0.0915,20,20,22,23,25,22.0000,21
P24,0.8707,0.8976,0.8252,0.8767,0.8593,0.8659,0.0267,0.0308,7,7,9,8,8,7.8000,8
P25,0.8101,0.8531,0.7667,0.7759,0.7391,0.7890,0.0439,0.0557,11,10,13,12,12,11.6000,12
P26,0.7363,0.7907,0.6854,0.7012,0.6608,0.7149,0.0504,0.0706,15,15,18,19,19,17.2000,17
P27,0.6737,0.7327,0.6005,0.6321,0.5900,0.6458,0.0585,0.0906,23,22,25,28,27,25.0000,25
