Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.4725,0.3994,0.4887,0.4230,0.4578,0.4483,0.0365,0.0815,28,34,31,31,33,31.4000,31
P02,0.2137,0.1106,0.2417,0.1835,0.2121,0.1923,0.0501,0.2607,47,54,48,53,52,50.8000,51
P03,0.1919,0.1752,0.2987,0.2237,0.2523,0.2284,0.0492,0.2157,48,53,44,47,47,47.8000,47
P04,0.1598,0.1996,0.2242,0.1835,0.1956,0.1925,0.0235,0.1221,51,50,50,52,53,51.2000,52
P05,0.3873,0.3493,0.4491,0.3631,0.4022,0.3902,0.0388,0.0994,32,39,35,37,37,36.0000,37
P06,0.2227,0.3523,0.2401,0.2389,0.2945,0.2697,0.0535,0.1985,46,38,49,46,45,44.8000,46
P07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61,61,61,61,61,61.0000,61
P08,0.2442,0.3293,0.3342,0.2963,0.3430,0.3094,0.0405,0.1309,45,41,42,41,41,42.0000,41
P09,0.3852,0.4040,0.4415,0.3747,0.4405,0.4092,0.0309,0.0755,34,33,36,36,35,34.8000,35
P10,0.0976,0.1892,0.1603,0.1460,0.1730,0.1533,0.0349,0.2279,54,51,55,54,54,53.6000,54
P11,0.4839,0.3926,0.5477,0.4461,0.4763,0.4693,0.0567,0.1207,26,35,23,29,30,28.6000,28
P12,0.6206,0.6642,0.7213,0.5905,0.6622,0.6518,0.0496,0.0760,15,12,12,12,12,12.6000,13
P13,0.3865,0.4742,0.5032,0.4193,0.4867,0.4540,0.0491,0.1082,33,28,29,32,29,30.2000,30
P14,1.0000,0.9386,0.9836,1.0000,1.0000,0.9844,0.0266,0.0270,1,2,2,1,1,1.4000,1
P15,0.4794,0.5084,0.5629,0.4853,0.5550,0.5182,0.0388,0.0749,27,24,22,22,22,23.4000,22
P16,0.3576,0.4542,0.4636,0.3896,0.4582,0.4246,0.0481,0.1132,38,29,33,35,32,33.4000,34
P18,0.9037,0.9149,0.9735,0.8556,0.8893,0.9074,0.0432,0.0476,3,3,3,3,3,3.0000,3
P19,0.5850,0.6031,0.5878,0.5218,0.5791,0.5754,0.0312,0.0543,18,16,20,20,18,18.4000,17
P20,0.5883,0.5590,0.4988,0.5448,0.5743,0.5530,0.0344,0.0622,17,18,30,16,20,20.2000,21
P21,0.6477,0.7106,0.6729,0.5666,0.6207,0.6437,0.0544,0.0844,12,11,13,13,13,12.4000,12
P22,0.7234,0.7316,0.8207,0.6911,0.7484,0.7431,0.0482,0.0648,8,9,9,8,8,8.4000,8
P23,0.1798,0.2648,0.2167,0.2028,0.2500,0.2228,0.0346,0.1552,49,47,51,48,48,48.6000,48
P24,0.6587,0.6468,0.7293,0.6066,0.6732,0.6629,0.0446,0.0673,10,13,11,11,11,11.2000,10
P25,0.6231,0.5821,0.6020,0.5389,0.5924,0.5877,0.0312,0.0530,14,17,18,17,16,16.4000,16
P26,0.5599,0.5500,0.5957,0.5010,0.5576,0.5528,0.0339,0.0614,19,20,19,21,21,20.0000,20
P27,0.2894,0.3856,0.3360,0.2964,0.3557,0.3326,0.0404,0.1216,41,36,41,40,40,39.6000,40
P28,0.3848,0.4264,0.4296,0.4000,0.4353,0.4152,0.0218,0.0524,35,32,37,34,36,34.8000,35
P29,0.4338,0.5056,0.5787,0.4685,0.5292,0.5032,0.0557,0.1107,29,25,21,24,23,24.4000,25
P30,0.4905,0.5421,0.5361,0.4523,0.5203,0.5083,0.0371,0.0731,24,21,24,28,24,24.2000,24
P31,0.7718,0.8136,0.8878,0.7295,0.7813,0.7968,0.0590,0.0741,7,7,5,6,6,6.2000,6
P32,0.8616,0.8563,0.8794,0.7799,0.8193,0.8393,0.0397,0.0473,5,4,6,5,5,5.0000,5
P33,0.3761,0.4303,0.5051,0.4088,0.4688,0.4378,0.0505,0.1153,36,30,28,33,31,31.6000,32
P34,0.2771,0.2006,0.3797,0.2861,0.3223,0.2932,0.0656,0.2238,42,49,39,42,42,42.8000,42
P35,0.5172,0.5387,0.6525,0.5252,0.5848,0.5637,0.0561,0.0996,22,22,14,19,17,18.8000,18
P36,0.2629,0.3179,0.3208,0.2744,0.3215,0.2995,0.0285,0.0951,43,42,43,43,43,42.8000,42
P37,0.6255,0.6419,0.7350,0.6226,0.6880,0.6626,0.0482,0.0727,13,14,10,10,10,11.4000,11
P38,0.7796,0.8322,0.8718,0.7213,0.7743,0.7958,0.0578,0.0726,6,6,7,7,7,6.6000,7
P39,0.6841,0.7623,0.8354,0.6797,0.7386,0.7400,0.0640,0.0865,9,8,8,9,9,8.6000,9
P40,0.0741,0.0700,0.1497,0.0994,0.1048,0.0996,0.0319,0.3198,57,59,56,57,57,57.2000,57
P41,0.0618,0.0814,0.1126,0.0796,0.0780,0.0827,0.0185,0.2232,58,57,58,58,58,57.8000,58
P42,0.3749,0.3691,0.3997,0.3418,0.3953,0.3762,0.0232,0.0617,37,37,38,38,38,37.6000,38
P43,0.0232,0.0446,0.0801,0.0353,0.0245,0.0415,0.0233,0.5600,60,60,59,60,60,59.8000,60
P44,0.0888,0.0992,0.1626,0.1311,0.1356,0.1235,0.0297,0.2405,55,56,54,55,56,55.2000,56
P45,0.1487,0.2908,0.2011,0.1946,0.2365,0.2144,0.0529,0.2469,53,45,52,50,50,50.0000,49
P46,0.5494,0.5118,0.6286,0.5270,0.5759,0.5586,0.0460,0.0824,20,23,16,18,19,19.2000,19
P47,0.6192,0.6066,0.6235,0.5602,0.6041,0.6027,0.0251,0.0417,16,15,17,14,15,15.4000,15
P48,0.2567,0.2797,0.2812,0.2616,0.2978,0.2754,0.0165,0.0600,44,46,45,44,44,44.6000,45
P49,0.9935,1.0000,1.0000,0.8885,0.9176,0.9599,0.0530,0.0552,2,1,1,2,2,1.6000,2
P50,0.4303,0.4274,0.4615,0.4255,0.4506,0.4390,0.0161,0.0366,31,31,34,30,34,32.0000,33
P51,0.0491,0.1025,0.0335,0.0412,0.0507,0.0554,0.0272,0.4910,59,55,60,59,59,58.4000,59
P53,0.0872,0.2095,0.1226,0.1310,0.1615,0.1423,0.0459,0.3226,56,48,57,56,55,54.4000,55
P54,0.1637,0.1888,0.1914,0.2010,0.2452,0.1980,0.0298,0.1503,50,52,53,49,49,50.6000,50
P55,0.4321,0.3152,0.5146,0.4693,0.4909,0.4444,0.0783,0.1763,30,43,25,23,28,29.8000,29
P56,0.5331,0.5542,0.5099,0.4618,0.5133,0.5145,0.0344,0.0668,21,19,27,26,27,24.0000,23
P57,0.5087,0.4963,0.4789,0.4649,0.5147,0.4927,0.0207,0.0420,23,27,32,25,26,26.6000,27
P58,0.1524,0.0731,0.2734,0.1922,0.2171,0.1816,0.0749,0.4124,52,58,46,51,51,51.6000,53
P59,0.3063,0.3080,0.2667,0.2494,0.2605,0.2782,0.0272,0.0977,40,44,47,45,46,44.4000,44
P60,0.4840,0.5019,0.5115,0.4540,0.5177,0.4938,0.0256,0.0519,25,26,26,27,25,25.8000,26
P61,0.8628,0.8357,0.9337,0.7943,0.8369,0.8527,0.0515,0.0604,4,5,4,4,4,4.2000,4
P62,0.6536,0.7125,0.6327,0.5563,0.6094,0.6329,0.0574,0.0907,11,10,15,15,14,13.0000,14
P63,0.3301,0.3474,0.3498,0.3379,0.3920,0.3515,0.0240,0.0683,39,40,40,39,39,39.4000,39
